date,DXC UN Equity
2017-03-20,-0.6269
2017-03-21,-2.4782
2017-03-22,0.5082
2017-03-23,2.8655
2017-03-24,1.9961
2017-03-25,
2017-03-26,
2017-03-27,-2.1469
2017-03-28,2.9851
2017-03-29,5.1304
2017-03-30,-2.4676
2017-03-31,-2.1908
2017-04-01,
2017-04-02,
2017-04-03,-1.8064
2017-04-04,2.1339
2017-04-05,3.4438
2017-04-06,4.0256
2017-04-07,1.5935000000000001
2017-04-08,
2017-04-09,
2017-04-10,-1.5289000000000001
2017-04-11,-0.5756
2017-04-12,2.4906
2017-04-13,0.4991
2017-04-14,
2017-04-15,
2017-04-16,
2017-04-17,0.6404
2017-04-18,-2.0909
2017-04-19,-0.1857
2017-04-20,0.3189
2017-04-21,1.0995
2017-04-22,
2017-04-23,
2017-04-24,-0.8255
2017-04-25,0.5813
2017-04-26,0.0131
2017-04-27,-0.3415
2017-04-28,-0.7116
2017-04-29,
2017-04-30,
2017-05-01,1.407
2017-05-02,0.7592
2017-05-03,0.3767
2017-05-04,0.3753
2017-05-05,1.0701
2017-05-06,
2017-05-07,
2017-05-08,0.0255
2017-05-09,0.7525
2017-05-10,0.7722
2017-05-11,-0.2387
2017-05-12,0.2518
2017-05-13,
2017-05-14,
2017-05-15,1.1429
2017-05-16,0.0745
2017-05-17,-2.2459
2017-05-18,-0.8378
2017-05-19,-0.064
2017-05-20,
2017-05-21,
2017-05-22,0.5252
2017-05-23,-0.2676
2017-05-24,-0.4088
2017-05-25,0.8852
2017-05-26,0.0254
2017-05-27,
2017-05-28,
2017-05-29,
2017-05-30,-0.4068
2017-05-31,-1.0467
2017-06-01,-0.4902
2017-06-02,0.5834
2017-06-03,
2017-06-04,
2017-06-05,0.2062
2017-06-06,-1.1318
2017-06-07,-0.1301
2017-06-08,-0.8076
2017-06-09,-1.1425
2017-06-10,
2017-06-11,
2017-06-12,0.5992
2017-06-13,0.503
2017-06-14,-1.5013999999999998
2017-06-15,-0.9226
2017-06-16,0.9987
2017-06-17,
2017-06-18,
2017-06-19,2.4987
2017-06-20,-1.0299
2017-06-21,0.6586
2017-06-22,0.3926
2017-06-23,2.268
2017-06-24,
2017-06-25,
2017-06-26,0.4971
2017-06-27,-1.6867
2017-06-28,1.1352
2017-06-29,0.1786
2017-06-30,-2.3173
2017-07-01,
2017-07-02,
2017-07-03,-1.0036
2017-07-04,
2017-07-05,0.3818
2017-07-06,0.3541
2017-07-07,1.2417
2017-07-08,
2017-07-09,
2017-07-10,0.5035
2017-07-11,-0.1541
2017-07-12,1.2222
2017-07-13,-0.1525
2017-07-14,-0.0636
2017-07-15,
2017-07-16,
2017-07-17,-0.3821
2017-07-18,-0.2941
2017-07-19,0.9361
2017-07-20,-0.0889
2017-07-21,1.6531
2017-07-22,
2017-07-23,
2017-07-24,0.3878
2017-07-25,-0.2368
2017-07-26,0.0
2017-07-27,-1.9735
2017-07-28,-0.0637
2017-07-29,
2017-07-30,
2017-07-31,-0.0638
2017-08-01,1.212
2017-08-02,-1.5379
2017-08-03,0.4225
2017-08-04,0.357
2017-08-05,
2017-08-06,
2017-08-07,0.1905
2017-08-08,-1.7497
2017-08-09,7.0848
2017-08-10,-2.0607
2017-08-11,0.9598
2017-08-12,
2017-08-13,
2017-08-14,2.6569000000000003
2017-08-15,1.3296999999999999
2017-08-16,0.5155
2017-08-17,-2.5761
2017-08-18,-0.2872
2017-08-19,
2017-08-20,
2017-08-21,-0.084
2017-08-22,2.69
2017-08-23,-0.5146
2017-08-24,-0.047
2017-08-25,-0.1764
2017-08-26,
2017-08-27,
2017-08-28,-0.106
2017-08-29,-0.1061
2017-08-30,-0.3188
2017-08-31,0.6751
2017-09-01,0.1059
2017-09-02,
2017-09-03,
2017-09-04,
2017-09-05,-0.5535
2017-09-06,-0.5092
2017-09-07,0.3809
2017-09-08,-0.1897
2017-09-09,
2017-09-10,
2017-09-11,1.2831000000000001
2017-09-12,0.7742
2017-09-13,-0.6402
2017-09-14,0.0469
2017-09-15,-0.3864
2017-09-16,
2017-09-17,
2017-09-18,-0.2586
2017-09-19,-0.0943
2017-09-20,0.1416
2017-09-21,-0.0589
2017-09-22,0.7897
2017-09-23,
2017-09-24,
2017-09-25,-1.0993
2017-09-26,-0.6503
2017-09-27,0.7141
2017-09-28,0.2009
2017-09-29,1.2854999999999999
2017-09-30,
2017-10-01,
2017-10-02,-0.6171
2017-10-03,-0.2812
2017-10-04,0.4582
2017-10-05,0.3275
2017-10-06,1.9352
2017-10-07,
2017-10-08,
2017-10-09,1.1093
2017-10-10,-0.362
2017-10-11,-0.4995
2017-10-12,4.0502
2017-10-13,-0.1754
2017-10-14,
2017-10-15,
2017-10-16,0.4943
2017-10-17,0.6777
2017-10-18,-0.5863
2017-10-19,-0.5897
2017-10-20,0.9447
2017-10-21,
2017-10-22,
2017-10-23,-0.4353
2017-10-24,-0.0874
2017-10-25,-0.8533
2017-10-26,0.331
2017-10-27,1.0778
2017-10-28,
2017-10-29,
2017-10-30,-0.7943
2017-10-31,0.3729
2017-11-01,-0.0219
2017-11-02,-0.8852
2017-11-03,0.838
2017-11-04,
2017-11-05,
2017-11-06,1.7168
2017-11-07,-0.5268
2017-11-08,4.5607
2017-11-09,-2.1912
2017-11-10,1.3843
2017-11-11,
2017-11-12,
2017-11-13,0.8964
2017-11-14,-1.0744
2017-11-15,0.2402
2017-11-16,1.3856
2017-11-17,-0.4316
2017-11-18,
2017-11-19,
2017-11-20,1.0423
2017-11-21,1.1337
2017-11-22,-1.2422
2017-11-23,
2017-11-24,-0.0307
2017-11-25,
2017-11-26,
2017-11-27,-0.225
2017-11-28,0.4716
2017-11-29,-2.5305999999999997
2017-11-30,0.6491
2017-12-01,-0.5825
2017-12-02,
2017-12-03,
2017-12-04,-2.4691
2017-12-05,-0.1824
2017-12-06,0.5492
2017-12-07,1.3599999999999999
2017-12-08,1.3524
2017-12-09,
2017-12-10,
2017-12-11,-0.1668
2017-12-12,-1.0233
2017-12-13,0.1688
2017-12-14,-0.7899
2017-12-15,1.1146
2017-12-16,
2017-12-17,
2017-12-18,0.6929
2017-12-19,-1.0218
2017-12-20,0.474
2017-12-21,0.9855
2017-12-22,-0.4464
2017-12-23,
2017-12-24,
2017-12-25,
2017-12-26,0.0104
2017-12-27,-1.22
2017-12-28,0.2534
2017-12-29,-0.0737
2017-12-30,
2017-12-31,
2018-01-01,
2018-01-02,0.1581
2018-01-03,1.8937
2018-01-04,2.4058
2018-01-05,1.462
2018-01-06,
2018-01-07,
2018-01-08,-0.0795
2018-01-09,1.0741
2018-01-10,-0.3936
2018-01-11,-0.1383
2018-01-12,0.1978
2018-01-13,
2018-01-14,
2018-01-15,
2018-01-16,-0.2271
2018-01-17,-0.4453
2018-01-18,-0.1292
2018-01-19,0.4976
2018-01-20,
2018-01-21,
2018-01-22,0.7229
2018-01-23,0.236
2018-01-24,-0.7455
2018-01-25,0.6621
2018-01-26,0.6283
2018-01-27,
2018-01-28,
2018-01-29,-2.322
2018-01-30,-1.1187
2018-01-31,0.5556
2018-02-01,-0.0603
2018-02-02,-0.6031
2018-02-03,
2018-02-04,
2018-02-05,-2.8314
2018-02-06,-0.1561
2018-02-07,0.1459
2018-02-08,-4.3297
2018-02-09,5.5157
2018-02-10,
2018-02-11,
2018-02-12,0.9382
2018-02-13,-0.6742
2018-02-14,2.9823
2018-02-15,0.9487
2018-02-16,-0.2671
2018-02-17,
2018-02-18,
2018-02-19,
2018-02-20,-0.1488
2018-02-21,0.2086
2018-02-22,0.228
2018-02-23,2.8385
2018-02-24,
2018-02-25,
2018-02-26,0.6347
2018-02-27,-1.4335
2018-02-28,-0.5817
2018-03-01,-1.5701
2018-03-02,0.1684
2018-03-03,
2018-03-04,
2018-03-05,0.8902
2018-03-06,-0.1471
2018-03-07,0.54
2018-03-08,0.752
2018-03-09,3.4409
2018-03-10,
2018-03-11,
2018-03-12,-0.5997
2018-03-13,-0.0377
2018-03-14,-1.6032
2018-03-15,0.0958
2018-03-16,0.067
2018-03-17,
2018-03-18,
2018-03-19,1.1865
2018-03-20,1.4752
2018-03-21,-0.8666
2018-03-22,-3.1397
2018-03-23,-1.5916000000000001
2018-03-24,
2018-03-25,
2018-03-26,2.5049
2018-03-27,-1.7221
2018-03-28,-1.3435000000000001
2018-03-29,-0.0696
2018-03-30,
2018-03-31,
2018-04-01,
2018-04-02,-1.0445
2018-04-03,0.6534
2018-04-04,1.3283
2018-04-05,0.6604
2018-04-06,-2.3205999999999998
2018-04-07,
2018-04-08,
2018-04-09,0.2807
2018-04-10,2.489
2018-04-11,-0.0488
2018-04-12,1.4832
2018-04-13,-0.8846
2018-04-14,
2018-04-15,
2018-04-16,0.9022
2018-04-17,0.2884
2018-04-18,0.1726
2018-04-19,-0.4115
2018-04-20,-0.5285
2018-04-21,
2018-04-22,
2018-04-23,0.4734
2018-04-24,-0.9615
2018-04-25,-1.1456
2018-04-26,1.758
2018-04-27,-0.1255
2018-04-28,
2018-04-29,
2018-04-30,-0.4059
2018-05-01,-0.2717
2018-05-02,-1.08
2018-05-03,-0.4524
2018-05-04,0.7904
2018-05-05,
2018-05-06,
2018-05-07,-0.6372
2018-05-08,1.3516
2018-05-09,0.6911
2018-05-10,0.8024
2018-05-11,0.3165
2018-05-12,
2018-05-13,
2018-05-14,-1.9312
2018-05-15,-1.667
2018-05-16,-0.1091
2018-05-17,-0.8436
2018-05-18,0.3203
2018-05-19,
2018-05-20,
2018-05-21,0.7383
2018-05-22,-1.5648
2018-05-23,0.6942
2018-05-24,-0.3797
2018-05-25,-5.5065
2018-05-26,
2018-05-27,
2018-05-28,
2018-05-29,-4.4794
2018-05-30,2.9781
