date,RHT UN Equity
2006-12-14,4.3426
2006-12-15,1.8497
2006-12-16,
2006-12-17,
2006-12-18,1.8161
2006-12-19,2.3969
2006-12-20,2.0142
2006-12-21,-4.1622
2006-12-22,25.0557
2006-12-23,
2006-12-24,
2006-12-25,
2006-12-26,1.4693
2006-12-27,-0.3949
2006-12-28,1.1454
2006-12-29,0.1742
2006-12-30,
2006-12-31,
2007-01-01,
2007-01-02,
2007-01-03,-3.6087
2007-01-04,2.2553
2007-01-05,-1.8968
2007-01-06,
2007-01-07,
2007-01-08,0.4496
2007-01-09,-1.0295
2007-01-10,0.0
2007-01-11,1.1759
2007-01-12,-0.9388
2007-01-13,
2007-01-14,
2007-01-15,
2007-01-16,0.0903
2007-01-17,1.3526
2007-01-18,-6.7616
2007-01-19,3.4828
2007-01-20,
2007-01-21,
2007-01-22,0.461
2007-01-23,-0.2754
2007-01-24,1.4726
2007-01-25,0.907
2007-01-26,-0.0449
2007-01-27,
2007-01-28,
2007-01-29,-0.1799
2007-01-30,2.3423
2007-01-31,0.044
2007-02-01,0.308
2007-02-02,-0.5263
2007-02-03,
2007-02-04,
2007-02-05,-0.6173
2007-02-06,1.2866
2007-02-07,2.2777
2007-02-08,3.212
2007-02-09,-0.4149
2007-02-10,
2007-02-11,
2007-02-12,2.4167
2007-02-13,-1.2612
2007-02-14,-0.1648
2007-02-15,-1.7334
2007-02-16,0.798
2007-02-17,
2007-02-18,
2007-02-19,
2007-02-20,1.5417
2007-02-21,-1.7234
2007-02-22,-1.2526
2007-02-23,-0.2114
2007-02-24,
2007-02-25,
2007-02-26,0.8051
2007-02-27,-3.9512
2007-02-28,-1.7505
2007-03-01,1.1581
2007-03-02,-3.0823
2007-03-03,
2007-03-04,
2007-03-05,-1.363
2007-03-06,1.8885
2007-03-07,-1.8987
2007-03-08,2.765
2007-03-09,1.6592
2007-03-10,
2007-03-11,
2007-03-12,1.191
2007-03-13,-1.0026
2007-03-14,-0.8366
2007-03-15,0.0
2007-03-16,0.5329
2007-03-17,
2007-03-18,
2007-03-19,1.1926
2007-03-20,0.3055
2007-03-21,3.6989
2007-03-22,1.3428
2007-03-23,0.3727
2007-03-24,
2007-03-25,
2007-03-26,-1.8977
2007-03-27,-0.3364
2007-03-28,-0.7595
2007-03-29,-1.6156000000000001
2007-03-30,-0.9075
2007-03-31,
