date,1654539D UN Equity
2006-05-08,-1.1236
2006-05-09,-0.5455
2006-05-10,2.8565
2006-05-11,2.1995
2006-05-12,-0.4348
2006-05-13,
2006-05-14,
2006-05-15,0.0
2006-05-16,1.441
2006-05-17,-2.2815
2006-05-18,-3.6344
2006-05-19,-3.5429
2006-05-20,
2006-05-21,
2006-05-22,-0.7109
2006-05-23,-3.9141
2006-05-24,-0.6458
2006-05-25,1.225
2006-05-26,1.2843
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,1.1217
2006-05-31,0.4823
2006-06-01,-0.312
2006-06-02,-0.0722
2006-06-03,
2006-06-04,
2006-06-05,-1.855
2006-06-06,-0.8591
2006-06-07,-0.8418
2006-06-08,-1.0737
2006-06-09,-0.4038
2006-06-10,
2006-06-11,
2006-06-12,0.2027
2006-06-13,1.0116
2006-06-14,-0.4256
2006-06-15,0.2766
2006-06-16,-0.652
2006-06-17,
2006-06-18,
2006-06-19,3.1045
2006-06-20,-0.2203
2006-06-21,-1.2758
2006-06-22,-2.2614
2006-06-23,1.0679
2006-06-24,
2006-06-25,
2006-06-26,1.8868
2006-06-27,-0.1235
2006-06-28,0.0
2006-06-29,1.6316000000000002
2006-06-30,-0.2919
2006-07-01,
2006-07-02,
2006-07-03,1.6101
2006-07-04,
2006-07-05,-1.5846
2006-07-06,-0.4391
2006-07-07,-0.5146
2006-07-08,
2006-07-09,
2006-07-10,-1.6256
2006-07-11,0.2754
2006-07-12,-0.6991
2006-07-13,0.5783
2006-07-14,2.325
2006-07-15,
2006-07-16,
2006-07-17,1.7347000000000001
2006-07-18,0.3122
2006-07-19,-0.1197
2006-07-20,-1.8456000000000001
2006-07-21,0.5861
2006-07-22,
2006-07-23,
2006-07-24,-0.1214
2006-07-25,1.896
2006-07-26,3.459
2006-07-27,2.3288
2006-07-28,-0.0901
2006-07-29,
2006-07-30,
2006-07-31,2.0523
2006-08-01,2.0331
2006-08-02,2.4042
2006-08-03,-0.3807
2006-08-04,-2.0807
2006-08-05,
2006-08-06,
2006-08-07,0.0
2006-08-08,1.1709
2006-08-09,-3.0219
2006-08-10,-0.3536
2006-08-11,-1.7521
2006-08-12,
2006-08-13,
2006-08-14,-0.158
2006-08-15,0.1357
2006-08-16,0.9483
2006-08-17,0.1118
2006-08-18,-0.0223
2006-08-19,
2006-08-20,
2006-08-21,0.9832
2006-08-22,-0.7524
2006-08-23,0.3344
2006-08-24,0.0889
2006-08-25,0.7549
2006-08-26,
2006-08-27,
2006-08-28,1.6307
2006-08-29,1.6479
2006-08-30,0.2346
2006-08-31,0.3405
2006-09-01,-0.5514
2006-09-02,
2006-09-03,
2006-09-04,
2006-09-05,-0.128
2006-09-06,0.363
2006-09-07,0.043
2006-09-08,2.4506
2006-09-09,
2006-09-10,
2006-09-11,-0.4196
2006-09-12,3.0552
2006-09-13,-0.0409
2006-09-14,0.1636
2006-09-15,1.9808
2006-09-16,
2006-09-17,
2006-09-18,-1.6019
2006-09-19,-0.9768
2006-09-20,0.0206
2006-09-21,-1.9929999999999999
2006-09-22,-0.8386
2006-09-23,
2006-09-24,
2006-09-25,1.7759
2006-09-26,0.4362
2006-09-27,0.3102
2006-09-28,-0.0619
2006-09-29,-0.2063
2006-09-30,
2006-10-01,
2006-10-02,-0.6822
2006-10-03,0.1249
2006-10-04,-0.1455
2006-10-05,-1.0202
2006-10-06,0.1262
2006-10-07,
2006-10-08,
2006-10-09,0.1261
2006-10-10,1.0281
2006-10-11,0.1661
2006-10-12,1.8039
2006-10-13,-0.0407
2006-10-14,
2006-10-15,
2006-10-16,-0.3464
2006-10-17,0.2862
2006-10-18,0.1223
2006-10-19,2.362
2006-10-20,2.5065
2006-10-21,
2006-10-22,
2006-10-23,0.6598
2006-10-24,-2.0436
2006-10-25,0.6298
2006-10-26,-4.0681
2006-10-27,-0.1223
2006-10-28,
2006-10-29,
2006-10-30,-0.5307
2006-10-31,-0.7798
2006-11-01,0.7239
2006-11-02,-0.0616
2006-11-03,-0.5548
2006-11-04,
2006-11-05,
2006-11-06,-1.1364
2006-11-07,2.2989
2006-11-08,-1.0623
2006-11-09,1.0324
2006-11-10,0.0
2006-11-11,
2006-11-12,
2006-11-13,0.2452
2006-11-14,1.1621
2006-11-15,1.5920999999999998
2006-11-16,1.0117
2006-11-17,0.3731
2006-11-18,
2006-11-19,
2006-11-20,-0.3913
2006-11-21,-0.0786
2006-11-22,0.5504
2006-11-23,
2006-11-24,-1.0948
2006-11-25,
2006-11-26,
2006-11-27,-0.4744
2006-11-28,0.0794
2006-11-29,1.8456000000000001
2006-11-30,0.2533
2006-12-01,-0.8163
2006-12-02,
2006-12-03,
2006-12-04,1.5481
2006-12-05,-0.9456
2006-12-06,-0.2922
2006-12-07,0.809
2006-12-08,0.0196
2006-12-09,
2006-12-10,
2006-12-11,-0.3718
2006-12-12,-0.2357
2006-12-13,-1.4767000000000001
2006-12-14,1.5588
2006-12-15,2.0071
2006-12-16,
2006-12-17,
2006-12-18,-0.9838
2006-12-19,-0.2143
2006-12-20,0.4881
2006-12-21,1.3989
2006-12-22,-0.1724
2006-12-23,
2006-12-24,
2006-12-25,
2006-12-26,1.6122999999999998
2006-12-27,-0.0756
2006-12-28,-0.5482
2006-12-29,-0.095
2006-12-30,
2006-12-31,
2007-01-01,
2007-01-02,
2007-01-03,0.5708
2007-01-04,-0.227
2007-01-05,-0.8343
2007-01-06,
2007-01-07,
2007-01-08,-0.1721
2007-01-09,-0.2681
2007-01-10,-0.2305
2007-01-11,1.6362
2007-01-12,-0.1705
2007-01-13,
2007-01-14,
2007-01-15,
2007-01-16,3.1303
2007-01-17,0.2575
2007-01-18,1.7431
2007-01-19,1.2083
2007-01-20,
2007-01-21,
2007-01-22,-0.1247
2007-01-23,-0.4103
2007-01-24,0.3046
2007-01-25,-0.7144
2007-01-26,2.0327
2007-01-27,
2007-01-28,
2007-01-29,-1.7102
2007-01-30,-0.1794
2007-01-31,-0.2516
2007-02-01,-0.4504
2007-02-02,-0.2172
2007-02-03,
2007-02-04,
2007-02-05,0.1088
2007-02-06,1.4312
2007-02-07,0.8037
2007-02-08,0.7796
2007-02-09,-3.3579
2007-02-10,
2007-02-11,
2007-02-12,-1.7646
2007-02-13,0.4074
2007-02-14,0.3689
2007-02-15,-0.0184
2007-02-16,3.4736000000000002
2007-02-17,
2007-02-18,
2007-02-19,
2007-02-20,-1.2610999999999999
2007-02-21,0.6476
2007-02-22,0.8579
2007-02-23,0.9747
2007-02-24,
2007-02-25,
2007-02-26,0.5792
2007-02-27,-3.0361
2007-02-28,-0.3959
2007-03-01,-0.8491
2007-03-02,-2.715
2007-03-03,
2007-03-04,
