date,MSCI UN Equity
2007-11-19,3.1651
2007-11-20,6.0971
2007-11-21,-2.4524
2007-11-22,
2007-11-23,2.8143000000000002
2007-11-24,
2007-11-25,
2007-11-26,1.4599
2007-11-27,-2.9496
2007-11-28,1.1861
2007-11-29,0.0
2007-11-30,1.2821
2007-12-01,
2007-12-02,
2007-12-03,1.1573
2007-12-04,4.9338999999999995
2007-12-05,-0.2385
2007-12-06,-1.2637
2007-12-07,-0.1038
2007-12-08,
2007-12-09,
2007-12-10,0.4155
2007-12-11,0.0
2007-12-12,-1.7931
2007-12-13,1.6152
2007-12-14,-0.7602
2007-12-15,
2007-12-16,
2007-12-17,-2.5766
2007-12-18,1.8585
2007-12-19,1.5789
2007-12-20,-0.2073
2007-12-21,16.7186
2007-12-22,
2007-12-23,
2007-12-24,0.5931
2007-12-25,
2007-12-26,1.2677
2007-12-27,6.4047
2007-12-28,2.1067
2007-12-29,
2007-12-30,
2007-12-31,2.8939
2008-01-01,
2008-01-02,-11.849
2008-01-03,-9.0399
2008-01-04,-2.0786
2008-01-05,
2008-01-06,
2008-01-07,-6.6667
2008-01-08,-5.295
2008-01-09,4.1651
2008-01-10,6.7722999999999995
2008-01-11,2.6653000000000002
2008-01-12,
2008-01-13,
2008-01-14,0.23
2008-01-15,0.6885
2008-01-16,-4.5913
2008-01-17,-1.058
2008-01-18,1.5523
2008-01-19,
2008-01-20,
2008-01-21,
2008-01-22,-1.8342
2008-01-23,7.8201
2008-01-24,3.2413
2008-01-25,-1.2123
2008-01-26,
2008-01-27,
2008-01-28,4.0277
2008-01-29,-0.8469
2008-01-30,-0.2441
2008-01-31,0.8257
2008-02-01,4.9439
2008-02-02,
2008-02-03,
2008-02-04,-3.237
2008-02-05,-1.822
2008-02-06,-4.5634
2008-02-07,-5.2917
2008-02-08,5.4527
2008-02-09,
2008-02-10,
2008-02-11,0.3192
2008-02-12,-0.4136
2008-02-13,8.0831
2008-02-14,-1.6258
2008-02-15,-4.6274
2008-02-16,
2008-02-17,
2008-02-18,
2008-02-19,1.1342
2008-02-20,0.3427
2008-02-21,4.3154
2008-02-22,0.3869
2008-02-23,
2008-02-24,
2008-02-25,-1.8974
2008-02-26,2.5083
2008-02-27,-5.6604
2008-02-28,-2.8438
2008-02-29,-4.3744
2008-03-01,
2008-03-02,
2008-03-03,-2.22
2008-03-04,0.9976
2008-03-05,7.7997
2008-03-06,-5.6556
2008-03-07,-5.3583
2008-03-08,
2008-03-09,
2008-03-10,-4.4232
2008-03-11,12.1437
2008-03-12,-1.5187
2008-03-13,0.3688
2008-03-14,-10.2872
2008-03-15,
2008-03-16,
2008-03-17,-12.2487
2008-03-18,14.5524
2008-03-19,-1.1481
2008-03-20,5.695
2008-03-21,
2008-03-22,
2008-03-23,
2008-03-24,6.5934
2008-03-25,1.0642
2008-03-26,-3.2247
2008-03-27,0.9861
2008-03-28,5.2189
2008-03-29,
2008-03-30,
2008-03-31,-4.8
2008-04-01,3.8319
2008-04-02,2.8487999999999998
2008-04-03,0.8184
2008-04-04,2.3416
2008-04-05,
2008-04-06,
2008-04-07,-4.1794
2008-04-08,-1.9739
2008-04-09,-9.1263
2008-04-10,1.8227
2008-04-11,-1.9656
2008-04-12,
2008-04-13,
2008-04-14,-1.0025
2008-04-15,-1.736
2008-04-16,3.2389
2008-04-17,1.7825
2008-04-18,0.6305
2008-04-19,
2008-04-20,
2008-04-21,-0.8354
2008-04-22,0.3861
2008-04-23,3.007
2008-04-24,-0.2716
2008-04-25,-3.4377
2008-04-26,
2008-04-27,
2008-04-28,2.6789
2008-04-29,3.5702
2008-04-30,2.8174
2008-05-01,5.0935
2008-05-02,-2.638
2008-05-03,
2008-05-04,
2008-05-05,-0.4096
2008-05-06,1.0123
2008-05-07,0.6264
2008-05-08,-0.1245
2008-05-09,0.1246
2008-05-10,
2008-05-11,
2008-05-12,1.1516
2008-05-13,-0.4
2008-05-14,0.4634
2008-05-15,3.4748
2008-05-16,-1.8721999999999999
2008-05-17,
2008-05-18,
2008-05-19,0.6057
2008-05-20,-0.6623
2008-05-21,-2.6364
2008-05-22,2.8634
2008-05-23,4.4781
2008-05-24,
2008-05-25,
2008-05-26,
2008-05-27,4.0255
2008-05-28,3.9532
2008-05-29,-5.6776
2008-05-30,0.937
2008-05-31,
2008-06-01,
2008-06-02,0.6751
2008-06-03,0.6147
2008-06-04,-0.722
2008-06-05,4.1958
2008-06-06,-2.1477
2008-06-07,
2008-06-08,
2008-06-09,-1.893
2008-06-10,0.2796
2008-06-11,-5.2147
2008-06-12,2.5302
2008-06-13,2.5538
2008-06-14,
2008-06-15,
2008-06-16,-2.0425
2008-06-17,3.3133
2008-06-18,-1.7141
2008-06-19,1.6034000000000002
2008-06-20,1.1905000000000001
2008-06-21,
2008-06-22,
2008-06-23,1.5594999999999999
2008-06-24,-0.6735
2008-06-25,1.9527999999999999
2008-06-26,-4.2565
2008-06-27,0.4446
2008-06-28,
2008-06-29,
2008-06-30,0.3873
2008-07-01,-6.6961
2008-07-02,-5.6409
2008-07-03,2.6917
2008-07-04,
2008-07-05,
2008-07-06,
2008-07-07,-1.6458
2008-07-08,-3.1608
2008-07-09,2.816
2008-07-10,1.6183999999999998
2008-07-11,0.2757
2008-07-12,
2008-07-13,
2008-07-14,0.7025
2008-07-15,-2.4568
2008-07-16,-1.2749
2008-07-17,-1.5748
2008-07-18,2.432
2008-07-19,
2008-07-20,
2008-07-21,1.0934
2008-07-22,1.6378
2008-07-23,0.9425
2008-07-24,-0.1506
2008-07-25,1.3273
2008-07-26,
