date,VTRS UW Equity
2008-12-31,2.1694
2009-01-01,
2009-01-02,1.3145
2009-01-03,
2009-01-04,
2009-01-05,-1.5968
2009-01-06,4.7667
2009-01-07,-1.3553
2009-01-08,3.0422
2009-01-09,1.7143000000000002
2009-01-10,
2009-01-11,
2009-01-12,3.3708
2009-01-13,0.0906
2009-01-14,-3.8009
2009-01-15,0.1881
2009-01-16,3.2864
2009-01-17,
2009-01-18,
2009-01-19,
2009-01-20,-5.8182
2009-01-21,4.2471
2009-01-22,3.1481
2009-01-23,-1.8851
2009-01-24,
2009-01-25,
2009-01-26,3.6597
2009-01-27,1.5887
2009-01-28,1.2163
2009-01-29,-1.8883999999999999
2009-01-30,-0.8749
2009-01-31,
2009-02-01,
2009-02-02,0.7061
2009-02-03,1.227
2009-02-04,0.7792
2009-02-05,-0.0859
2009-02-06,1.5476999999999999
2009-02-07,
2009-02-08,
2009-02-09,0.6774
2009-02-10,-4.4575
2009-02-11,4.0493
2009-02-12,0.9306
2009-02-13,-1.0897000000000001
2009-02-14,
2009-02-15,
2009-02-16,
2009-02-17,-3.1356
2009-02-18,0.35
2009-02-19,0.8718
2009-02-20,8.9888
2009-02-21,
2009-02-22,
2009-02-23,2.0619
2009-02-24,0.6216
2009-02-25,1.0811
2009-02-26,-3.7433
2009-02-27,-1.3492
2009-02-28,
2009-03-01,
2009-03-02,-6.5165
2009-03-03,-1.463
2009-03-04,4.8908000000000005
2009-03-05,1.1657
2009-03-06,-1.4815
2009-03-07,
2009-03-08,
2009-03-09,0.2506
2009-03-10,2.75
2009-03-11,0.2433
2009-03-12,4.8544
2009-03-13,2.392
2009-03-14,
2009-03-15,
2009-03-16,-1.6579000000000002
2009-03-17,3.6782
2009-03-18,0.2956
2009-03-19,-2.6529
2009-03-20,-2.4981
2009-03-21,
2009-03-22,
2009-03-23,4.4254999999999995
2009-03-24,0.7435
2009-03-25,-1.2546
2009-03-26,2.3169
2009-03-27,-3.214
2009-03-28,
2009-03-29,
2009-03-30,-1.5093999999999999
2009-03-31,2.7586
2009-04-01,-0.0746
2009-04-02,3.2836
2009-04-03,1.4451
2009-04-04,
2009-04-05,
2009-04-06,2.3504
2009-04-07,-2.4356
2009-04-08,2.6391
2009-04-09,-1.2509000000000001
2009-04-10,
2009-04-11,
2009-04-12,
2009-04-13,-1.9001000000000001
2009-04-14,-1.2912
2009-04-15,1.4535
2009-04-16,3.2951
2009-04-17,1.2483
2009-04-18,
2009-04-19,
2009-04-20,-3.2192
2009-04-21,-0.9908
2009-04-22,0.7863
2009-04-23,1.7730000000000001
2009-04-24,-0.4878
2009-04-25,
2009-04-26,
2009-04-27,0.9804
2009-04-28,0.6241
2009-04-29,0.2068
2009-04-30,-8.8721
2009-05-01,-1.8868
2009-05-02,
2009-05-03,
2009-05-04,2.3846
2009-05-05,0.6762
2009-05-06,-0.9701
2009-05-07,1.2057
2009-05-08,2.1593
2009-05-09,
2009-05-10,
2009-05-11,0.8746
2009-05-12,-1.4451
2009-05-13,-1.6862
2009-05-14,-5.5183
2009-05-15,0.7103
2009-05-16,
2009-05-17,
2009-05-18,2.8997
2009-05-19,-2.2087
2009-05-20,-0.0779
2009-05-21,-1.6368
2009-05-22,-0.317
2009-05-23,
2009-05-24,
2009-05-25,
2009-05-26,4.372
2009-05-27,-1.4471
2009-05-28,-1.3138
2009-05-29,3.4455999999999998
2009-05-30,
2009-05-31,
2009-06-01,3.1037
2009-06-02,-0.7342
2009-06-03,-1.8491
2009-06-04,2.3361
2009-06-05,0.8837
2009-06-06,
2009-06-07,
2009-06-08,-0.8759
2009-06-09,-0.2209
2009-06-10,-1.9926
2009-06-11,3.8404
2009-06-12,-0.9427
2009-06-13,
2009-06-14,
2009-06-15,-4.246
2009-06-16,-1.1468
2009-06-17,0.5414
2009-06-18,1.0
2009-06-19,-0.5331
2009-06-20,
2009-06-21,
2009-06-22,-3.2925
2009-06-23,-0.2375
2009-06-24,2.3810000000000002
2009-06-25,2.7907
2009-06-26,1.2066
2009-06-27,
2009-06-28,
2009-06-29,-1.2668
2009-06-30,-1.5093999999999999
2009-07-01,-1.9157
2009-07-02,-2.9688
2009-07-03,
2009-07-04,
2009-07-05,
2009-07-06,-1.2882
2009-07-07,-0.4078
2009-07-08,0.1638
2009-07-09,1.4718
2009-07-10,-1.9339
2009-07-11,
2009-07-12,
2009-07-13,0.493
2009-07-14,0.9812
2009-07-15,0.081
2009-07-16,1.2945
2009-07-17,-0.639
2009-07-18,
2009-07-19,
2009-07-20,3.6174
2009-07-21,1.7843
2009-07-22,-1.3719999999999999
2009-07-23,3.6321
2009-07-24,3.2811
2009-07-25,
2009-07-26,
2009-07-27,-12.6354
2009-07-28,3.8017
2009-07-29,2.7866
2009-07-30,1.7041
2009-07-31,0.457
2009-08-01,
2009-08-02,
2009-08-03,2.1986
2009-08-04,1.3353
2009-08-05,-2.6353999999999997
2009-08-06,-1.3534
2009-08-07,0.5335
2009-08-08,
2009-08-09,
2009-08-10,0.2274
2009-08-11,0.6808
2009-08-12,2.1788
2009-08-13,4.4853
2009-08-14,-1.5482
2009-08-15,
2009-08-16,
2009-08-17,-0.2144
2009-08-18,0.2149
2009-08-19,0.5718
2009-08-20,1.8479
2009-08-21,0.4187
2009-08-22,
2009-08-23,
2009-08-24,1.6678
2009-08-25,0.2734
2009-08-26,-0.8862
2009-08-27,2.3384
