date,MJN UN Equity
2009-02-13,-1.2887
2009-02-14,
2009-02-15,
2009-02-16,
2009-02-17,1.6785
2009-02-18,2.5312
2009-02-19,2.1825
2009-02-20,3.7465
2009-02-21,
2009-02-22,
2009-02-23,-7.8637
2009-02-24,0.696
2009-02-25,1.5642
2009-02-26,-1.2894
2009-02-27,0.1089
2009-02-28,
2009-03-01,
2009-03-02,-2.1022
2009-03-03,-2.1103
2009-03-04,2.118
2009-03-05,0.1111
2009-03-06,-2.1828
2009-03-07,
2009-03-08,
2009-03-09,-0.3026
2009-03-10,0.3794
2009-03-11,0.4535
2009-03-12,5.2671
2009-03-13,-2.0014
2009-03-14,
2009-03-15,
2009-03-16,-4.0117
2009-03-17,4.6353
2009-03-18,0.1452
2009-03-19,-0.5801
2009-03-20,0.9117
2009-03-21,
2009-03-22,
2009-03-23,-1.0842
2009-03-24,-0.9865
2009-03-25,0.6642
2009-03-26,0.9897
2009-03-27,-0.0726
2009-03-28,
2009-03-29,
2009-03-30,-0.9081
2009-03-31,5.8284
2009-04-01,-3.4292
2009-04-02,-1.901
2009-04-03,0.0
2009-04-04,
2009-04-05,
2009-04-06,2.5594
2009-04-07,-3.2086
2009-04-08,-0.9208
2009-04-09,-1.1152
2009-04-10,
2009-04-11,
2009-04-12,
2009-04-13,-0.4511
2009-04-14,0.0755
2009-04-15,0.4151
2009-04-16,1.4656
2009-04-17,-1.963
2009-04-18,
2009-04-19,
2009-04-20,-0.9445
2009-04-21,0.5339
2009-04-22,0.9484
2009-04-23,-1.0522
2009-04-24,-0.1899
2009-04-25,
2009-04-26,
2009-04-27,-0.1142
2009-04-28,8.4571
2009-04-29,1.7210999999999999
2009-04-30,-2.4516999999999998
2009-05-01,0.3894
2009-05-02,
2009-05-03,
2009-05-04,6.2412
2009-05-05,2.2237
2009-05-06,-3.4091
2009-05-07,0.7395
2009-05-08,2.636
2009-05-09,
2009-05-10,
2009-05-11,-2.6333
2009-05-12,-0.4341
2009-05-13,-1.2408
2009-05-14,-2.0713
2009-05-15,-0.0693
2009-05-16,
2009-05-17,
2009-05-18,1.3532
2009-05-19,0.7189
2009-05-20,-2.8552
2009-05-21,4.0238
2009-05-22,-0.1009
2009-05-23,
2009-05-24,
2009-05-25,
2009-05-26,3.5017
2009-05-27,-1.0735
2009-05-28,0.0329
2009-05-29,2.4326
2009-05-30,
2009-05-31,
2009-06-01,2.0539
2009-06-02,0.6604
2009-06-03,-0.0312
2009-06-04,-0.9375
2009-06-05,0.8202
2009-06-06,
2009-06-07,
2009-06-08,-1.5019
2009-06-09,1.3977
2009-06-10,-3.3208
2009-06-11,1.0693
2009-06-12,0.545
2009-06-13,
2009-06-14,
2009-06-15,-0.0319
2009-06-16,0.9888
2009-06-17,1.8636
2009-06-18,1.6743999999999999
2009-06-19,-1.4944
2009-06-20,
2009-06-21,
2009-06-22,-0.9598
2009-06-23,-3.4073
2009-06-24,0.6796
2009-06-25,1.5751
2009-06-26,0.9494
2009-06-27,
2009-06-28,
2009-06-29,-1.8809
2009-06-30,1.5016
2009-07-01,2.2348
2009-07-02,-1.6159
2009-07-03,
2009-07-04,
2009-07-05,
2009-07-06,2.7479
2009-07-07,1.9059
2009-07-08,0.7843
2009-07-09,-0.5986
2009-07-10,-0.7829
2009-07-11,
2009-07-12,
2009-07-13,0.0
2009-07-14,0.5766
2009-07-15,0.0
2009-07-16,0.9958
2009-07-17,0.7171
2009-07-18,
2009-07-19,
2009-07-20,0.9493
2009-07-21,1.7338
2009-07-22,-1.7330999999999999
2009-07-23,7.3192
2009-07-24,1.3421
2009-07-25,
2009-07-26,
2009-07-27,0.2432
2009-07-28,-0.1618
2009-07-29,-1.2422
2009-07-30,-0.9844
2009-07-31,0.5523
2009-08-01,
2009-08-02,
2009-08-03,0.1099
2009-08-04,0.0
2009-08-05,1.8107
2009-08-06,0.6737
2009-08-07,4.1221
2009-08-08,
2009-08-09,
2009-08-10,1.1825
2009-08-11,1.3974
2009-08-12,-2.5307
2009-08-13,-3.1362
2009-08-14,-0.7166
2009-08-15,
2009-08-16,
2009-08-17,0.0535
2009-08-18,2.8587
2009-08-19,1.0909
2009-08-20,1.5673
2009-08-21,1.0878
2009-08-22,
2009-08-23,
2009-08-24,-0.3754
2009-08-25,-1.4067
2009-08-26,1.1465
2009-08-27,0.3023
2009-08-28,0.6027
2009-08-29,
2009-08-30,
2009-08-31,-0.9985
2009-09-01,0.3278
2009-09-02,0.2262
2009-09-03,1.2287
2009-09-04,-0.9165
2009-09-05,
2009-09-06,
2009-09-07,
2009-09-08,-0.625
2009-09-09,0.7296
2009-09-10,-1.4735
2009-09-11,-1.0139
2009-09-12,
2009-09-13,
2009-09-14,0.0
2009-09-15,1.0243
2009-09-16,0.7898
2009-09-17,1.2133
2009-09-18,0.0999
2009-09-19,
2009-09-20,
2009-09-21,0.9232
2009-09-22,3.0902
2009-09-23,0.7194
2009-09-24,-0.5952
2009-09-25,1.7485
2009-09-26,
2009-09-27,
2009-09-28,2.048
2009-09-29,-0.4383
2009-09-30,4.5181000000000004
2009-10-01,0.7537
2009-10-02,3.9384
2009-10-03,
2009-10-04,
2009-10-05,-0.8256
2009-10-06,-3.159
2009-10-07,-0.4408
2009-10-08,-0.3764
2009-10-09,-1.5333
2009-10-10,
2009-10-11,
2009-10-12,-2.2343
