date,Manufacturing
2004-01-04,94.0
2004-01-11,91.0
2004-01-18,82.0
2004-01-25,92.0
2004-02-01,95.0
2004-02-08,91.0
2004-02-15,91.0
2004-02-22,91.0
2004-02-29,94.0
2004-03-07,100.0
2004-03-14,94.0
2004-03-21,80.0
2004-03-28,88.0
2004-04-04,91.0
2004-04-11,79.0
2004-04-18,91.0
2004-04-25,93.0
2004-05-02,93.0
2004-05-09,85.0
2004-05-16,87.0
2004-05-23,84.0
2004-05-30,79.0
2004-06-06,86.0
2004-06-13,89.0
2004-06-20,77.0
2004-06-27,83.0
2004-07-04,82.0
2004-07-11,85.0
2004-07-18,91.0
2004-07-25,89.0
2004-08-01,88.0
2004-08-08,79.0
2004-08-15,81.0
2004-08-22,87.0
2004-08-29,85.0
2004-09-05,79.0
2004-09-12,84.0
2004-09-19,86.0
2004-09-26,81.0
2004-10-03,80.0
2004-10-10,80.0
2004-10-17,79.0
2004-10-24,79.0
2004-10-31,80.0
2004-11-07,78.0
2004-11-14,74.0
2004-11-21,66.0
2004-11-28,77.0
2004-12-05,73.0
2004-12-12,65.0
2004-12-19,62.0
2004-12-26,64.5
2005-01-02,94.0
2005-01-09,97.0
2005-01-16,91.0
2005-01-23,97.0
2005-01-30,100.0
2005-02-06,95.0
2005-02-13,95.0
2005-02-20,97.0
2005-02-27,96.0
2005-03-06,92.0
2005-03-13,91.0
2005-03-20,90.0
2005-03-27,90.0
2005-04-03,94.0
2005-04-10,94.0
2005-04-17,93.0
2005-04-24,93.0
2005-05-01,92.0
2005-05-08,95.0
2005-05-15,90.0
2005-05-22,90.0
2005-05-29,94.0
2005-06-05,91.0
2005-06-12,88.0
2005-06-19,91.0
2005-06-26,89.0
2005-07-03,81.0
2005-07-10,91.0
2005-07-17,96.0
2005-07-24,84.0
2005-07-31,93.0
2005-08-07,84.0
2005-08-14,86.0
2005-08-21,93.0
2005-08-28,79.0
2005-09-04,81.0
2005-09-11,80.0
2005-09-18,84.0
2005-09-25,80.0
2005-10-02,78.0
2005-10-09,86.0
2005-10-16,83.0
2005-10-23,84.0
2005-10-30,82.0
2005-11-06,86.0
