date,Fast Food
2004-01-04,95.0
2004-01-11,82.0
2004-01-18,70.0
2004-01-25,75.0
2004-02-01,57.0
2004-02-08,73.0
2004-02-15,79.0
2004-02-22,81.0
2004-02-29,79.0
2004-03-07,83.0
2004-03-14,80.0
2004-03-21,81.0
2004-03-28,89.0
2004-04-04,67.0
2004-04-11,73.0
2004-04-18,100.0
2004-04-25,67.0
2004-05-02,88.0
2004-05-09,76.0
2004-05-16,85.0
2004-05-23,77.0
2004-05-30,54.0
2004-06-06,58.0
2004-06-13,51.0
2004-06-20,71.0
2004-06-27,42.0
2004-07-04,58.0
2004-07-11,66.0
2004-07-18,60.0
2004-07-25,54.0
2004-08-01,54.0
2004-08-08,43.0
2004-08-15,57.0
2004-08-22,47.0
2004-08-29,47.0
2004-09-05,51.0
2004-09-12,65.0
2004-09-19,71.0
2004-09-26,66.0
2004-10-03,69.0
2004-10-10,67.0
2004-10-17,63.0
2004-10-24,74.0
2004-10-31,65.0
2004-11-07,75.0
2004-11-14,85.0
2004-11-21,78.0
2004-11-28,77.0
2004-12-05,81.0
2004-12-12,60.0
2004-12-19,41.0
2004-12-26,40.0
2005-01-02,71.0
2005-01-09,64.0
2005-01-16,74.0
2005-01-23,74.0
2005-01-30,68.0
2005-02-06,74.0
2005-02-13,65.0
2005-02-20,77.0
2005-02-27,72.0
2005-03-06,87.0
2005-03-13,85.0
2005-03-20,78.0
2005-03-27,73.0
2005-04-03,83.0
2005-04-10,98.0
2005-04-17,100.0
2005-04-24,97.0
2005-05-01,78.0
2005-05-08,86.0
2005-05-15,91.0
2005-05-22,75.0
2005-05-29,81.0
2005-06-05,63.0
2005-06-12,58.0
2005-06-19,56.0
2005-06-26,70.0
2005-07-03,70.0
2005-07-10,55.0
2005-07-17,66.0
2005-07-24,59.0
2005-07-31,54.0
2005-08-07,57.0
2005-08-14,45.0
2005-08-21,53.0
2005-08-28,51.0
2005-09-04,52.0
2005-09-11,62.0
2005-09-18,0.0
2005-09-25,64.0
2005-10-02,73.0
2005-10-09,86.0
2005-10-16,76.0
2005-10-23,0.0
2005-10-30,70.0
2005-11-06,82.0
2005-11-13,80.0
2005-11-20,63.0
2005-11-27,79.0
2005-12-04,66.0
2005-12-11,63.0
2005-12-18,0.0
2005-12-25,50.0
2006-01-01,63.0
