date,return_direction,prediction
2005-01-03,0,0.6966179148147247
2005-01-04,0,0.6614952947479542
2005-01-05,0,0.5429364455028732
2005-01-06,1,0.6094280858332889
2005-01-07,0,0.5233643340490557
2005-01-10,1,0.7688346180775083
2005-01-11,0,0.5472576053335172
2005-01-12,1,0.45539270843197416
2005-01-13,0,0.8324520199951227
2005-01-14,1,0.2759260014226934
2005-01-18,1,0.7185376499012271
2005-01-19,0,0.6154763601866653
2005-01-20,0,0.5928467565848612
2005-01-21,0,0.475147761686676
2005-01-24,0,0.7560259844101019
2005-01-25,1,0.5253956152433492
2005-01-26,1,0.6766325799282472
2005-01-27,1,0.5404426249827935
2005-01-28,0,0.36109423761803544
2005-01-31,1,0.7334496866946612
2005-02-01,1,0.5555775448913406
2005-02-02,1,0.6570469224107742
2005-02-03,1,0.38711948869269025
2005-02-04,1,0.5129063535093996
2005-02-07,1,0.5130572482632664
2005-02-08,0,0.44278325648094863
2005-02-09,0,0.758207394699479
2005-02-10,1,0.5808207672041751
2005-02-11,1,0.6801173900990101
2005-02-14,0,0.4343704948273437
2005-02-15,1,0.5733241026579535
2005-02-16,0,0.5992093097537028
2005-02-17,0,0.5306288059591084
2005-02-18,0,0.5215333110193047
2005-02-22,0,0.48634684696124814
2005-02-23,1,0.7417542245083949
2005-02-24,1,0.40454688895378993
2005-02-25,1,0.7262130367051822
2005-02-28,0,0.5682980733499281
2005-03-01,1,0.7527298230414017
2005-03-02,0,0.7057854748872161
2005-03-03,1,0.4900480852575159
2005-03-04,1,0.7122043707218654
2005-03-07,1,0.732337551115376
2005-03-08,0,0.4585723149395534
2005-03-09,0,0.5964977207882298
2005-03-10,0,0.6395838227220073
2005-03-11,1,0.5843885067061317
2005-03-14,1,0.7874815769804041
2005-03-15,0,0.2904373272620374
2005-03-16,0,0.7043660616354637
2005-03-17,0,0.5796798147311424
2005-03-18,0,0.5887620136566134
2005-03-21,0,0.4847583325251548
2005-03-22,0,0.6554170631084086
2005-03-23,0,0.6028229281805636
2005-03-24,1,0.6161710815522786
2005-03-28,1,0.6365489342180848
2005-03-29,0,0.4597517662338644
2005-03-30,1,0.5761452185996343
2005-03-31,1,0.7112931614441426
2005-04-01,0,0.5538262960261305
2005-04-04,1,0.7818867474701154
2005-04-05,1,0.5850265690056948
2005-04-06,1,0.41330728550558804
2005-04-07,1,0.6869931601943646
2005-04-08,0,0.6164120233234287
2005-04-11,0,0.8188637517156363
2005-04-12,1,0.3656828356125301
2005-04-13,0,0.5574316191042212
2005-04-14,0,0.5831769800343842
2005-04-15,0,0.5164443240620336
2005-04-18,1,0.6974976762145053
2005-04-19,1,0.9186193873546488
2005-04-20,0,0.4316918001816498
2005-04-21,1,0.6235072278933125
2005-04-22,0,0.5356498112943767
2005-04-25,1,0.770385443193048
2005-04-26,0,0.5199316046987802
2005-04-27,0,0.6181553922925191
2005-04-28,0,0.6065534325565429
2005-04-29,1,0.665505767116467
2005-05-02,1,0.2818095649300176
2005-05-03,1,0.7739299624516721
2005-05-04,1,0.6746780312364319
2005-05-05,0,0.5067543325946068
2005-05-06,0,0.6270507496923305
2005-05-09,1,0.7185613073505631
2005-05-10,0,0.5995258570141118
2005-05-11,1,0.6205931720276652
2005-05-12,0,0.41726064110591027
2005-05-13,0,0.6204585278850413
2005-05-16,1,0.6966290849492672
2005-05-17,1,0.42040398534376927
2005-05-18,1,0.7167474224657691
2005-05-19,1,0.5439571542366178
2005-05-20,1,0.5342810584014288
2005-05-23,1,0.6888661295649511
2005-05-24,0,0.4483421666133365
2005-05-25,0,0.7323127280962373
2005-05-26,1,0.4780574132614716
2005-05-27,1,0.6980059429440808
2005-05-31,0,0.5850286769312012
2005-06-01,1,0.5552983928938963
2005-06-02,1,0.6451939464591625
2005-06-03,0,0.6305354526206609
2005-06-06,1,0.6539509090750046
2005-06-07,1,0.7368856945202731
2005-06-08,0,0.545999732040554
2005-06-09,1,0.48512894841408394
2005-06-10,1,0.6370839211513721
2005-06-13,1,0.7313435615763062
2005-06-14,1,0.6010907350232536
2005-06-15,1,0.5316567760419358
2005-06-16,1,0.666654618840492
2005-06-17,1,0.5163349993826952
2005-06-20,0,0.6047614351951578
2005-06-21,1,0.5723621895598441
2005-06-22,0,0.5594021048758203
2005-06-23,0,0.6329791521283109
2005-06-24,0,0.5596397050907406
2005-06-27,0,0.4452380786378935
2005-06-28,1,0.5335574420317734
2005-06-29,0,0.5495591135061545
2005-06-30,0,0.6967166558101102
2005-07-01,1,0.5537840230178195
2005-07-05,1,0.6780077485193465
2005-07-06,0,0.5581567562846254
2005-07-07,0,0.5454394644583281
2005-07-08,1,0.5744062519695787
2005-07-11,1,0.75306720996472
2005-07-12,1,0.47373109990462486
2005-07-13,0,0.5614449056479057
2005-07-14,1,0.5741433317771364
2005-07-15,1,0.544361883149622
2005-07-18,1,0.6126325490370805
2005-07-19,1,0.6458361217152501
2005-07-20,1,0.5963451036940736
2005-07-21,0,0.5906070763628464
2005-07-22,1,0.5349298903854626
2005-07-25,0,0.5510267833587608
2005-07-26,1,0.6126692704298968
2005-07-27,1,0.5901344778987261
2005-07-28,1,0.6893283260741669
2005-07-29,0,0.6977522263840653
2005-08-01,1,0.49080864628207443
2005-08-02,0,0.5899182491268048
2005-08-03,0,0.6019670361284568
2005-08-04,0,0.5543625851843365
2005-08-05,0,0.5027362961434294
2005-08-08,0,0.5508535339376884
2005-08-09,1,0.6606675377823464
2005-08-10,1,0.5320578393184385
2005-08-11,1,0.5761144149811102
2005-08-12,0,0.6956378660258706
