,ticker,field,value,exchange,stock
0,0111145D UN Equity,INDUSTRY_SECTOR,Utilities,UN,0111145D
1,0202445Q UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,0202445Q
2,0203524D UN Equity,INDUSTRY_SECTOR,Technology,UN,0203524D
3,0226226D UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,0226226D
4,0544749D UN Equity,INDUSTRY_SECTOR,Energy,UN,0544749D
5,0574018D UN Equity,INDUSTRY_SECTOR,Financial,UN,0574018D
6,0772031D UN Equity,INDUSTRY_SECTOR,Communications,UN,0772031D
7,0848680D UN Equity,INDUSTRY_SECTOR,Communications,UN,0848680D
8,0867887D UN Equity,INDUSTRY_SECTOR,Communications,UN,0867887D
9,0867887D US Equity,INDUSTRY_SECTOR,Communications,US,0867887D
10,0910150D US Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",US,0910150D
11,0948669D UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,0948669D
12,0961514D UN Equity,INDUSTRY_SECTOR,Utilities,UN,0961514D
13,0964591D UQ Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UQ,0964591D
14,0964591D UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,0964591D
15,1028411Q UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,1028411Q
16,1086832D UN Equity,INDUSTRY_SECTOR,Energy,UN,1086832D
17,1255173D UN Equity,INDUSTRY_SECTOR,Financial,UN,1255173D
18,1255459D UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,1255459D
19,1280712D UQ Equity,INDUSTRY_SECTOR,Technology,UQ,1280712D
20,1280712D UW Equity,INDUSTRY_SECTOR,Technology,UW,1280712D
21,1281683D UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,1281683D
22,1284849D UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,1284849D
23,1288453D UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,1288453D
24,1288652D US Equity,INDUSTRY_SECTOR,Financial,US,1288652D
25,1293405D UN Equity,INDUSTRY_SECTOR,Communications,UN,1293405D
26,1312089D UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,1312089D
27,1317355D UN Equity,INDUSTRY_SECTOR,Technology,UN,1317355D
28,1431816D UN Equity,INDUSTRY_SECTOR,Technology,UN,1431816D
29,1431816D UW Equity,INDUSTRY_SECTOR,Technology,UW,1431816D
30,1436513D UN Equity,INDUSTRY_SECTOR,Industrial,UN,1436513D
31,1437355D US Equity,INDUSTRY_SECTOR,Technology,US,1437355D
32,1448062D UN Equity,INDUSTRY_SECTOR,Communications,UN,1448062D
33,1448062D UQ Equity,INDUSTRY_SECTOR,Communications,UQ,1448062D
34,1448062D UW Equity,INDUSTRY_SECTOR,Communications,UW,1448062D
35,1500785D UN Equity,INDUSTRY_SECTOR,Utilities,UN,1500785D
36,1518855D US Equity,INDUSTRY_SECTOR,Communications,US,1518855D
37,1519128D UA Equity,INDUSTRY_SECTOR,Technology,UA,1519128D
38,1519128D UQ Equity,INDUSTRY_SECTOR,Technology,UQ,1519128D
39,1519128D UW Equity,INDUSTRY_SECTOR,Technology,UW,1519128D
40,1520415D UN Equity,INDUSTRY_SECTOR,Financial,UN,1520415D
41,1524867D UN Equity,INDUSTRY_SECTOR,Energy,UN,1524867D
42,1528159D UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,1528159D
43,1539941D UN Equity,INDUSTRY_SECTOR,Energy,UN,1539941D
44,1541931D UA Equity,INDUSTRY_SECTOR,Technology,UA,1541931D
45,1541931D UQ Equity,INDUSTRY_SECTOR,Technology,UQ,1541931D
46,1541931D UW Equity,INDUSTRY_SECTOR,Technology,UW,1541931D
