ticker,SSET US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-17,190.9091
2013-10-18,66.6667
2013-10-21,-15.625
2013-10-22,-3.7037
2013-10-23,-7.5385
2013-10-24,-11.4809
2013-10-25,11.8421
2013-10-29,9.2437
2013-10-30,-19.2308
2013-10-31,9.5238
2013-11-01,-12.1739
2013-11-04,8.9109
2013-11-06,13.4022
2013-11-07,0.0
2013-11-08,-10.9589
2013-11-11,11.538499999999999
2013-11-12,0.0
2013-11-13,2.069
2013-11-14,-10.1351
2013-11-15,0.7519
2013-11-18,4.4776
2013-11-19,4.2857
2013-11-20,1.3699
2013-11-21,4.0541
2013-11-22,-34.4156
2013-11-25,48.5149
2013-11-26,-5.3333
2013-11-27,5.6338
2013-11-29,-6.6667
2013-12-03,-10.7143
2013-12-04,4.0
2013-12-06,-5.3846
2013-12-09,-4.878
2013-12-10,-5.9829
2013-12-11,-0.9091
2013-12-12,0.9174
2013-12-16,0.0
2013-12-17,-10.0
2013-12-18,9.0909
2013-12-19,-7.4074
2013-12-20,-4.9
2013-12-23,13.5647
2013-12-24,7.4074
2013-12-26,0.8621
2013-12-27,0.0
2013-12-30,-0.8547
2013-12-31,0.0
2014-01-02,1.7241
2014-01-03,2.5423999999999998
2014-01-06,-0.8264
2014-01-07,11.6667
2014-01-08,3.7313
2014-01-09,-2.8777
2014-01-10,1.4815
2014-01-13,-2.9196999999999997
2014-01-14,3.0075
2014-01-15,-5.1095
2014-01-16,3.8462
2014-01-17,-0.7407
2014-01-21,-2.9851
2014-01-22,-6.1538
2014-01-23,-1.6393
2014-01-24,-1.6667
2014-01-27,-5.9322
2014-01-28,-0.9009
2014-01-29,-13.1818
2014-01-30,-20.4188
2014-01-31,25.0
2014-02-03,-10.526299999999999
2014-02-04,-5.8824
2014-02-05,0.0
2014-02-06,-1.25
2014-02-07,-0.6487
2014-02-10,-0.637
2014-02-11,-16.5251
2014-02-12,-18.5868
2014-02-13,3.9623
2014-02-14,9.0744
2014-02-18,3.4942
2014-02-19,20.5788
2014-02-20,2.6667
2014-02-21,28.5714
2014-02-24,10.101
2014-02-25,-8.2569
2014-02-26,0.0
2014-02-27,-4.0
2014-02-28,-8.2292
2014-03-03,-14.8695
2014-03-04,4.0
2014-03-05,-12.8205
2014-03-06,0.0
2014-03-07,0.0
2014-03-10,-1.4706000000000001
2014-03-11,0.0
2014-03-12,0.0
2014-03-13,4.459
2014-03-14,0.4644
2014-03-17,-0.4444
2014-03-18,-4.2857
