ticker,W US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-02,30.069
2014-10-03,-14.6872
2014-10-06,1.9266999999999999
2014-10-07,0.061
2014-10-08,-5.3931000000000004
2014-10-09,-13.9775
2014-10-10,-3.1449
2014-10-13,2.0874
2014-10-14,-0.8709
2014-10-15,-5.7678
2014-10-16,-3.1617
2014-10-17,12.4738
2014-10-20,11.7231
2014-10-21,2.8981
2014-10-22,-9.6795
2014-10-23,-6.7742
2014-10-24,-3.268
2014-10-27,3.5374
2014-10-28,-1.3820000000000001
2014-10-29,-2.4523
2014-10-30,-2.6337
2014-10-31,2.8689
2014-11-03,2.4701
2014-11-04,1.2053
2014-11-05,-2.2666
2014-11-06,1.022
2014-11-07,1.2062
2014-11-10,8.0354
2014-11-11,-15.800699999999999
2014-11-12,-9.9324
2014-11-13,3.2848
2014-11-14,-1.9990999999999999
2014-11-17,0.0
2014-11-18,2.3644
2014-11-19,0.9511
2014-11-20,3.1853
2014-11-21,-3.1304
2014-11-24,3.2316
2014-11-25,1.1739
2014-11-26,2.7073
2014-11-28,1.5063
2014-12-01,-5.1525
2014-12-02,-4.1721
2014-12-03,-4.0816
2014-12-04,-1.182
2014-12-05,-0.8134
2014-12-08,1.7849
2014-12-09,-0.4739
2014-12-10,-4.1429
2014-12-11,-3.7258
2014-12-12,-4.8504000000000005
2014-12-15,3.9046
2014-12-16,-3.9666
2014-12-17,12.5543
2014-12-18,0.4829
2014-12-19,-3.604
2014-12-22,1.5952
2014-12-23,2.0118
2014-12-24,-1.6835
2014-12-26,-0.636
2014-12-29,-4.2836
2014-12-30,0.5144
2014-12-31,1.5865
2015-01-02,4.6851
2015-01-05,5.9673
2015-01-06,2.634
2015-01-07,-1.1504
2015-01-08,-4.2077
2015-01-09,-2.3364
2015-01-12,4.4019
2015-01-13,1.7873999999999999
2015-01-14,0.045
2015-01-15,4.7705
2015-01-16,-3.3505
2015-01-20,-5.1111
2015-01-21,-0.6557
2015-01-22,-3.2532
2015-01-23,-0.3411
2015-01-26,-1.6625999999999999
2015-01-27,-0.547
2015-01-28,-3.3
2015-01-29,-1.1375
2015-01-30,2.3013
2015-02-02,2.7096
2015-02-03,6.1224
2015-02-04,-1.3133
2015-02-05,3.9449
2015-02-06,-2.1491
2015-02-09,-1.0748
2015-02-10,1.3699
2015-02-11,2.5163
2015-02-12,4.4091000000000005
2015-02-13,-4.397
2015-02-17,1.0018
2015-02-18,0.4509
2015-02-19,5.2513
2015-02-20,4.6055
