ticker,DBGF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-04-18,0.5
2006-04-19,36.8159
2006-04-20,12.7273
2006-04-21,-10.645199999999999
2006-04-24,-0.722
2006-04-25,0.0
2006-04-26,-9.0909
2006-04-27,-6.0
2006-05-03,0.0
2006-05-05,27.6596
2006-05-09,-10.0
2006-05-10,-9.2593
2006-05-11,2.0408
2006-05-12,0.0
2006-05-15,4.0
2006-05-16,0.3846
2006-05-17,3.8314
2006-05-18,1.845
2006-05-19,3.2609
2006-05-22,55.0877
2006-05-23,-6.1086
2006-05-24,9.6386
2006-05-25,13.1868
2006-05-26,9.7087
2006-05-30,-3.1858
2006-05-31,5.6673
2006-06-01,2.2491
2006-06-02,3.7225
2006-06-05,2.7732
2006-06-06,7.9365
2006-06-07,26.3235
2006-06-08,16.9965
2006-06-09,8.457699999999999
2006-06-12,27.5229
2006-06-13,26.5468
2006-06-14,25.0711
2006-06-15,-3.8182
2006-06-16,-25.5671
2006-06-19,-39.2381
2006-06-20,33.8558
2006-06-21,-15.2225
2006-06-22,-27.4862
2006-06-23,-3.8095
2006-06-26,27.7228
2006-06-27,-27.1318
2006-06-28,3.1915
2006-06-29,-21.4433
2006-06-30,4.9869
2006-07-03,-1.75
2006-07-05,-2.0356
2006-07-06,-11.6883
2006-07-07,-11.7647
2006-07-10,31.3333
2006-07-11,-19.0355
2006-07-12,-10.0313
2006-07-13,-7.6655
2006-07-14,-18.8679
2006-07-17,15.3488
2006-07-18,-18.75
2006-07-19,4.2184
2006-07-20,-0.4762
2006-07-21,-4.3062000000000005
2006-07-24,-12.5
2006-07-25,5.7143
2006-07-26,7.5676
2006-07-27,19.598
2006-07-28,2.1008
2006-07-31,-3.2922000000000002
2006-08-01,-8.0851
2006-08-02,-7.8704
2006-08-03,-2.0101
2006-08-04,-1.5385
2006-08-07,-5.7292
2006-08-08,0.5525
2006-08-09,-3.8462
2006-08-10,2.2857
2006-08-11,0.5587
2006-08-14,0.5556
2006-08-15,-3.3149
2006-08-16,2.8571
2006-08-17,-10.5556
2006-08-18,-13.0435
2006-08-21,-0.7143
2006-08-22,-15.1079
2006-08-23,17.7966
2006-08-24,0.0
2006-08-25,-6.4748
2006-08-28,-5.3846
2006-08-29,5.6911000000000005
2006-08-30,23.0769
2006-08-31,-19.375
2006-09-01,-2.3256
2006-09-05,-8.7302
2006-09-06,-4.3478
2006-09-07,-3.6364
2006-09-08,-0.9434
2006-09-11,-2.8571
2006-09-12,17.647100000000002
