ticker,ROKR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-11-24,0.0
2009-05-15,-40.0
2010-02-18,6.6667
2011-01-05,26.25
2011-04-05,0.0
2011-07-18,98.0198
2012-04-13,-62.5
2012-05-30,-33.3333
2013-04-29,-20.0
2013-11-15,0.0
2014-01-23,0.0
2014-05-13,62.5
2014-07-22,-38.4615
2014-08-08,12.5
2014-09-05,0.0
2015-02-06,-11.1111
2015-02-09,10.0
2015-05-05,-9.0909
2015-05-11,35.0
2015-09-14,38.8889
2015-10-05,4.0
2015-10-13,-34.6154
2015-12-08,-21.5686
2015-12-11,-37.5
2015-12-15,60.0
2015-12-31,27.5
2016-01-13,0.0
2016-03-01,0.0
2016-06-01,1.9607999999999999
2016-07-15,73.0769
2016-07-22,0.0
2016-08-18,-26.6667
2016-11-30,0.0
2017-02-13,0.0
2017-04-07,1.5152
2017-06-08,0.0
2017-06-28,0.0
2017-11-01,1.4925
2017-11-16,39.7059
2017-11-17,0.0
2017-11-20,-21.0526
2018-01-19,0.1333
2018-03-14,-6.7909
2018-06-21,-4.2857
2019-03-08,-60.0373
2019-06-11,96.0784
2019-06-17,30.0
2019-07-02,15.3846
2019-07-05,0.0
2019-07-09,16.6667
2019-07-15,-28.5714
2019-07-16,0.0
2019-07-18,0.0
2019-07-23,0.0
2019-07-31,-8.0
2019-08-12,30.4348
2019-09-27,-23.3333
2019-11-11,-65.2174
2020-03-25,100.0
2020-07-23,-36.25
