ticker,RTTO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-08-15,2.6316
2017-08-28,41.0256
2017-09-01,-18.1818
2017-09-06,-22.2222
2017-09-07,13.1429
2017-09-19,13.6364
2017-10-03,-33.3333
2017-10-04,16.6667
2017-10-05,34.2857
2017-11-06,-5.1064
2017-11-07,7.6233
2017-11-14,2.0833
2017-11-22,2.0408
2017-12-19,0.8
2017-12-20,28.9683
2018-01-05,-4.6154
2018-02-02,4.8387
2018-05-22,-7.6923
2018-06-05,11.6667
2018-06-15,-1.4925
2018-06-22,1.5152
2018-07-02,-1.4925
2018-07-09,0.0
2018-07-26,-39.3939
2018-07-27,62.5
2018-08-31,-1.5385
2018-09-25,1.5625
2018-10-03,3.0769
2018-10-11,-2.9851
2018-10-16,1.5385
2018-10-29,0.0
2018-11-07,-1.5152
2018-11-14,1.5385
2018-11-27,-1.5152
2018-12-06,1.5385
2018-12-14,-1.5152
2018-12-21,1.5385
2018-12-24,3.0303
2018-12-27,5.8824
2018-12-28,2.7778
2018-12-31,2.7027
2019-01-03,-1.3158
2019-01-10,2.6667
2019-01-18,1.2987
2019-01-28,-1.2821
2019-02-06,1.2987
2019-02-19,-2.5641
2019-02-28,1.3158
2019-03-04,2.5974
2019-03-15,-1.2658
2019-03-22,-1.2821
2019-04-01,1.2987
2019-04-04,79.4872
2019-06-21,0.0014
2019-10-02,2.8557
2019-10-24,-2.7778
2019-11-12,0.0
2019-12-18,0.7143
2020-01-03,-1.4184
2020-01-21,2.1583
2020-02-03,-4.2254
2020-02-18,1.4706000000000001
2020-02-27,0.7246
2020-03-27,0.7194
2020-05-07,-0.7143
2020-06-11,-0.7194
