ticker,EGRGF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-03-16,6.1339
2016-03-22,7.6892
2016-03-24,-1.4502
2016-03-30,-0.1796
2016-03-31,-1.5483
2016-04-06,-11.1336
2016-04-08,2.1062
2016-04-11,1.7544
2016-04-12,5.6322
2016-04-13,-0.4748
2016-04-19,4.6218
2016-04-20,-0.456
2016-04-21,-2.9109
2016-04-22,2.2117
2016-04-26,0.3078
2016-04-27,1.4058
2016-05-02,-3.9522
2016-05-10,-6.745
2016-05-11,5.4915
2016-05-12,0.5671
2016-05-13,0.3223
2016-05-16,3.7743
2016-05-18,2.2055
2016-05-19,-0.2366
2016-05-20,-1.1858
2016-05-26,3.533
2016-06-02,-9.2768
2016-06-06,-1.2097
2016-06-07,-1.1826
2016-06-08,2.0123
2016-06-09,-2.4917
2016-06-14,-9.4549
2016-06-17,2.54
2016-06-20,5.2867
2016-06-21,-1.514
2016-06-22,1.3935
2016-06-23,-1.4289
2016-06-27,-7.0267
2016-06-29,6.7279
2016-06-30,0.2921
2016-07-11,-5.0179
2016-07-13,-0.5425
2016-08-02,-9.237
2016-08-05,5.0526
2016-08-08,-0.5762
2016-08-12,3.4769
2016-08-15,2.9218
2016-08-16,1.9872
2016-08-17,1.3222
2016-08-18,2.0719
2016-08-19,-4.7774
2016-08-23,7.3725
2016-08-30,-7.4165
2016-08-31,-2.2901
2016-09-06,8.3984
2016-09-07,-3.2658
2016-09-08,4.7381
2016-09-12,-9.4809
2016-09-16,-1.3752
2016-09-23,1.5936
2016-09-28,6.1952
2016-09-30,-0.43
2016-10-04,-5.7306
2016-10-05,2.8104
2016-10-07,-0.4817
2016-10-12,3.3882
2016-10-13,0.1287
2016-10-17,-1.2858
2016-10-21,0.0
2016-10-24,0.7934
2016-10-31,-1.3754
2016-11-07,-0.1679
2016-11-11,-2.908
2016-11-21,2.6114
2016-11-23,2.2796
2016-11-30,-4.3266
2016-12-01,10.9484
2016-12-05,-3.6921
2016-12-07,4.3099
2016-12-08,4.4437
2016-12-12,7.379
2016-12-13,-2.5025
2016-12-14,-3.1778
2016-12-15,-2.3774
2016-12-20,1.5516999999999999
2016-12-28,-2.1441
2016-12-30,-1.637
2017-01-03,3.6725
2017-01-04,2.2795
2017-01-05,-1.1719
2017-01-10,-4.7962
2017-01-12,3.492
2017-01-13,1.6118999999999999
2017-01-20,-3.0457
2017-01-23,0.0
2017-01-25,1.9197
2017-01-31,0.139
2017-02-02,-2.926
2017-02-13,-0.5319
