ticker,FRTG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-08-28,300.0
2015-09-02,400.0
2015-09-15,-74.0
2015-09-16,55.3846
2015-10-06,-75.2475
2015-10-08,100.0
2015-10-09,100.0
2015-10-15,-40.0
2015-10-21,-58.3333
2015-11-12,0.0
2015-11-19,100.0
2015-12-03,24.0
2015-12-04,-59.6774
2016-01-15,180.0
2016-01-19,-0.7143
2016-01-20,0.7194
2016-01-26,-22.1429
2016-01-27,0.0
2016-02-04,0.9174
2016-02-11,36.3636
2016-02-12,-32.6667
2016-02-18,0.0
2016-02-19,0.0
2016-02-24,48.5149
2016-03-02,-16.6667
2016-03-10,36.0
2016-03-11,0.0
2016-03-14,0.0
2016-03-16,8.8235
2016-03-23,-16.2162
2016-03-28,58.0645
2016-03-30,-29.3878
2016-03-31,0.2673
2016-04-04,-4.8786000000000005
2016-04-18,0.4659
2016-04-26,0.1395
2016-04-27,0.0
2016-05-20,0.0
2016-05-24,0.0
2016-05-31,0.9262
2016-06-06,0.8729
2016-06-07,36.0947
2016-06-24,-34.7826
2016-07-05,11.0333
2016-09-26,6.2744
2016-12-07,8.8347
2017-02-03,1.2264
2017-03-02,-13.8462
2017-03-28,-28.5714
2017-05-11,66.6667
2017-05-18,12.5
2017-06-16,0.0
2017-06-27,-11.1111
2017-08-01,-25.0
2017-11-22,-1.38
2017-11-28,-4.6846
2018-01-24,4.9645
2018-03-14,0.0
2018-03-16,-5.4054
2018-04-03,7.1429
2019-07-22,0.0
2019-10-23,-29.3333
2020-02-21,-5.6604
2020-04-01,-49.0
2020-05-14,96.0784
2020-05-18,95.0
2020-06-19,-46.1538
