ticker,IDT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-05-29,5.6604
2001-05-30,-2.8571
2001-05-31,-14.3382
2001-06-01,15.4506
2001-06-04,-4.9071
2001-06-05,-0.7037
2001-06-06,0.0
2001-06-07,-3.5433
2001-06-08,-3.5918
2001-06-11,-1.8628
2001-06-12,-0.7765
2001-06-13,-1.3043
2001-06-14,-0.793
2001-06-15,-0.5329
2001-06-18,2.5
2001-06-19,-4.1812
2001-06-20,0.0909
2001-06-21,0.6358
2001-06-22,-0.5415
2001-06-25,-2.4501
2001-06-26,1.3953
2001-06-27,2.2936
2001-06-28,2.6906
2001-06-29,-3.9301
2001-07-02,0.8182
2001-07-03,12.7142
2001-07-05,-8.0
2001-07-06,0.0
2001-07-09,0.4348
2001-07-10,-3.4632
2001-07-11,-1.1659
2001-07-12,-0.1815
2001-07-13,4.3636
2001-07-16,-4.5296
2001-07-17,0.1825
2001-07-18,2.7321999999999997
2001-07-19,1.0638
2001-07-20,0.7895
2001-07-23,0.6092
2001-07-24,-1.9031
2001-07-25,2.2928
2001-07-26,-0.7759
2001-07-27,4.1703
2001-07-30,-1.1676
2001-07-31,1.097
2001-08-01,-1.0851
2001-08-02,-0.3376
2001-08-03,-1.1854
2001-08-06,-0.9426
2001-08-07,1.8166
2001-08-08,0.1699
2001-08-09,-0.7634
2001-08-10,1.2821
2001-08-13,-0.1688
2001-08-14,1.437
2001-08-15,0.0
2001-08-16,-0.4167
2001-08-17,-0.3347
2001-08-20,2.0151
2001-08-21,-0.3292
2001-08-22,-1.0735
2001-08-23,0.9182
2001-08-24,-1.5715
2001-08-27,-1.7647
2001-08-28,0.7699
2001-08-29,-1.1885
2001-08-30,-3.7801
2001-08-31,-0.0893
2001-09-04,-0.6256
2001-09-05,-0.6295
2001-09-06,-1.086
2001-09-07,-0.7319
2001-09-10,1.7511999999999999
2001-09-17,-1.2681
2001-09-18,0.367
2001-09-19,-1.3711
2001-09-20,-6.0241
2001-09-21,-3.3531
2001-09-24,0.0
2001-09-25,0.102
2001-09-26,-1.1213
2001-09-27,0.0
2001-09-28,-0.2062
2001-10-01,0.7231
2001-10-02,0.5128
2001-10-03,-0.2041
2001-10-04,-2.2495
2001-10-05,-0.6276
2001-10-08,-1.0526
2001-10-09,-1.9149
2001-10-10,-0.2169
2001-10-11,1.087
2001-10-12,0.0
2001-10-15,-2.6882
2001-10-16,-2.7624
2001-10-17,-1.7045
2001-10-18,-1.6185
2001-10-19,5.8754
2001-10-22,0.9989
