ticker,FBP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.506
2000-01-04,-0.6116
2000-01-05,-0.6154
2000-01-06,1.2384
2000-01-07,0.0
2000-01-10,-1.5291000000000001
2000-01-11,-1.5528
2000-01-12,2.2082
2000-01-13,0.6173
2000-01-14,-1.8405
2000-01-18,-0.625
2000-01-19,0.0
2000-01-20,0.6289
2000-01-21,-2.8125
2000-01-24,-0.9646
2000-01-25,-3.2468
2000-01-26,1.0067
2000-01-27,-0.3322
2000-01-28,-0.6667
2000-01-31,-2.6846
2000-02-01,-0.6897
2000-02-02,-1.3889
2000-02-03,0.0
2000-02-04,3.8731999999999998
2000-02-07,-1.0169
2000-02-08,-1.3699
2000-02-09,-1.3889
2000-02-10,1.4085
2000-02-11,-0.3472
2000-02-14,-1.7422
2000-02-15,0.7092
2000-02-16,0.3521
2000-02-17,0.0
2000-02-18,-0.7018
2000-02-22,-2.4735
2000-02-23,-1.087
2000-02-24,-0.3663
2000-02-25,-0.7353
2000-02-28,-0.3704
2000-02-29,1.1152
2000-03-01,5.1471
2000-03-02,1.049
2000-03-03,-1.0381
2000-03-06,0.3497
2000-03-07,-1.7422
2000-03-08,-1.4184
2000-03-09,0.7194
2000-03-10,-1.4285999999999999
2000-03-13,-4.4348
2000-03-14,5.3435
2000-03-15,-3.6231999999999998
2000-03-16,4.5113
2000-03-17,-1.0791
2000-03-20,-0.7273
2000-03-21,1.0989
2000-03-22,-1.087
2000-03-23,0.0
2000-03-24,1.8315000000000001
2000-03-27,1.0791
2000-03-28,-1.0676
2000-03-29,0.0
2000-03-30,-0.7194
2000-03-31,2.1739
2000-04-03,1.7730000000000001
2000-04-04,-2.439
2000-04-05,2.1429
2000-04-06,2.0979
2000-04-07,0.0
2000-04-10,0.6849
2000-04-11,-0.6803
2000-04-12,0.0
2000-04-13,-1.0274
2000-04-14,1.7301
2000-04-17,-1.0204
2000-04-18,0.0
2000-04-19,-0.3436
2000-04-20,-0.6897
2000-04-24,-1.0417
2000-04-25,0.0
2000-04-26,-0.3509
2000-04-27,-2.4648
2000-04-28,2.1661
2000-05-01,1.7668
2000-05-02,-1.3889
2000-05-03,-1.4085
2000-05-04,0.7143
2000-05-05,1.4184
2000-05-08,-0.6993
2000-05-09,0.0
2000-05-10,-3.8731999999999998
2000-05-11,2.1978
2000-05-12,0.7168
2000-05-15,-1.0676
2000-05-16,0.7194
2000-05-17,0.7143
2000-05-18,-0.7092
2000-05-19,-1.4285999999999999
