ticker,EMRN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-07-03,-4.5455
2003-07-07,19.0476
2003-07-08,4.0
2003-07-09,0.0
2003-07-10,-38.4615
2003-07-11,43.75
2003-07-15,-17.3913
2003-07-16,-25.2632
2003-07-17,-22.5352
2003-07-18,7.2727
2003-07-21,-15.2542
2003-07-22,-20.0
2003-07-23,-20.0
2003-07-24,-6.25
2003-07-25,-5.0
2003-07-28,-3.5088
2003-07-29,-3.6364
2003-07-30,-5.6604
2003-07-31,0.0
2003-08-01,10.0
2003-08-04,9.0909
2003-08-05,8.3333
2003-08-06,3.0769
2003-08-07,-5.9701
2003-08-08,-4.7619
2003-08-11,41.6667
2003-08-12,5.8824
2003-08-13,-5.5556
2003-08-14,-9.4118
2003-08-15,-9.0909
2003-08-18,-7.1429
2003-08-19,-4.6154
2003-08-20,0.0
2003-08-21,3.2258
2003-08-22,-3.125
2003-08-25,4.8387
2003-08-26,-24.6154
2003-08-27,-38.7755
2003-08-28,30.0
2003-08-29,-7.6923
2003-09-02,11.1111
2003-09-03,0.0
2003-09-04,0.0
2003-09-05,0.0
2003-09-08,-2.5
2003-09-09,2.5641
2003-09-10,0.0
2003-09-11,-2.5
2003-09-12,-10.2564
2003-09-15,8.5714
2003-09-16,-15.7895
2003-09-17,3.125
2003-09-18,-3.0303
2003-09-19,-9.375
2003-09-22,0.0
2003-09-23,0.0
2003-09-24,3.4483
2003-09-25,0.0
2003-09-26,0.0
2003-09-29,0.0
2003-09-30,0.0
2003-10-01,-16.6667
2003-10-02,12.0
2003-10-03,3.5714
2003-10-06,10.3448
2003-10-07,-6.25
2003-10-08,0.0
2003-10-09,0.0
2003-10-10,-3.3333
2003-10-13,-3.4483
2003-10-14,0.0
2003-10-15,-8.9286
2003-10-16,-1.9607999999999999
2003-10-17,0.0
2003-10-20,-4.0
2003-10-21,-4.1667
2003-10-22,4.3478
2003-10-23,-4.1667
2003-10-24,8.6957
2003-10-27,-8.0
2003-10-28,8.6957
2003-10-29,-4.0
2003-10-30,0.0
2003-10-31,4.1667
2003-11-03,-8.0
2003-11-04,0.0
2003-11-05,21.7391
2003-11-06,-17.8571
2003-11-07,0.0
2003-11-10,4.3478
2003-11-11,0.0
2003-11-12,25.0
2003-11-13,-3.3333
2003-11-14,-3.4483
2003-11-17,-18.9732
2003-11-18,-27.2727
2003-11-19,-33.3333
2003-11-20,13.6364
2003-11-21,8.0
2003-11-24,-18.5185
2003-11-25,-9.0909
2003-11-26,-8.125
