ticker,CTXR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-12-01,25.0
2014-12-17,-1.6
2014-12-18,-14.6341
2014-12-19,0.0
2014-12-22,0.0
2014-12-26,0.0
2014-12-29,-0.9524
2015-01-05,5.7692
2015-01-06,0.0
2015-01-07,3.6364
2015-01-08,0.0
2015-01-09,0.8772
2015-01-12,0.0
2015-01-13,0.0
2015-01-14,0.0
2015-01-16,0.0
2015-01-20,0.0
2015-01-21,-4.3478
2015-01-22,-9.0909
2015-01-23,6.0
2015-01-26,0.0
2015-01-27,-5.6604
2015-01-29,11.0
2015-02-02,12.6126
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,-15.2
2015-02-09,14.1509
2015-02-11,-4.9587
2015-02-12,-2.6087
2015-02-19,35.0446
2015-02-26,-4.1322
2015-03-02,-3.4483
2015-03-06,0.0
2015-03-16,17.8571
2015-03-23,21.2121
2015-03-27,-30.0
2015-03-30,28.5714
2015-04-16,-44.4444
2015-04-17,70.0
2015-04-22,-41.1765
2015-04-23,75.0
2015-07-17,-2.8571
2015-10-15,-26.4706
2015-10-19,4.0
2015-10-20,-3.8462
2015-10-28,1.6
2015-11-30,-1.5748
2015-12-01,-4.0
2015-12-02,29.1667
2015-12-07,3.2258
2015-12-09,9.375
2015-12-10,2.8571
2015-12-11,0.0
2015-12-14,2.7778
2016-02-01,5.4054
2016-02-03,7.6923
2016-02-08,0.0
2016-02-09,19.0476
2016-04-19,-14.0
2016-04-21,2.3256
2016-05-02,-20.4545
2016-05-03,0.0
2016-05-05,-20.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,-0.7143
2016-05-12,-5.036
2016-05-13,0.0
2016-05-16,0.7576
2016-05-17,-0.7519
2016-05-18,-0.7576
2016-05-19,0.0
2016-05-20,-1.5267
2016-05-23,-2.3256
2016-05-26,-8.7302
2016-06-01,4.3478
2016-06-02,0.0
2016-06-07,-15.8333
2016-06-08,25.7426
2016-06-09,0.7874
2016-06-10,-14.0625
2016-06-13,-8.1818
2016-06-15,-10.8911
2016-06-16,11.1111
2016-06-17,-9.0
2016-06-21,-6.5934
2016-06-22,-3.5294
2016-06-23,-2.439
2016-06-28,-2.5
2016-06-29,8.9744
2016-06-30,4.7059
2016-07-01,-4.4944
2016-07-05,-17.6324
2016-07-06,7.1237
2016-07-07,2.6667
2016-07-08,14.2857
2016-07-11,3.8636
2016-07-12,-0.3146
2016-07-13,2.0716
2016-07-14,-1.0753
2016-07-15,8.6957
2016-07-18,8.0
