ticker,BIO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.2086
2000-01-04,-3.0387
2000-01-05,-0.8547
2000-01-06,1.1494
2000-01-07,0.0
2000-01-10,2.2727
2000-01-11,2.2222
2000-01-12,1.087
2000-01-13,-6.4516
2000-01-14,4.023
2000-01-18,2.2099
2000-01-19,-1.6216
2000-01-20,-3.2967
2000-01-21,0.5682
2000-01-24,0.565
2000-01-25,3.3708
2000-01-26,-1.087
2000-01-27,1.6484
2000-01-28,-0.5405
2000-01-31,0.2717
2000-02-01,-0.271
2000-02-02,3.8043
2000-02-03,4.712
2000-02-04,4.0
2000-02-07,3.3654
2000-02-08,-3.7209
2000-02-09,0.9662
2000-02-10,-0.4785
2000-02-11,1.4423
2000-02-14,-6.1611
2000-02-15,1.0101
2000-02-16,6.0
2000-02-17,0.9434
2000-02-18,2.3364
2000-02-22,3.1963
2000-02-23,0.4425
2000-02-24,2.2026
2000-02-25,1.5086
2000-02-28,5.3079
2000-02-29,6.0484
2000-03-01,-4.3726
2000-03-02,-2.3857
2000-03-03,1.0183
2000-03-06,1.6129
2000-03-07,-3.1746
2000-03-08,0.6148
2000-03-09,-0.611
2000-03-10,-3.2787
2000-03-13,1.6949
2000-03-14,-0.4167
2000-03-15,-0.2092
2000-03-16,0.4193
2000-03-17,-3.1315
2000-03-20,0.0
2000-03-21,0.0
2000-03-22,-0.6466
2000-03-23,-1.9523000000000001
2000-03-24,-0.4425
2000-03-27,0.8889
2000-03-28,-0.4405
2000-03-29,-0.885
2000-03-30,-0.4464
2000-03-31,-2.2422
2000-04-03,-1.8349
2000-04-04,-3.7382999999999997
2000-04-05,0.4854
2000-04-06,0.4831
2000-04-07,0.2404
2000-04-10,3.1175
2000-04-11,-2.7907
2000-04-12,-0.4785
2000-04-13,-0.7212
2000-04-14,1.6949
2000-04-17,-1.4285999999999999
2000-04-18,-2.657
2000-04-19,0.7444
2000-04-20,-0.9852
2000-04-24,0.0
2000-04-25,0.0
2000-04-26,1.2438
2000-04-27,1.7199
2000-04-28,-1.4493
2000-05-01,4.902
2000-05-02,-0.9346
2000-05-03,-1.8868
2000-05-04,0.4808
2000-05-05,-0.9569
2000-05-08,0.2415
2000-05-09,-0.7229
2000-05-10,-1.4563
2000-05-11,1.2315
2000-05-12,1.2165
2000-05-15,1.4423
2000-05-16,0.4739
2000-05-17,-1.4151
2000-05-18,1.4354
2000-05-19,-0.9434
2000-05-22,-0.4762
2000-05-23,-1.9139
2000-05-24,-2.439
