ticker,ARDS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-08-14,0.0
2018-08-15,-0.3077
2018-08-16,-0.3086
2018-08-17,0.0774
2018-08-20,-0.6187
2018-08-21,0.5447
2018-08-22,-0.387
2018-08-23,1.0878
2018-08-24,0.2306
2018-08-27,0.5368
2018-08-28,0.6865
2018-08-29,2.2727
2018-08-30,1.1111
2018-08-31,-1.4652
2018-09-04,1.7844
2018-09-05,-0.4383
2018-09-06,-2.4211
2018-09-07,-8.8722
2018-09-10,0.5776
2018-09-11,1.4766
2018-09-12,2.9911
2018-09-13,-0.314
2018-09-14,-6.1811
2018-09-17,6.5044
2018-09-18,-0.9456
2018-09-19,1.8298
2018-09-20,2.1094
2018-09-21,-8.1102
2018-09-24,7.9933
2018-09-25,1.0023
2018-09-26,0.6107
2018-09-27,-1.8968
2018-09-28,0.9667
2018-10-01,-4.6342
2018-10-02,4.4177
2018-10-03,-0.1538
2018-10-04,0.3852
2018-10-05,-1.2701
2018-10-08,-0.3039
2018-10-09,-3.3169
2018-10-10,1.7742
2018-10-11,-0.1109
2018-10-12,0.7243
2018-10-15,0.0213
2018-10-16,-0.7874
2018-10-17,0.0
2018-10-18,0.3175
2018-10-19,-1.1076
2018-10-22,3.36
2018-10-23,-2.4861
2018-10-24,-2.2129
2018-10-25,0.2435
2018-10-26,0.0
2018-10-29,1.0526
2018-10-31,-1.4423
2018-11-01,1.626
2018-11-02,-2.16
2018-11-05,-0.2453
2018-11-06,-1.9672
2018-11-07,7.3579
2018-11-08,-5.2181
2018-11-09,-0.7995
2018-11-12,0.6403
2018-11-13,0.6584
2018-11-14,2.1259
2018-11-15,-0.0801
2018-11-16,1.1218
2018-11-19,-4.0412
2018-11-20,-0.0826
2018-11-21,-0.8264
2018-11-23,-0.4167
2018-11-27,3.9331
2018-11-28,-0.161
2018-11-30,-14.5161
2018-12-03,-6.1321
2018-12-04,-14.5729
2018-12-06,3.4965
2018-12-07,-2.9714
2018-12-10,-6.8629
2018-12-11,-1.6478000000000002
2018-12-12,15.1042
2018-12-13,19.4444
2018-12-14,-10.6977
2018-12-17,-3.0208
2018-12-18,-0.8593
2018-12-19,-4.6587
2018-12-20,-9.0909
2018-12-21,-0.5
2018-12-24,23.8693
2018-12-26,-3.854
2018-12-27,8.9662
2018-12-28,-0.2904
2018-12-31,7.6699
2019-01-02,-5.3201
2019-01-03,-4.0381
2019-01-04,-0.7543
2019-01-07,-0.1
2019-01-08,-4.9049
2019-01-09,2.5884
