ticker,DOYU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-17,0.0
2019-07-18,-3.9130000000000003
2019-07-19,-4.9774
2019-07-22,-4.2857
2019-07-23,3.2836
2019-07-24,-1.7341
2019-07-25,-4.7059
2019-07-26,3.7037
2019-07-29,0.0
2019-07-30,-0.5952
2019-07-31,-2.495
2019-08-01,-4.5036000000000005
2019-08-02,-5.6806
2019-08-05,-7.0455
2019-08-06,-4.1565
2019-08-07,7.0153
2019-08-08,9.8927
2019-08-09,3.6875999999999998
2019-08-12,3.8703
2019-08-13,-10.9768
2019-08-14,-7.9186
2019-08-15,2.0885
2019-08-16,4.6931
2019-08-19,-2.8736
2019-08-20,-1.6568
2019-08-21,-1.083
2019-08-22,-0.2433
2019-08-23,-1.5854
2019-08-26,3.4696
2019-08-27,3.4731
2019-08-28,2.0833
2019-08-29,4.3084
2019-08-30,2.8261
2019-09-03,-1.1628
2019-09-04,6.7379999999999995
2019-09-05,-0.1002
2019-09-06,-0.1003
2019-09-09,-1.8072
2019-09-10,-0.3067
2019-09-11,-1.8462
2019-09-12,-1.8809
2019-09-13,1.1715
2019-09-16,-1.7894999999999999
2019-09-17,-3.3226
2019-09-18,0.2217
2019-09-19,1.3274
2019-09-20,3.7118
2019-09-23,-4.6316
2019-09-24,-3.0905
2019-09-25,-0.3417
2019-09-26,-1.6
2019-09-27,-4.878
2019-09-30,0.0
2019-10-01,0.0
2019-10-02,-0.8547
2019-10-03,1.4778
2019-10-04,3.2767
2019-10-07,-4.7004
2019-10-08,-2.2195
2019-10-09,1.0088
2019-10-10,1.2484
2019-10-11,5.1788
2019-10-14,-10.1993
2019-10-15,-2.4804
2019-10-16,-4.6854
2019-10-17,3.5112
2019-10-18,2.3066
2019-10-21,0.3979
2019-10-22,-3.1704
2019-10-23,6.5484
2019-10-24,-0.7682
2019-10-25,1.9355
2019-10-28,-0.2532
2019-10-29,-1.5228000000000002
2019-10-30,1.933
2019-10-31,-1.7699
2019-11-01,-0.1287
2019-11-04,6.701
2019-11-05,-0.3623
2019-11-06,-5.4545
2019-11-07,2.3077
2019-11-08,0.6266
2019-11-11,-3.1133
2019-11-12,-5.0129
2019-11-13,-1.0825
2019-11-14,-1.2312
2019-11-15,4.1551
2019-11-18,1.7287
2019-11-19,0.1307
2019-11-20,-4.6997
2019-11-21,0.5479
2019-11-22,3.406
2019-11-25,1.4493
2019-11-26,-0.6494
2019-11-27,2.4837
2019-11-29,-4.8469
2019-12-02,0.6702
