ticker,SHEN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-1.4815
2000-01-07,-0.7519
2000-01-10,-3.0303
2000-01-11,1.5625
2000-01-12,-0.3846
2000-01-13,1.9304999999999999
2000-01-14,-1.5152
2000-01-19,0.7692
2000-01-20,2.6718
2000-01-21,1.1152
2000-01-24,2.9412000000000003
2000-01-25,20.0
2000-01-26,-0.8929
2000-01-27,0.9009
2000-01-28,-7.1429
2000-01-31,2.5641
2000-02-02,-2.5
2000-02-03,-2.5641
2000-02-04,1.6447
2000-02-07,-6.7961
2000-02-08,-2.7778
2000-02-09,0.0
2000-02-10,2.8571
2000-02-11,0.0
2000-02-14,-2.7778
2000-02-15,0.0
2000-02-16,2.8571
2000-02-17,0.0
2000-02-22,1.0417
2000-02-23,-1.0309
2000-02-25,0.0
2000-02-28,2.7778
2000-02-29,2.027
2000-03-01,0.6623
2000-03-02,7.8947
2000-03-03,2.439
2000-03-06,0.0
2000-03-07,0.0
2000-03-08,0.2976
2000-03-09,28.1899
2000-03-10,1.8519
2000-03-13,-18.1818
2000-03-14,11.1111
2000-03-16,-10.0
2000-03-20,-4.4444
2000-03-21,5.814
2000-03-22,3.2967
2000-03-24,0.0
2000-03-28,0.0
2000-03-29,-3.1915
2000-03-31,-11.2637
2000-04-03,5.2632
2000-04-04,-3.5294
2000-04-05,2.439
2000-04-06,0.0
2000-04-07,-7.1429
2000-04-10,9.6154
2000-04-14,-9.0643
2000-04-17,-9.9678
2000-04-18,2.8571
2000-04-20,-8.3333
2000-04-24,-4.5455
2000-04-25,-1.5873
2000-04-26,-9.6774
2000-04-27,3.5714
2000-05-01,13.7931
2000-05-02,-6.0606
2000-05-03,0.0
2000-05-04,-6.0484
2000-05-05,-3.8627000000000002
2000-05-08,3.5714
2000-05-09,3.4483
2000-05-10,-6.6667
2000-05-11,7.1429
2000-05-16,-6.6667
2000-05-17,3.5714
2000-05-18,-0.431
2000-05-19,3.8961
2000-05-22,0.0
2000-05-23,-3.3333
2000-05-25,3.4483
2000-05-30,0.0
2000-05-31,0.0
2000-06-02,1.6667
2000-06-05,0.0
2000-06-06,1.6393
2000-06-07,0.0
2000-06-13,-0.8065
2000-06-14,0.0
2000-06-16,2.439
2000-06-22,-0.7937
2000-06-26,-4.0
2000-06-28,3.3333
2000-07-03,0.0
2000-07-05,-0.8065
2000-07-06,0.813
2000-07-07,0.0
2000-07-10,0.0
2000-07-11,-1.6129
2000-07-12,0.0
