ticker,GASE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-14,1300.0
2013-11-26,400.0
2013-12-02,10.0
2013-12-03,-6.8182
2013-12-04,2.439
2013-12-05,2.3810000000000002
2013-12-06,2.3256
2013-12-09,2.2727
2013-12-10,2.2222
2013-12-11,2.1739
2013-12-12,0.0
2013-12-13,1.9149
2013-12-16,-3.9666
2013-12-17,6.5217
2013-12-18,-2.0408
2013-12-19,4.1667
2013-12-20,0.0
2013-12-23,0.0
2013-12-26,0.0
2013-12-27,0.0
2013-12-30,2.0
2013-12-31,-1.9607999999999999
2014-01-02,0.0
2014-01-03,0.0
2014-01-06,0.0
2014-01-07,4.0
2014-01-08,1.9231
2014-01-09,1.8868
2014-01-13,-5.5556
2014-01-14,-3.9215999999999998
2014-01-15,2.0408
2014-01-16,8.0
2014-01-17,0.0
2014-01-21,3.7037
2014-01-22,-1.7856999999999998
2014-01-23,1.8182
2014-01-24,-3.5714
2014-01-27,5.5556
2014-01-28,3.5088
2014-01-29,10.1907
2014-01-30,6.9025
2014-01-31,5.036
2014-02-03,-15.0685
2014-02-04,-11.2903
2014-02-05,-9.0909
2014-02-06,14.0
2014-02-07,14.0351
2014-02-10,-4.6154
2014-02-11,-3.1452
2014-02-12,-7.577
2014-02-13,15.3153
2014-02-14,4.6875
2014-02-18,-7.4627
2014-02-19,7.2581
2014-02-20,-0.7519
2014-02-21,-1.5152
2014-02-24,-1.5385
2014-02-25,-1.5625
2014-02-26,-4.7619
2014-02-27,-5.0
2014-02-28,0.0
2014-03-03,-21.0526
2014-03-04,11.1111
2014-03-05,0.0
2014-03-06,13.0
2014-03-07,2.6549
2014-03-10,5.1724
2014-03-11,-11.4754
2014-03-12,-1.8519
2014-03-13,9.434
2014-03-14,-12.069
2014-03-17,7.8431
2014-03-18,-5.4545
2014-03-19,-5.9615
2014-03-20,12.4744
2014-03-21,-10.9091
2014-03-24,1.0204
2014-03-25,3.0303
2014-03-26,-11.5686
2014-03-27,0.0
2014-03-28,0.0
2014-03-31,10.8647
2014-04-01,-6.0
2014-04-02,-1.9149
2014-04-03,8.4599
2014-04-04,-4.0
2014-04-07,-11.4583
2014-04-08,-1.1764999999999999
2014-04-09,-19.0476
2014-04-10,-12.3529
2014-04-11,6.7114
2014-04-14,-5.6604
2014-04-15,-16.6667
2014-04-16,8.0
2014-04-17,-7.4074
2014-04-21,-16.0
2014-04-22,0.0
2014-04-23,10.0
2014-04-24,-4.7619
2014-04-25,2.2727
