ticker,HSEN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-16,-2.8571
2010-05-25,-32.3529
2010-06-17,-13.0435
2010-11-23,-25.0
2010-12-07,-83.3333
2010-12-16,160.0
2010-12-17,-76.9231
2011-01-06,573.3333
2011-02-18,-90.099
2011-04-15,-20.0
2011-05-04,-37.5
2011-05-26,-60.0
2011-05-31,-74.375
2011-06-07,875.6098
2011-06-09,-80.0
2011-06-20,0.0
2011-07-11,900.0
2011-07-12,0.0
2011-07-19,70.0
2011-07-20,-64.7059
2011-07-21,233.3333
2011-07-22,-50.0
2011-08-02,100.0
2011-08-12,-87.5
2011-11-15,20.0
2012-03-29,-63.3333
2012-10-12,1900.0
2012-11-20,-6.8182
2012-12-06,-37.8659
2012-12-17,-81.158
2012-12-18,66.6667
2012-12-20,-12.5
2012-12-21,-68.2143
2012-12-28,259.5506
2012-12-31,-72.1875
2013-10-25,0.0
2014-11-13,0.0
2015-01-08,0.0
2015-02-11,0.0
2015-03-20,798.8764
2015-07-08,-88.0
2015-12-18,0.0
2016-02-04,150.0
2016-03-10,-33.3333
2016-05-18,55.0
2016-05-24,-35.0806
2016-07-13,645.3416
2016-07-14,165.3333
2016-07-15,0.0
2016-07-19,-21.8436
2016-07-20,0.0
2016-07-22,-19.57
2016-07-25,-0.0749
2016-07-26,20.0
2016-07-29,-16.6667
2016-08-02,0.0
2016-08-05,20.0
2016-08-12,0.0
2016-08-16,-19.1667
2016-08-17,23.7113
2016-08-18,0.0
2016-08-22,-63.3333
2016-08-23,172.7273
2016-08-24,0.0
2016-08-29,-76.6667
2016-08-30,42.6786
2016-09-02,200.3755
2016-09-07,0.0
2016-09-16,-50.0
2016-09-22,-43.3333
2016-10-14,17.647100000000002
2016-10-28,-30.0
2016-12-08,-14.2857
2016-12-09,-8.3333
2016-12-14,-9.0909
2018-09-18,-30.0
2018-10-08,42.8571
2019-01-07,-44.0
2019-01-08,18.5714
2019-01-15,20.4819
2019-01-24,0.0
2019-02-07,0.0
2019-03-13,-5.0
2019-11-06,-47.3684
2019-11-26,-30.5
2019-11-29,-2.8777
2020-04-16,-11.1111
2020-04-17,0.0
2020-06-08,25.0
2020-06-15,-26.6667
2020-07-06,0.0
