ticker,K US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.0426
2000-01-04,-3.5564999999999998
2000-01-05,-0.8677
2000-01-06,0.8753
2000-01-07,1.5184
2000-01-10,-3.2051
2000-01-11,2.2075
2000-01-12,-2.5918
2000-01-13,-2.6608
2000-01-14,-3.1891
2000-01-18,4.0
2000-01-19,-2.9412000000000003
2000-01-20,-3.7296
2000-01-21,-3.1477
2000-01-24,-3.5
2000-01-25,-0.7772
2000-01-26,3.6554
2000-01-27,-1.2594
2000-01-28,-2.2959
2000-01-31,1.3054999999999999
2000-02-01,1.2887
2000-02-02,-2.5445
2000-02-03,0.2611
2000-02-04,-2.6042
2000-02-07,-2.4064
2000-02-08,2.7397
2000-02-09,-2.6667
2000-02-10,-4.1096
2000-02-11,-3.7143
2000-02-14,0.8902
2000-02-15,8.5294
2000-02-16,-1.897
2000-02-17,1.3812
2000-02-18,-3.2698
2000-02-22,8.169
2000-02-23,-1.5625
2000-02-24,-5.5556
2000-02-25,-4.7843
2000-02-28,10.4167
2000-02-29,9.1644
2000-03-01,-6.1728
2000-03-02,-3.9474
2000-03-03,4.3836
2000-03-06,-3.6745
2000-03-07,-1.0899
2000-03-08,4.9587
2000-03-09,-1.3123
2000-03-10,-2.3936
2000-03-13,2.1798
2000-03-14,0.8
2000-03-15,10.8466
2000-03-16,3.58
2000-03-17,-5.7604
2000-03-20,1.467
2000-03-21,2.4096
2000-03-22,-4.4706
2000-03-23,-1.2315
2000-03-24,-2.2444
2000-03-27,-1.5306
2000-03-28,-1.0363
2000-03-29,6.0209
2000-03-30,2.716
2000-03-31,-0.9615
2000-04-03,-2.1845
2000-04-04,4.2184
2000-04-05,0.9524
2000-04-06,-0.4717
2000-04-07,-5.2133
2000-04-10,1.25
2000-04-11,0.4938
2000-04-12,1.4742
2000-04-13,3.8741
2000-04-14,0.2331
2000-04-17,3.4884
2000-04-18,-0.8989
2000-04-19,-0.4535
2000-04-20,-3.6446
2000-04-24,-1.182
2000-04-25,6.2201
2000-04-26,-5.1802
2000-04-27,-9.2637
2000-04-28,1.5707
2000-05-01,3.6082
2000-05-02,-1.2438
2000-05-03,2.5189
2000-05-04,0.0
2000-05-05,-0.7371
2000-05-08,0.0
2000-05-09,-0.9901
2000-05-10,0.0
2000-05-11,-2.0
2000-05-12,2.8061
2000-05-15,6.4516
2000-05-16,2.331
2000-05-17,-0.9112
2000-05-18,-0.4598
2000-05-19,3.4642
2000-05-22,4.6875
2000-05-23,3.838
