ticker,PLAN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-12,42.9412
2018-10-15,0.0
2018-10-16,-5.2675
2018-10-17,10.4692
2018-10-18,-3.6571
2018-10-19,-0.0816
2018-10-22,0.1225
2018-10-23,-2.4888
2018-10-24,-5.6485
2018-10-25,5.8537
2018-10-26,3.1001
2018-10-29,-8.0049
2018-10-30,-0.1325
2018-10-31,1.7248999999999999
2018-11-01,4.5652
2018-11-02,2.8689999999999998
2018-11-05,-3.3145
2018-11-06,-0.9197
2018-11-07,12.2785
2018-11-08,-3.2319
2018-11-09,-5.9417
2018-11-12,-6.1932
2018-11-13,-0.132
2018-11-14,1.0577
2018-11-15,0.4797
2018-11-16,4.7309
2018-11-19,-4.8073
2018-11-20,-8.5764
2018-11-21,-0.2381
2018-11-23,2.4344
2018-11-26,4.3802
2018-11-27,0.4464
2018-11-28,11.1111
2018-11-29,4.5600000000000005
2018-11-30,7.1155
2018-12-03,-0.1429
2018-12-04,-1.073
2018-12-06,4.2299
2018-12-07,-4.5092
2018-12-10,-0.8355
2018-12-11,-6.5934
2018-12-12,0.6667
2018-12-13,4.2072
2018-12-14,4.2991
2018-12-17,-9.8925
2018-12-18,2.5060000000000002
2018-12-19,-3.4536
2018-12-20,0.8842
2018-12-21,-1.8725
2018-12-24,-0.8932
2018-12-26,7.456
2018-12-27,3.0881
2018-12-28,0.4808
2018-12-31,-2.3186999999999998
2019-01-02,-2.3738
2019-01-03,-7.3717
2019-01-04,0.4167
2019-01-07,7.8838
2019-01-08,4.6154
2019-01-09,2.2059
2019-01-10,0.3597
2019-01-11,2.3297
2019-01-14,-7.6708
2019-01-15,9.7117
2019-01-16,-0.657
2019-01-17,-0.1044
2019-01-18,3.8327999999999998
2019-01-22,-2.1812
2019-01-23,2.916
2019-01-24,-0.0667
2019-01-25,6.0707
2019-01-28,-3.3019
2019-01-29,-3.4797000000000002
2019-01-30,1.752
2019-01-31,3.9404
2019-02-01,-1.2743
2019-02-04,-0.0645
2019-02-05,3.455
2019-02-06,-1.6854
2019-02-07,-0.4127
2019-02-08,1.2432
2019-02-11,-1.5743
2019-02-12,4.7025
2019-02-13,-0.7944
2019-02-14,1.3243
2019-02-15,3.1915
2019-02-19,-3.0633
2019-02-20,-0.4862
2019-02-21,-0.7023
2019-02-22,2.6753
2019-02-25,10.3025
2019-02-26,3.2582
2019-02-27,2.8662
2019-02-28,-4.1155
2019-03-01,6.185
2019-03-04,-3.6907
2019-03-05,1.0949
