ticker,GGG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.2265
2000-01-04,-2.7574
2000-01-05,-0.5671
2000-01-06,0.0
2000-01-07,3.8023
2000-01-10,-0.3663
2000-01-11,-1.6543999999999999
2000-01-12,-1.4505
2000-01-13,-0.5714
2000-01-14,-3.4483
2000-01-18,-1.3889
2000-01-19,-1.6097000000000001
2000-01-20,0.6135
2000-01-21,-0.4065
2000-01-24,0.2041
2000-01-25,-1.833
2000-01-26,1.0373
2000-01-27,0.4107
2000-01-28,0.2045
2000-01-31,0.4082
2000-02-01,0.813
2000-02-02,0.4032
2000-02-03,0.0
2000-02-04,-0.4016
2000-02-07,-1.2097
2000-02-08,0.2041
2000-02-09,0.0
2000-02-10,-0.4073
2000-02-11,-0.2045
2000-02-14,0.8197
2000-02-15,-0.4065
2000-02-16,-0.4082
2000-02-17,-0.6148
2000-02-18,0.2062
2000-02-22,1.0288
2000-02-23,0.0
2000-02-24,-2.444
2000-02-25,-1.0438
2000-02-28,0.0
2000-02-29,1.8987
2000-03-01,0.207
2000-03-02,0.4132
2000-03-03,1.0288
2000-03-06,-0.2037
2000-03-07,-0.2041
2000-03-08,0.818
2000-03-09,-0.8114
2000-03-10,-3.0675
2000-03-13,0.0
2000-03-14,-1.2658
2000-03-15,-0.641
2000-03-16,4.9462
2000-03-17,1.2295
2000-03-20,-1.2146
2000-03-21,-0.4098
2000-03-22,-1.8519
2000-03-23,1.4675
2000-03-24,1.8595000000000002
2000-03-27,-0.6085
2000-03-28,-1.0204
2000-03-29,-1.0309
2000-03-30,2.0833
2000-03-31,-5.3061
2000-04-03,3.4483
2000-04-04,0.625
2000-04-05,1.0352
2000-04-06,1.6393
2000-04-07,0.0
2000-04-10,-0.6048
2000-04-11,3.0426
2000-04-12,0.7874
2000-04-13,-1.5156
2000-04-14,-1.5936
2000-04-17,-0.4049
2000-04-18,5.2846
2000-04-19,1.7375
2000-04-20,-3.0361
2000-04-24,-1.1742
2000-04-25,0.5941
2000-04-26,4.7244
2000-04-27,-0.3759
2000-04-28,2.2641999999999998
2000-05-01,0.369
2000-05-02,-1.1029
2000-05-03,0.1859
2000-05-04,0.1855
2000-05-05,-0.7407
2000-05-08,-1.8657
2000-05-09,-0.9506
2000-05-10,-3.6468
2000-05-11,4.1833
2000-05-12,0.5736
2000-05-15,0.7605
2000-05-16,-0.1887
2000-05-17,0.189
2000-05-18,-0.1887
2000-05-19,-3.2136
2000-05-22,0.9766
2000-05-23,-1.1605
