ticker,GRCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-03-29,10.0
2005-04-25,400.0
2005-05-16,-9.0909
2005-06-07,140.0
2005-06-09,-20.3333
2005-06-16,-58.159
2005-06-22,0.0
2005-07-12,25.0
2005-12-02,-20.0
2005-12-06,0.0
2005-12-08,0.0
2006-01-24,-5.0
2006-03-14,-10.526299999999999
2006-03-24,17.647100000000002
2006-04-17,0.0
2006-05-03,25.0
2006-05-09,0.0
2006-05-31,60.0
2006-06-21,-50.0
2006-07-17,25.0
2006-07-21,-16.0
2006-08-24,0.0
2006-09-28,90.4762
2006-10-10,75.0
2006-10-11,-14.2857
2006-10-12,50.0
2006-10-13,-37.7778
2006-10-17,167.8571
2006-10-18,-46.0
2006-10-20,25.9259
2006-10-23,-20.5882
2006-10-24,-25.9259
2006-10-25,10.0
2006-10-26,0.0
2006-10-31,31.8182
2006-11-01,72.4138
2006-11-02,20.0
2006-11-03,0.0
2006-11-06,18.3333
2006-11-07,0.0
2006-11-08,-22.5352
2006-11-09,0.0
2006-11-10,27.2727
2006-11-13,0.0
2006-11-14,21.4286
2006-11-15,-3.5294
2006-11-16,2.439
2006-11-17,0.0
2006-11-20,1.1905000000000001
2006-11-21,0.0
2006-11-22,-8.3529
2006-11-24,2.6958
2006-11-27,0.0
2006-11-28,-8.75
2006-11-29,8.2192
2006-11-30,-1.2658
2006-12-01,1.2821
2006-12-04,-5.0633
2006-12-05,-13.3333
2006-12-06,4.6154
2006-12-07,-5.8824
2006-12-08,0.0
2006-12-11,-29.6875
2006-12-12,-4.4444
2006-12-13,-6.9767
2006-12-14,0.0
2006-12-15,-17.5
2006-12-18,-9.0909
2006-12-19,26.6667
2006-12-20,2.6316
2006-12-21,2.5641
2006-12-22,0.0
2006-12-26,-12.5
2006-12-27,5.7143
2006-12-28,0.0
2006-12-29,64.8649
2007-01-03,31.1475
2007-01-04,55.0
2007-01-05,-39.5161
2007-01-08,-21.3333
2007-01-09,-1.6949
2007-01-10,10.3448
2007-01-11,0.0
2007-01-12,-6.25
2007-01-16,0.0
2007-01-17,5.0
2007-01-18,-6.3492
2007-01-19,-1.6949
2007-01-22,3.4483
2007-01-23,-5.0
2007-01-24,-12.2807
2007-01-25,2.0
2007-01-26,-11.7647
2007-01-29,17.7778
2007-01-30,-5.6604
2007-01-31,-18.0
2007-02-01,14.6341
2007-02-02,8.5106
2007-02-05,-5.8824
2007-02-06,8.3333
2007-02-07,-0.9615
2007-02-08,-4.8544
