ticker,BLUU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-17,170.0
2013-06-18,3.7037
2013-06-25,28.5714
2013-06-28,-30.5556
2013-07-03,0.0
2013-07-17,0.0
2013-07-22,0.0
2013-07-24,0.0
2013-07-31,0.0
2013-08-12,-20.0
2013-08-19,-40.0
2013-08-20,20.8333
2013-08-21,10.3448
2013-08-27,0.0
2013-08-28,65.625
2013-08-29,-28.3019
2013-08-30,13.1579
2013-09-03,-51.1628
2013-09-04,23.8095
2013-09-05,15.3846
2013-09-06,26.6667
2013-09-09,10.526299999999999
2013-09-10,0.0
2013-09-11,19.0476
2013-09-12,-8.0
2013-09-18,-26.087
2013-09-19,0.5882
2013-09-20,-29.2398
2013-09-23,90.0826
2013-09-24,-17.3913
2013-09-25,-20.7895
2013-09-27,46.1794
2013-10-02,9.0909
2013-10-03,-37.5
2013-10-04,0.0
2013-10-07,3.3333
2013-10-08,3.2258
2013-10-09,0.0
2013-10-10,-12.5
2013-10-11,0.0
2013-10-14,7.1429
2013-10-15,3.3333
2013-10-17,-9.6774
2013-10-22,10.7143
2013-10-25,25.8065
2013-10-28,0.0
2013-10-29,-30.7692
2013-10-30,0.0
2013-10-31,0.0
2013-11-01,0.0
2013-11-04,-18.5185
2013-11-05,0.0
2013-11-06,0.0
2013-11-07,9.0909
2013-11-08,0.0
2013-11-11,20.8333
2013-11-12,-3.4483
2013-11-13,0.0
2013-11-14,-28.5714
2013-11-15,45.0
2013-11-18,-59.4828
2013-11-19,19.1489
2013-11-20,42.8571
2013-11-21,-20.0
2013-11-25,1.5625
2013-11-27,0.7692
2013-11-29,9.9237
2013-12-02,0.0
2013-12-03,-9.0278
2013-12-04,23.6641
2013-12-05,-24.6914
2013-12-06,-18.8525
2013-12-09,13.1313
2013-12-10,-7.1429
2013-12-11,7.6923
2013-12-12,0.0
2013-12-13,-1.7856999999999998
2013-12-16,-27.2727
2013-12-17,0.0
2013-12-18,37.5
2013-12-19,9.0909
2013-12-20,0.0
2013-12-23,10.8333
2013-12-24,0.0
2013-12-26,0.0
2013-12-27,0.0
2013-12-30,0.0
2013-12-31,6.015
2014-01-02,-9.2199
2014-01-03,18.75
2014-01-06,0.0
2014-01-08,26.3158
2014-01-09,-5.2083
2014-01-10,-16.4835
2014-01-13,0.0
2014-01-14,22.3684
2014-01-15,11.828
2014-01-16,-3.8462
2014-01-17,8.0
2014-01-21,33.3333
2014-01-22,57.2917
2014-01-23,-15.2318
2014-01-24,-12.5
