ticker,ESBA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-03,3.7037
2013-10-04,20.1429
2013-10-07,20.2062
2013-10-08,122.5614
2013-10-09,82.893
2013-10-10,-51.3973
2013-10-11,-35.075
2013-10-14,-30.7282
2013-10-15,-22.1229
2013-10-16,-2.2127
2013-10-17,1.4599
2013-10-18,-6.4748
2013-10-21,-2.6154
2013-10-22,-1.2638
2013-10-23,6.0
2013-10-24,0.4802
2013-10-25,1.3237999999999999
2013-10-28,-2.0006
2013-10-29,1.2859
2013-10-30,-1.0456
2013-10-31,-0.0755
2013-11-01,-0.3021
2013-11-04,-1.5152
2013-11-05,0.0769
2013-11-06,0.3075
2013-11-07,-0.5364
2013-11-08,-1.772
2013-11-11,1.9607999999999999
2013-11-12,0.0
2013-11-13,0.0
2013-11-14,1.2308
2013-11-15,-0.9119
2013-11-18,0.0767
2013-11-19,0.4598
2013-11-20,-0.8391
2013-11-22,0.0
2013-11-25,-1.4615
2013-11-26,1.171
2013-11-27,1.1574
2013-11-29,0.6865
2013-12-02,0.4545
2013-12-03,-1.6591
2013-12-04,0.8436
2013-12-05,2.6616
2013-12-06,-1.5556
2013-12-09,1.4296
2013-12-10,-0.1484
2013-12-11,-0.0743
2013-12-12,0.5911
2013-12-13,-1.7844
2013-12-16,3.6336
2013-12-17,-0.2922
2013-12-18,1.4652
2013-12-19,-1.2995999999999999
2013-12-20,2.414
2013-12-23,1.0
2013-12-24,0.0
2013-12-26,-0.2829
2013-12-27,-0.0709
2013-12-30,0.6388
2013-12-31,-0.7687
2014-01-02,-1.3716
2014-01-03,0.8791
2014-01-07,0.3571
2014-01-08,0.0
2014-01-09,0.7117
2014-01-10,0.0
2014-01-14,-0.3534
2014-01-16,0.3546
2014-01-17,0.0
2014-01-21,-0.8481
2014-01-22,0.0
2014-01-23,-0.2138
2014-01-24,0.1429
2014-01-27,-0.1427
2014-01-28,0.0
2014-01-29,-0.7143
2014-02-03,-2.1574
2014-02-04,2.9402
2014-02-05,-1.7856999999999998
2014-02-06,-2.6182
2014-02-07,2.5392
2014-02-10,0.0
2014-02-11,0.1457
2014-02-13,0.8727
2014-02-14,0.9373
2014-02-18,-0.7143
2014-02-19,0.0
2014-02-20,0.0
2014-02-21,1.1511
2014-02-25,0.4979
2014-02-27,0.0708
2014-02-28,1.4144
2014-03-03,-2.0223
2014-03-04,2.4911
2014-03-05,-0.0694
2014-03-06,0.0695
2014-03-07,-0.7639
2014-03-10,-2.5192
2014-03-11,0.0
