ticker,CTMX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-10-08,7.5
2015-10-09,-3.876
2015-10-12,1.4516
2015-10-13,-1.9872999999999998
2015-10-14,7.5426
2015-10-15,-0.3017
2015-10-16,-4.236
2015-10-19,-14.297
2015-10-20,-1.9355
2015-10-21,-9.9624
2015-10-22,-2.9228
2015-10-23,4.3011
2015-10-26,11.4433
2015-10-27,-7.4931
2015-10-28,5.0
2015-10-29,-2.8571
2015-10-30,1.9607999999999999
2015-11-02,7.5962
2015-11-03,9.919599999999999
2015-11-04,-6.9919
2015-11-05,-7.1678
2015-11-06,7.533
2015-11-09,7.3555
2015-11-10,1.0604
2015-11-11,-2.5827
2015-11-12,3.3969
2015-11-13,-0.2404
2015-11-16,2.3293
2015-11-17,9.0267
2015-11-18,5.3996
2015-11-19,3.7568
2015-11-20,-2.5016
2015-11-23,8.0351
2015-11-24,11.4375
2015-11-25,5.1038
2015-11-27,2.4546
2015-11-30,0.0521
2015-12-01,13.9511
2015-12-02,0.9593
2015-12-03,-1.9457
2015-12-04,9.1832
2015-12-07,-6.0862
2015-12-08,-1.2601
2015-12-09,-1.9599
2015-12-10,-9.6699
2015-12-11,-1.544
2015-12-14,-10.4025
2015-12-15,6.7678
2015-12-16,12.459
2015-12-17,0.5345
2015-12-18,-0.1933
2015-12-21,-1.9855
2015-12-22,-1.3834
2015-12-23,12.6754
2015-12-24,0.2223
2015-12-28,-2.8838
2015-12-29,-1.005
2015-12-30,-4.0148
2015-12-31,0.3365
2016-01-04,-1.9645000000000001
2016-01-05,-5.0342
2016-01-06,-12.6608
2016-01-07,-8.5445
2016-01-08,-8.4407
2016-01-11,0.7741
2016-01-12,8.2402
2016-01-13,-7.3548
2016-01-14,-2.1588
2016-01-15,-5.694
2016-01-19,-4.8302
2016-01-20,17.6844
2016-01-21,-2.5606
2016-01-22,-3.1812
2016-01-25,4.6429
2016-01-26,10.785
2016-01-27,-6.9624
2016-01-28,0.5298
2016-01-29,3.4914
2016-02-01,0.9548
2016-02-02,0.8827
2016-02-03,-2.0
2016-02-04,-1.4668
2016-02-05,-4.7249
2016-02-08,-8.6277
2016-02-09,-0.3717
2016-02-10,-2.7612
2016-02-11,-8.0583
2016-02-12,0.5843
2016-02-16,3.7344
2016-02-17,1.76
2016-02-18,0.0786
2016-02-19,1.414
2016-02-22,2.0139
2016-02-23,-3.6446
2016-02-24,0.4728
2016-02-25,4.7059
2016-02-26,8.1648
2016-02-29,-10.6648
2016-03-01,8.9922
