ticker,RGMP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-12,33.3333
2019-07-15,17.95
2019-07-16,-29.9703
2019-07-19,0.0
2019-07-23,51.3317
2019-07-26,-8.0
2019-07-29,52.1739
2019-08-01,-42.8571
2019-08-06,17.5
2019-08-12,-14.8936
2019-08-27,-40.0
2019-09-24,133.3333
2019-10-11,7.1429
2019-11-07,16.6667
2019-11-08,0.0
2019-11-11,-28.6
2019-11-14,0.04
2019-11-18,-32.0
2019-11-19,-23.4706
2019-11-21,7.6095
2019-12-09,-7.1429
2019-12-18,7.6923
2019-12-19,-28.5714
2019-12-20,0.1
2019-12-23,-15.0849
2020-02-05,-5.8824
2020-02-07,75.0
2020-02-28,-28.5714
2020-03-26,66.9
2020-03-27,-64.29
2020-04-01,38.4228
2020-04-02,93.9394
2020-04-06,0.0
2020-04-07,4.3125
2020-04-09,109.7064
2020-04-15,-11.4286
2020-04-16,-6.4516
2020-04-17,13.7931
2020-04-22,-1.4848
2020-04-27,7.6592
2020-04-28,14.2857
2020-04-29,-15.0
2020-04-30,5.8824
2020-05-01,5.5556
2020-05-04,9.5132
2020-05-05,-15.8957
2020-05-06,-5.7143
2020-05-07,9.0909
2020-05-11,13.8889
2020-05-15,-14.6341
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,5.7143
2020-05-27,21.6216
2020-05-28,-28.8889
2020-06-04,-6.25
2020-06-08,16.6667
2020-06-09,5.7143
2020-06-10,0.5405
2020-06-15,0.0
2020-06-16,15.5914
2020-06-17,-11.3953
2020-07-06,28.6089
2020-07-07,12.2449
2020-07-08,-23.627299999999998
2020-07-09,-99.9762
2020-07-14,224900.0
2020-07-20,-11.1111
2020-07-22,-20.0
2020-07-23,12.5
2020-07-29,0.0
