ticker,PZG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-13,21.4286
2015-04-14,0.5882
2015-04-15,5.2632
2015-04-16,8.3333
2015-04-17,2.5641
2015-04-20,-20.5
2015-04-21,10.0629
2015-04-22,-2.2857
2015-04-23,-1.1696
2015-04-24,1.1834
2015-04-27,-1.1696
2015-04-28,-0.5917
2015-04-29,2.9762
2015-04-30,0.0
2015-05-01,1.1561
2015-05-04,-0.5714
2015-05-05,-5.7471
2015-05-06,-1.8293
2015-05-07,-2.4845
2015-05-08,-0.6369
2015-05-11,1.9231
2015-05-12,-1.8868
2015-05-13,3.2051
2015-05-14,-0.6211
2015-05-15,1.25
2015-05-18,2.4691
2015-05-19,0.0
2015-05-20,-1.8072
2015-05-21,-2.454
2015-05-22,-0.6289
2015-05-26,-3.1646
2015-05-27,2.6144
2015-05-28,0.6449
2015-05-29,1.2578
2015-06-01,-2.5
2015-06-02,-2.5641
2015-06-03,0.0
2015-06-04,-0.6579
2015-06-05,-1.9868000000000001
2015-06-08,0.6757
2015-06-09,-0.6711
2015-06-10,8.1081
2015-06-11,-5.625
2015-06-12,2.649
2015-06-15,-0.6452
2015-06-16,1.4042
2015-06-17,-1.3848
2015-06-18,3.2468
2015-06-19,-2.5157
2015-06-22,-1.9355
2015-06-23,0.0
2015-06-24,1.9737
2015-06-25,0.0
2015-06-26,-0.6452
2015-06-29,-1.9481000000000002
2015-06-30,1.3245
2015-07-01,0.0
2015-07-02,0.6536
2015-07-06,1.9481000000000002
2015-07-07,-1.9108
2015-07-08,-1.9481000000000002
2015-07-09,2.649
2015-07-10,-1.2903
2015-07-13,-1.9607999999999999
2015-07-14,0.0
2015-07-15,-0.6667
2015-07-16,-2.0134
2015-07-17,-10.274000000000001
2015-07-20,-10.687
2015-07-21,2.5641
2015-07-22,3.3333
2015-07-23,-6.4516
2015-07-24,10.3448
2015-07-27,1.5625
2015-07-28,10.7692
2015-07-29,4.1667
2015-07-30,-2.0
2015-07-31,1.3605
2015-08-03,-4.0268
2015-08-04,-1.3986
2015-08-05,-21.2766
2015-08-06,15.3153
2015-08-07,-8.5938
2015-08-10,5.9829
2015-08-11,8.871
2015-08-12,2.963
2015-08-13,-2.8777
2015-08-14,0.0
2015-08-17,-2.2222
2015-08-18,-3.0303
2015-08-19,1.5625
2015-08-20,1.5385
2015-08-21,-3.7879
2015-08-24,0.7874
2015-08-25,-8.584
2015-08-26,-0.8653
2015-08-27,3.4483
2015-08-28,8.3333
2015-08-31,0.7692
