ticker,XAIR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-26,28.5714
2016-09-27,-33.3333
2017-07-11,-79.1667
2017-07-25,-20.0
2017-08-03,2.0
2017-08-04,7.8431
2017-08-07,13.6364
2017-08-10,-4.0
2017-08-14,0.0
2017-08-15,0.0
2017-08-24,-0.8333
2017-08-28,0.8403
2017-08-29,-1.6667
2017-08-30,-0.5085
2017-08-31,-0.3407
2017-09-01,0.0
2017-09-05,0.0
2017-09-06,0.0
2017-09-07,2.5641
2017-09-08,-15.8333
2017-09-22,13.8614
2017-09-25,4.3478
2017-09-26,-16.6667
2017-09-27,0.2
2017-09-28,0.998
2017-09-29,2.3715
2017-10-03,5.7915
2017-10-04,-5.1095
2017-10-05,-8.6538
2017-10-06,6.3158
2017-10-11,0.0
2017-10-16,-2.9703
2017-10-23,-3.8776
2017-10-27,6.1571
2017-10-30,0.0
2017-10-31,0.0
2017-11-01,0.0
2017-11-02,-0.8
2017-11-03,0.0
2017-11-06,-0.2016
2017-11-07,1.0101
2017-11-08,-3.0
2017-11-09,1.0309
2017-11-10,0.0
2017-11-13,-4.0816
2017-11-14,-3.4043
2017-11-15,2.4229
2017-11-16,-1.0753
2017-11-17,11.9565
2017-11-20,1.7476
2017-11-21,-0.7634
2017-11-22,14.9038
2017-11-24,19.6653
2017-11-27,1.2587
2017-11-28,-6.2155
2017-11-29,-11.6348
2017-11-30,1.6667
2017-12-01,-8.1967
2017-12-04,3.5714
2017-12-05,-6.5517
2017-12-06,-1.6604999999999999
2017-12-07,-2.439
2017-12-08,-3.8462
2017-12-11,0.0
2017-12-12,0.0
2017-12-13,5.0
2017-12-14,-4.7619
2017-12-15,0.0
2017-12-18,2.0
2017-12-19,-6.6667
2017-12-20,-1.8908
2017-12-21,17.5589
2017-12-22,-9.6539
2017-12-26,-0.2621
2017-12-27,5.9228
2017-12-28,-14.1221
2017-12-29,10.8889
2018-01-02,-7.4148
2018-01-03,-2.3810000000000002
2018-01-04,-0.2217
2018-01-05,0.0
2018-01-08,0.0
2018-01-09,2.2222
2018-01-10,9.5
2018-01-11,0.2581
2018-01-12,-0.9901
2018-01-16,0.0
2018-01-17,-2.3
2018-01-18,-2.3541
2018-01-19,3.1447
2018-01-22,1.626
2018-01-23,0.2
2018-01-25,-0.1996
2018-01-26,4.6
2018-01-29,-5.3537
2018-01-30,0.0
2018-01-31,1.0101
2018-02-01,4.0
2018-02-02,-0.1942
2018-02-05,-3.659
2018-02-06,-3.0
