ticker,LEGX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-30,86.7816
2010-03-31,-4.6154
2010-04-01,9.6774
2010-04-05,5.8824
2010-04-06,0.0
2010-04-07,8.3333
2010-04-08,2.5641
2010-04-09,0.0
2010-04-23,0.0
2010-04-26,-5.0
2010-04-27,5.2632
2010-05-19,150.0
2010-05-20,0.0
2010-05-27,-25.0
2010-05-28,-6.6667
2010-06-14,41.4286
2010-06-30,-9.0909
2010-07-06,-83.3333
2010-07-07,500.0
2010-07-28,-22.2222
2010-09-20,-97.1429
2010-09-30,3400.0
2010-10-06,-64.2857
2010-10-12,20.0
2010-10-13,16.6667
2010-10-14,2.8571
2010-10-15,-5.5556
2010-10-18,5.8824
2010-10-19,-16.6667
2010-10-20,-10.0
2010-10-21,-18.5185
2010-10-22,0.0
2010-10-25,0.0
2010-10-26,13.6364
2010-10-27,-4.0
2010-10-28,-8.3333
2010-10-29,0.0
2010-11-01,-11.3636
2010-11-02,-17.9487
2010-11-03,25.0
2010-11-04,0.0
2010-11-05,-15.0
2010-11-08,0.0
2010-11-09,2.9412000000000003
2010-11-10,-8.5714
2010-11-11,0.625
2010-11-12,5.5901
2010-11-15,11.7647
2010-11-16,-19.6382
2010-11-17,11.3385
2010-11-18,-11.7647
2010-11-19,20.0
2010-11-22,-5.5556
2010-11-23,-11.7647
2010-11-24,6.6667
2010-11-26,0.0
2010-11-29,12.5
2010-11-30,5.5556
2010-12-01,16.3158
2010-12-02,4.0724
2010-12-03,-8.6957
2010-12-06,4.7619
2010-12-07,-13.6364
2010-12-08,7.8947
2010-12-09,36.5854
2010-12-10,7.1429
2010-12-13,3.3333
2010-12-14,-1.6129
2010-12-15,-3.9344
2010-12-16,-8.8737
2010-12-17,-2.6217
2010-12-20,-15.3846
2010-12-21,4.5455
2010-12-22,-8.6413
2010-12-23,0.2677
2010-12-27,4.4201
2010-12-28,2.2727
2010-12-29,15.5556
2010-12-30,3.8462
2010-12-31,0.0
2011-01-03,-11.1111
2011-01-04,8.3333
2011-01-05,-3.8462
2011-01-06,-2.0
2011-01-07,-4.0816
2011-01-10,1.2766
2011-01-11,-4.4118
2011-01-12,3.2967
2011-01-13,-2.1809
2011-01-14,-8.646
2011-01-18,0.0595
2011-01-19,6.1273
2011-01-20,0.8969
2011-01-21,22.2222
2011-01-24,-1.8182
2011-01-25,-3.7037
2011-01-26,13.0769
2011-01-27,-1.3605
2011-01-28,0.0
2011-01-31,-10.6897
2011-02-01,-22.7799
