ticker,DIGP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-06-21,8.9109
2012-06-25,36.3636
2012-06-26,-48.0
2012-07-10,-34.6154
2012-08-07,-3.9215999999999998
2012-08-20,106.1224
2012-08-23,-70.297
2012-08-28,226.6667
2012-10-22,-33.6735
2012-11-09,76.9231
2012-11-20,-73.8261
2012-11-28,82.7243
2012-11-29,27.2727
2013-01-30,-41.4286
2013-02-21,143.9024
2013-06-18,-65.0
2013-07-08,185.7143
2013-08-08,0.0
2013-08-22,0.0
2014-03-04,-25.0
2014-03-05,0.0
2014-03-06,0.0
2014-03-10,13.3333
2014-03-14,0.0
2014-03-24,5.8824
2014-03-28,55.5556
2014-04-01,25.0
2014-04-02,-2.8571
2014-04-09,-0.5882
2014-04-11,0.0
2014-04-15,-28.9941
2014-04-16,0.0
2014-04-21,16.6667
2014-04-22,11.4286
2014-04-23,1.9231
2014-04-24,0.0
2014-04-25,-18.239
2014-04-28,-7.6923
2014-04-29,12.5
2014-04-30,-3.7037
2014-05-01,-0.7692
2014-05-05,-22.4806
2014-05-06,-23.0
2014-05-09,-15.5844
2014-05-14,-15.3846
2014-05-15,61.8182
2014-05-16,0.0
2014-05-20,-10.1124
2014-05-23,-25.0
2014-05-27,0.0
2014-05-28,8.3333
2014-06-03,-15.3846
2014-06-04,0.0
2014-06-05,5.4545
2014-06-06,-13.7931
2014-06-09,16.0
2014-06-10,-13.7931
2014-06-12,0.0
2014-06-16,-20.0
2014-06-19,-17.5
2014-06-20,0.0
2014-06-23,0.0
2014-06-24,-9.0909
2014-06-26,0.0
2014-06-27,-3.3333
2014-06-30,3.4483
2014-07-01,-3.3333
2014-07-02,3.4483
2014-07-03,16.6667
2014-07-07,-14.2857
2014-07-10,-3.3333
2014-07-14,0.0
2014-07-15,20.6897
2014-07-16,0.0
2014-07-17,-8.5714
2014-07-18,0.0
2014-07-21,87.5
2014-07-22,-16.6667
2014-07-23,-30.0
2014-07-24,40.0
2014-07-25,4.0816
2014-07-28,390.1961
2014-07-29,6.0
2014-07-30,-45.283
2014-07-31,-24.8276
2014-08-01,16.5138
2014-08-04,-19.685
2014-08-05,7.8431
2014-08-06,3.6364
2014-08-07,-8.7719
2014-08-08,-3.8462
2014-08-11,6.0
2014-08-12,7.5472
2014-08-13,4.386
2014-08-14,-0.8403
2014-08-15,-10.1695
2014-08-18,5.6604
2014-08-19,-2.6786
2014-08-20,-2.7523
2014-08-21,5.6604
2014-08-22,-4.4643
2014-08-25,0.0
