ticker,GRUA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-24,-42.0455
2000-01-26,47.0588
2000-01-27,16.6667
2000-01-28,14.2857
2000-01-31,0.0
2000-02-10,-3.0
2000-02-11,-2.0619
2000-02-14,2.1053
2000-02-15,-7.2165
2000-02-16,-33.3333
2000-02-17,50.0
2000-02-18,-5.5556
2000-02-29,-11.7647
2000-03-01,0.0
2000-03-02,20.0
2000-03-03,0.0
2000-03-06,0.0
2000-03-09,-33.3333
2000-03-10,41.6667
2000-03-14,-11.7647
2000-03-24,-33.3333
2000-03-27,0.0
2000-04-05,0.0
2000-04-07,0.0
2000-04-10,-50.0
2000-04-12,-50.0
2000-04-14,0.0
2000-04-19,308.0
2000-04-26,0.0
2000-04-28,66.6667
2000-05-01,-52.9412
2000-05-05,0.0
2000-05-17,37.5
2000-05-18,-3.6364
2000-05-31,32.0755
2000-06-01,-10.7143
2000-06-05,-4.0
2000-06-06,5.4167
2000-06-13,-18.4783
2000-06-14,-8.8485
2000-06-16,38.2979
2000-06-20,-21.5385
2000-06-22,3.9215999999999998
2000-06-29,-3.7736
2000-07-10,-7.8431
2000-07-25,6.383
2000-07-28,-10.0
2000-08-03,0.0
2000-08-04,31.9444
2000-08-08,-14.1053
2000-08-09,17.647100000000002
2000-08-10,4.1667
2000-08-11,-18.4
2000-08-14,10.2941
2000-08-17,-5.7778
2000-08-18,7.5472
2000-08-24,-17.7632
2000-08-25,28.0
2000-08-28,4.1667
2000-08-30,-30.0
2000-08-31,21.1429
2000-09-01,-33.9623
2000-09-05,14.2857
2000-09-06,10.0
2000-09-07,13.6364
2000-09-08,-10.0
2000-09-12,-44.4444
2000-09-13,68.0
2000-09-14,7.1429
2000-09-15,-31.1111
2000-09-18,0.8065
2000-09-19,-4.0
2000-09-20,-16.6667
2000-09-21,50.0
2000-09-22,-1.3333
2000-09-25,21.6216
2000-09-26,-6.6667
2000-09-27,2.3810000000000002
2000-09-28,-11.6279
2000-09-29,18.4211
2000-10-02,-11.1111
2000-10-04,0.0
2000-10-05,-27.5
2000-10-06,-3.4483
2000-10-13,-28.5714
2000-10-16,0.0
2000-10-17,-25.0
2000-10-18,20.0
2000-10-20,0.0
2000-10-24,0.0
2000-10-25,22.2222
2000-10-26,0.0
2000-10-30,-29.5455
2000-11-01,-3.2258
2000-11-02,-23.3333
2000-11-03,-8.6957
2000-11-07,-40.4762
2000-11-09,0.0
2000-11-10,140.0
2000-11-21,-53.3333
2000-11-22,0.0
