ticker,DHT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-10-13,0.4167
2005-10-14,-1.4938
2005-10-17,3.2013
2005-10-18,-0.5714
2005-10-19,-0.3284
2005-10-20,-0.9061
2005-10-21,-1.0806
2005-10-24,1.1764999999999999
2005-10-25,-0.6645
2005-10-26,-0.8361
2005-10-27,-0.0843
2005-10-28,-0.7595
2005-10-31,0.5952
2005-11-01,-0.3381
2005-11-02,0.2545
2005-11-03,1.0998
2005-11-04,0.251
2005-11-07,0.3339
2005-11-08,-0.5824
2005-11-09,0.8368
2005-11-10,-0.4149
2005-11-11,-0.4167
2005-11-14,-1.6736
2005-11-15,-5.3617
2005-11-16,0.2698
2005-11-17,0.0
2005-11-18,0.0
2005-11-21,0.8969
2005-11-22,8.3556
2005-11-23,0.9024
2005-11-25,0.4065
2005-11-28,0.2429
2005-11-29,1.3732
2005-11-30,1.992
2005-12-01,1.5625
2005-12-02,-0.7692
2005-12-05,-0.155
2005-12-06,0.0
2005-12-07,-1.7856999999999998
2005-12-08,-1.2648
2005-12-09,1.6813
2005-12-12,-1.5748
2005-12-13,0.32
2005-12-14,-0.1595
2005-12-15,0.7188
2005-12-16,1.1102
2005-12-19,1.9607999999999999
2005-12-20,-0.8462
2005-12-21,0.4655
2005-12-22,-0.1544
2005-12-23,2.0882
2005-12-27,-0.6061
2005-12-28,0.686
2005-12-29,-1.2869
2005-12-30,0.9969
2006-01-03,1.3667
2006-01-04,1.1236
2006-01-05,-1.5556
2006-01-06,-0.7524
2006-01-09,0.0758
2006-01-10,1.1364
2006-01-11,1.4981
2006-01-12,-5.1661
2006-01-13,1.4786000000000001
2006-01-17,-1.0735999999999999
2006-01-18,1.1628
2006-01-19,0.9195
2006-01-20,0.4556
2006-01-23,2.0408
2006-01-24,0.3704
2006-01-25,1.107
2006-01-26,1.3869
2006-01-27,0.072
2006-01-30,-0.7914
2006-01-31,-1.2328000000000001
2006-02-01,1.3216
2006-02-02,1.087
2006-02-03,-1.4337
2006-02-06,-1.0182
2006-02-07,1.6899
2006-02-08,0.0723
2006-02-09,0.0722
2006-02-10,0.0
2006-02-13,-2.9582
2006-02-14,2.1561
2006-02-15,0.5822
2006-02-16,-1.8090000000000002
2006-02-17,-0.4422
2006-02-21,0.8142
2006-02-22,1.6153
2006-02-23,0.1445
2006-02-24,0.6494
2006-02-27,-0.8602
2006-02-28,-3.3261
2006-03-01,2.8422
2006-03-02,-1.0909
2006-03-03,1.1029
2006-03-06,-0.8727
