ticker,NIU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-19,-3.8889
2018-10-22,-4.0462
2018-10-23,-7.2289
2018-10-24,-6.4935
2018-10-25,-8.8889
2018-10-26,14.0244
2018-10-29,-3.3422
2018-10-30,-3.3195
2018-10-31,10.5866
2018-11-01,6.0802
2018-11-02,12.1951
2018-11-05,-6.087
2018-11-06,5.2083
2018-11-07,-1.9802
2018-11-08,2.3569
2018-11-09,-4.4956
2018-11-12,-5.8553
2018-11-13,1.3415
2018-11-14,0.2407
2018-11-15,-2.401
2018-11-16,-4.674
2018-11-19,-0.9032
2018-11-20,1.6926999999999999
2018-11-21,4.0973
2018-11-23,0.246
2018-11-26,-0.3681
2018-11-27,-3.9409
2018-11-28,2.5641
2018-11-29,1.875
2018-11-30,-1.7178
2018-12-03,2.372
2018-12-04,-2.439
2018-12-06,-1.875
2018-12-07,-2.293
2018-12-10,-7.0404
2018-12-11,0.2805
2018-12-12,-2.0979
2018-12-13,0.1429
2018-12-14,1.7118
2018-12-17,-1.5428
2018-12-18,-1.567
2018-12-19,-5.7887
2018-12-20,-0.3072
2018-12-21,2.9276
2018-12-24,-3.7425
2018-12-26,-0.6221
2018-12-27,-4.2254
2018-12-28,11.2745
2018-12-31,2.79
2019-01-02,0.1429
2019-01-03,-2.8531
2019-01-04,1.4684
2019-01-07,0.8683
2019-01-08,0.7174
2019-01-09,1.1396
2019-01-10,3.2394
2019-01-11,5.5935
2019-01-14,2.1964
2019-01-15,-0.7585
2019-01-16,0.0
2019-01-17,0.1274
2019-01-18,-0.3664
2019-01-22,-1.2923
2019-01-23,-1.229
2019-01-24,-1.6372
2019-01-25,1.3316
2019-01-28,-0.9198
2019-01-29,0.3979
2019-01-30,-0.1321
2019-01-31,-0.3968
2019-02-01,3.1208
2019-02-04,3.0264
2019-02-05,1.75
2019-02-06,-4.1769
2019-02-07,-1.9231
2019-02-08,0.0
2019-02-11,-1.1764999999999999
2019-02-12,0.7937
2019-02-13,0.6562
2019-02-14,-3.1291
2019-02-15,1.6151
2019-02-19,-0.4636
2019-02-20,1.7964
2019-02-21,-1.4379
2019-02-22,0.6631
2019-02-25,10.1449
2019-02-26,-2.1531000000000002
2019-02-27,2.8117
2019-02-28,-1.5457999999999998
2019-03-01,-1.2077
2019-03-04,-1.467
2019-03-05,3.3499
2019-03-06,-1.9207999999999998
2019-03-07,-7.2215
2019-03-08,-4.4855
2019-03-11,-0.5525
2019-03-12,1.3889
2019-03-13,6.8493
