ticker,OEC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-28,-1.4085
2014-07-29,0.0
2014-07-30,-0.2857
2014-07-31,-2.5788
2014-08-01,-2.9412000000000003
2014-08-04,-1.2727
2014-08-05,0.0
2014-08-06,-1.5347
2014-08-07,0.187
2014-08-08,5.7872
2014-08-11,2.0
2014-08-12,1.2111
2014-08-13,-0.2849
2014-08-14,-1.4285999999999999
2014-08-15,0.9275
2014-08-18,-0.6318
2014-08-19,-0.6358
2014-08-20,0.0582
2014-08-21,0.5814
2014-08-22,0.8671
2014-08-25,-1.3181
2014-08-26,-1.1614
2014-08-27,-0.2938
2014-08-28,0.0
2014-08-29,0.5893
2014-09-02,0.1172
2014-09-03,0.1755
2014-09-04,0.8178
2014-09-05,4.9247
2014-09-08,0.497
2014-09-09,-0.3846
2014-09-10,-0.2758
2014-09-11,-0.4425
2014-09-12,-0.0556
2014-09-15,-0.0556
2014-09-16,0.7786
2014-09-17,0.8278
2014-09-18,-0.4926
2014-09-19,-1.1001
2014-09-22,-0.0556
2014-09-23,-0.1113
2014-09-24,0.6128
2014-09-25,-0.6091
2014-09-26,0.2228
2014-09-29,-1.5564
2014-09-30,-0.5082
2014-10-01,-1.5891
2014-10-02,-1.2111
2014-10-03,-0.8757
2014-10-06,-2.6502
2014-10-07,-1.2099
2014-10-08,-3.0006
2014-10-09,-3.7247
2014-10-10,-5.4426
2014-10-13,-3.7448
2014-10-14,-5.2594
2014-10-15,2.5856
2014-10-16,1.9274
2014-10-17,3.6364
2014-10-20,9.3333
2014-10-21,2.5032
2014-10-22,0.3757
2014-10-23,0.1248
2014-10-24,0.4984
2014-10-27,-2.0459
2014-10-28,-0.5063
2014-10-29,-3.3079
2014-10-30,0.1974
2014-10-31,-0.8536
2014-11-03,1.7219
2014-11-04,-1.237
2014-11-05,0.4614
2014-11-06,-1.9029
2014-11-07,0.3344
2014-11-10,0.9333
2014-11-11,0.1982
2014-11-12,0.5274
2014-11-13,-0.5902
2014-11-14,6.5303
2014-11-17,0.743
2014-11-18,0.4302
2014-11-19,-1.2852000000000001
2014-11-20,1.2399
2014-11-21,3.2456
2014-11-24,-0.1779
2014-11-25,1.9014
2014-11-26,-1.1078999999999999
2014-11-28,0.1179
2014-12-01,-3.1213
2014-12-02,0.0
2014-12-03,3.465
2014-12-04,-0.1175
2014-12-05,1.2941
2014-12-08,-0.813
2014-12-09,-0.8197
2014-12-10,-4.2503
2014-12-11,2.5277
2014-12-12,3.1543
