ticker,BDX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.7842000000000002
2000-01-04,-2.6253
2000-01-05,0.7353
2000-01-06,4.1363
2000-01-07,5.6075
2000-01-10,-2.2124
2000-01-11,-1.5836999999999999
2000-01-12,-3.2184
2000-01-13,6.8884
2000-01-14,-2.6667
2000-01-18,0.2283
2000-01-19,3.4169
2000-01-20,-1.9824000000000002
2000-01-21,3.5955
2000-01-24,-3.2538
2000-01-25,-2.4664
2000-01-26,-1.3793
2000-01-27,3.9627
2000-01-28,-4.9327
2000-01-31,-1.1792
2000-02-01,3.58
2000-02-02,-2.9954
2000-02-03,-1.1876
2000-02-04,0.0
2000-02-07,0.0
2000-02-08,-1.2019
2000-02-09,0.7299
2000-02-10,-2.8986
2000-02-11,-0.4975
2000-02-14,3.25
2000-02-15,-2.6634
2000-02-16,1.99
2000-02-17,2.6829
2000-02-18,16.152
2000-02-22,-4.908
2000-02-23,3.2258
2000-02-24,6.6667
2000-02-25,6.6406
2000-02-28,-9.1575
2000-02-29,0.0
2000-03-01,1.0081
2000-03-02,0.3992
2000-03-03,0.1988
2000-03-06,-2.1825
2000-03-07,-3.854
2000-03-08,1.7890000000000001
2000-03-09,2.7027
2000-03-10,3.6437
2000-03-13,-4.2969
2000-03-14,-3.2653
2000-03-15,2.7426
2000-03-16,1.8479999999999999
2000-03-17,0.8065
2000-03-20,-0.8
2000-03-21,0.0
2000-03-22,-0.2016
2000-03-23,-3.0303
2000-03-24,-6.6667
2000-03-27,-3.7946
2000-03-28,0.6961
2000-03-29,-0.9217
2000-03-30,-1.3953
2000-03-31,-0.7075
2000-04-03,2.6128
2000-04-04,0.2315
2000-04-05,0.4619
2000-04-06,-0.6897
2000-04-07,-1.1574
2000-04-10,-0.4684
2000-04-11,3.2941
2000-04-12,4.7836
2000-04-13,-0.6522
2000-04-14,-5.9081
2000-04-17,-3.0233
2000-04-18,2.6379
2000-04-19,-3.5047
2000-04-20,-0.9685
2000-04-24,-0.2445
2000-04-25,1.9607999999999999
2000-04-26,-0.9615
2000-04-27,0.0
2000-04-28,-0.4854
2000-05-01,0.7317
2000-05-02,1.4527999999999999
2000-05-03,2.3866
2000-05-04,-3.0303
2000-05-05,3.6058
2000-05-08,-0.6961
2000-05-09,0.4673
2000-05-10,-0.4651
2000-05-11,1.6355
2000-05-12,-1.8391
2000-05-15,4.2155
2000-05-16,-0.6742
2000-05-17,-0.6787
2000-05-18,1.3667
2000-05-19,-2.0225
