ticker,DNAX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-12-04,-36.3636
2010-01-13,11.4286
2010-05-26,220.5128
2010-07-13,0.0
2010-08-13,0.0
2010-08-17,8.0
2010-08-24,0.0
2010-09-17,0.0
2010-10-12,-25.1852
2010-11-03,-49.505
2010-11-04,98.0392
2010-12-06,-15.8416
2010-12-07,76.4706
2010-12-14,-63.3333
2010-12-15,56.3636
2010-12-16,-40.6977
2010-12-17,-3.9215999999999998
2010-12-21,2.0408
2010-12-22,9.975
2010-12-23,12.7529
2010-12-27,11.2903
2010-12-28,8.6957
2010-12-29,-32.0
2010-12-30,37.2549
2010-12-31,2.8571
2011-01-03,-9.7222
2011-01-04,-1.5385
2011-01-05,1.5625
2011-01-06,6.1538
2011-01-07,14.4928
2011-01-10,-17.7215
2011-01-11,21.5385
2011-01-13,-12.6582
2011-01-18,-5.7971
2011-01-19,-9.2308
2011-01-21,-6.7797
2011-01-24,-1.8182
2011-01-25,0.0
2011-01-28,-25.9259
2011-01-31,25.0
2011-02-01,-4.0
2011-02-02,-16.6667
2011-02-04,20.0
2011-02-07,4.1667
2011-02-08,-4.0
2011-02-09,0.0
2011-02-10,4.1667
2011-02-11,-2.0
2011-02-15,-2.0408
2011-02-23,-10.4167
2011-02-24,-6.9767
2011-03-02,-2.5
2011-03-04,102.5641
2011-03-07,-17.7215
2011-03-08,18.4615
2011-03-09,1.2987
2011-03-10,8.9744
2011-03-11,-38.8235
2011-03-14,44.2308
2011-03-15,0.0
2011-03-16,0.0
2011-03-17,-30.6667
2011-03-18,42.3077
2011-03-21,13.5135
2011-03-22,-8.3333
2011-03-23,3.8961
2011-03-24,17.5
2011-03-25,-2.1277
2011-03-28,3.2609
2011-03-29,3.1579
2011-03-30,-22.449
2011-03-31,5.2632
2011-04-01,6.25
2011-04-04,11.7647
2011-04-05,1.0526
2011-04-06,-1.0417
2011-04-07,0.0
2011-04-08,-5.2632
2011-04-11,0.0
2011-04-12,0.0
2011-04-13,-11.1111
2011-04-14,8.75
2011-04-15,-5.7471
2011-04-18,-1.2195
2011-04-19,-1.2346
2011-04-20,0.0
2011-04-21,27.5
2011-04-25,11.7647
2011-04-26,-7.8947
2011-04-27,11.4286
2011-04-28,2.5641
2011-04-29,-7.5
2011-05-02,-13.5135
2011-05-03,-7.2917
2011-05-04,10.1124
2011-05-05,3.0612
2011-05-06,-0.9901
2011-05-09,4.0
2011-05-10,-2.8846
2011-05-11,0.0
2011-05-12,-0.9901
