ticker,NK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-28,38.56
2015-07-29,1.0104
2015-07-30,-9.9743
2015-07-31,-2.8571
2015-08-03,-9.6078
2015-08-04,8.4599
2015-08-05,4.9333
2015-08-06,-8.0051
2015-08-07,-1.7610000000000001
2015-08-10,-5.0615
2015-08-11,-6.1459
2015-08-12,-2.5641
2015-08-13,-6.2753
2015-08-14,-2.3758
2015-08-17,-3.0531
2015-08-18,8.3524
2015-08-19,9.0143
2015-08-20,-2.9366
2015-08-21,-5.2548
2015-08-24,-7.9832
2015-08-25,-4.8858
2015-08-26,-7.3452
2015-08-27,1.0881
2015-08-28,-4.8693
2015-08-31,-7.7586
2015-09-01,8.3528
2015-09-02,4.5822
2015-09-03,-2.0103
2015-09-04,-0.7891
2015-09-08,0.9014
2015-09-09,-3.3631
2015-09-10,-2.2295
2015-09-11,0.8343
2015-09-14,-2.9785
2015-09-15,3.1836
2015-09-16,4.1873
2015-09-17,0.0529
2015-09-18,2.9598
2015-09-21,-4.7741
2015-09-22,-3.6119
2015-09-23,-3.6353
2015-09-24,-1.3929
2015-09-25,-5.2384
2015-09-28,-18.6335
2015-09-29,-13.0534
2015-09-30,0.6146
2015-10-01,-3.4904
2015-10-02,10.5787
2015-10-05,-1.7989000000000002
2015-10-06,-3.8301
2015-10-07,16.4502
2015-10-08,-1.1152
2015-10-09,-1.5789
2015-10-12,-7.1047
2015-10-13,-2.7961
2015-10-14,-3.0457
2015-10-15,11.4311
2015-10-16,-0.4699
2015-10-19,-0.4721
2015-10-20,-2.2134
2015-10-21,-2.9103
2015-10-22,-8.9092
2015-10-23,-2.5594
2015-10-26,0.8443
2015-10-27,2.6047000000000002
2015-10-28,8.6129
2015-10-29,0.7513
2015-10-30,-1.4085
2015-11-02,8.2353
2015-11-03,19.9534
2015-11-04,15.598700000000001
2015-11-05,0.168
2015-11-06,-3.9128
2015-11-09,5.9919
2015-11-10,-5.9824
2015-11-11,-5.1372
2015-11-12,5.8462
2015-11-13,-8.8372
2015-11-16,0.2551
2015-11-17,-6.4885
2015-11-18,6.8707
2015-11-19,-1.0821
2015-11-20,1.4801
2015-11-23,-2.2194
2015-11-24,2.0752
2015-11-25,5.5908999999999995
2015-11-27,-1.9254
2015-11-30,0.0613
2015-12-01,1.1036
2015-12-02,3.9417999999999997
2015-12-03,-6.7095
2015-12-04,-3.0019
2015-12-07,2.2566
2015-12-08,0.5044
2015-12-09,-3.074
2015-12-10,1.3592
2015-12-11,-3.8314
