ticker,BEEN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-10-11,0.0
2000-10-17,-52.0
2000-10-24,-33.3333
2000-10-25,0.0
2000-10-26,-50.0
2000-10-27,-50.0
2000-10-30,500.0
2000-11-06,-83.3333
2000-11-07,100.0
2000-11-10,0.0
2000-11-14,100.0
2000-11-15,-50.0
2000-11-16,150.0
2000-11-17,-60.0
2000-11-20,200.0
2000-11-21,0.0
2000-11-22,-66.6667
2000-11-24,0.0
2000-11-27,100.0
2000-11-29,-50.0
2000-11-30,0.0
2000-12-01,0.0
2000-12-04,0.0
2000-12-05,0.0
2000-12-07,0.0
2000-12-08,0.0
2000-12-11,0.0
2000-12-12,0.0
2000-12-13,0.0
2000-12-15,0.0
2000-12-19,0.0
2000-12-21,0.0
2000-12-22,0.0
2000-12-26,0.0
2000-12-27,0.0
2000-12-28,0.0
2000-12-29,50.0
2001-01-05,-33.3333
2001-01-10,-50.0
2001-01-19,200.0
2001-01-23,-93.3333
2001-01-24,900.0
2001-01-26,100.0
2001-01-29,-50.0
2001-02-06,-90.0
2001-02-09,0.0
2001-02-12,1400.0
2001-02-13,-33.3333
2001-02-15,0.0
2001-03-05,0.0
2001-03-14,-90.0
2001-03-29,-87.5
2001-04-12,700.0
2001-05-14,0.0
2001-05-16,900.0
2001-05-17,0.0
2001-05-29,0.0
2001-05-30,0.0
2001-06-13,0.0
2001-06-19,0.0
2001-06-28,0.0
2001-07-18,0.0
2001-07-23,0.0
2001-08-22,0.0
2001-09-04,0.0
2001-09-10,0.0
2001-09-28,900.0
2001-10-04,-90.0
2001-10-15,0.0
2001-10-24,0.0
2001-10-25,0.0
2001-11-14,-50.0
2001-11-15,0.0
2001-11-16,0.0
2001-12-11,0.0
2001-12-12,0.0
2001-12-14,0.0
2001-12-19,0.0
2001-12-27,0.0
2001-12-28,0.0
2001-12-31,0.0
2002-01-07,0.0
2002-01-15,0.0
2002-01-23,0.0
2002-01-31,0.0
2002-02-14,0.0
2002-03-04,0.0
2002-03-18,0.0
2002-03-25,0.0
2002-04-16,0.0
2002-04-17,0.0
2002-04-19,0.0
2002-04-22,0.0
2002-04-23,0.0
2002-04-24,0.0
2002-04-29,0.0
2002-04-30,0.0
2002-05-02,0.0
2002-05-08,0.0
2002-05-17,0.0
2002-05-20,0.0
2002-05-21,0.0
2002-06-10,0.0
2002-06-13,0.0
2002-06-21,0.0
2002-07-08,0.0
2002-07-19,0.0
2002-07-30,0.0
2002-08-06,20.0
2002-08-14,-16.6667
