ticker,CNF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-11-07,1.3333
2018-11-08,-2.6316
2018-11-09,-1.8919000000000001
2018-11-12,-0.1377
2018-11-13,4.1379
2018-11-14,-0.6623
2018-11-15,-0.564
2018-11-16,-1.6292
2018-11-19,1.6465999999999998
2018-11-20,-0.6303
2018-11-21,1.2132
2018-11-23,-11.4655
2018-11-26,4.6687
2018-11-27,-2.0144
2018-11-28,1.3216
2018-11-29,-0.8696
2018-11-30,0.1462
2018-12-03,-4.0861
2018-12-04,0.1507
2018-12-06,-3.7994
2018-12-07,-7.109
2018-12-10,-2.2109
2018-12-11,0.0017
2018-12-12,-0.3496
2018-12-13,-1.2216
2018-12-14,-1.0601
2018-12-17,-1.4285999999999999
2018-12-18,-6.5217
2018-12-19,1.7442
2018-12-20,-2.4762
2018-12-21,0.9766
2018-12-24,-2.3211
2018-12-26,0.9901
2018-12-27,4.902
2018-12-28,7.4766
2018-12-31,-4.1739
2019-01-02,-3.8113
2019-01-03,3.7736
2019-01-04,5.4545
2019-01-07,-2.5
2019-01-08,0.3201
2019-01-09,-2.1699
2019-01-11,0.0
2019-01-14,-0.9009
2019-01-15,2.9091
2019-01-16,-2.8269
2019-01-17,8.3636
2019-01-18,10.2349
2019-01-22,-1.8265
2019-01-23,2.6357
2019-01-24,2.9698
2019-01-25,-4.0577
2019-01-28,-3.8226
2019-01-29,-3.8156
2019-01-30,-2.5124
2019-01-31,0.0339
2019-02-01,1.6949
2019-02-04,-6.6667
2019-02-05,1.0893
2019-02-06,0.5123
2019-02-07,-3.3392
2019-02-11,1.3418
2019-02-12,0.4701
2019-02-13,5.1786
2019-02-14,-0.6791
2019-02-15,3.0769
2019-02-19,-3.1509
2019-02-20,-2.3973
2019-02-21,-6.1404
2019-02-22,-7.4766
2019-02-25,3.2323
2019-02-26,-3.3268
2019-02-27,2.6316
2019-02-28,2.5641
2019-03-01,1.4038
2019-03-04,-2.143
2019-03-05,3.1221
2019-03-06,3.3621
2019-03-07,9.0909
2019-03-08,3.5
2019-03-11,1.4493
2019-03-12,-11.4286
2019-03-13,-5.1971
2019-03-14,-4.5369
2019-03-15,1.2376
2019-03-18,6.7971
2019-03-19,-4.7619
2019-03-20,2.5
2019-03-21,-0.3752
2019-03-22,1.1299
2019-03-25,3.1378
2019-03-26,1.2224
2019-03-27,-4.5699
2019-03-28,3.5514
2019-03-29,9.3845
2019-04-01,-0.6584
2019-04-02,-2.6179
2019-04-03,-2.7702
