ticker,XONE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-02-07,47.3333
2013-02-08,13.4992
2013-02-11,-0.0963
2013-02-12,-8.5498
2013-02-13,1.8545
2013-02-14,-2.9632
2013-02-15,-6.4018
2013-02-19,6.5252
2013-02-20,-5.7196
2013-02-21,2.8376
2013-02-22,1.4272
2013-02-25,-3.6398
2013-02-26,-0.3115
2013-02-27,6.6411
2013-02-28,-0.4034
2013-03-01,-2.7951
2013-03-04,3.0269
2013-03-05,-2.6074
2013-03-06,1.0181
2013-03-07,2.9862
2013-03-08,1.8123
2013-03-11,1.4952
2013-03-12,-2.315
2013-03-13,1.0772
2013-03-14,9.2007
2013-03-15,0.2277
2013-03-18,0.9088
2013-03-19,-1.8977
2013-03-20,0.5246
2013-03-21,-0.1305
2013-03-22,4.5069
2013-03-25,-0.0625
2013-03-26,-1.1882
2013-03-27,-3.1646
2013-03-28,9.4771
2013-04-01,0.0896
2013-04-02,-1.4614
2013-04-03,-4.6308
2013-04-04,-2.0946
2013-04-05,-0.5511
2013-04-08,-2.9694000000000003
2013-04-09,4.1352
2013-04-10,13.9677
2013-04-11,2.321
2013-04-12,2.7939
2013-04-15,-8.3127
2013-04-16,3.0202
2013-04-17,0.3419
2013-04-18,-2.4702
2013-04-19,-3.2606
2013-04-22,-4.3334
2013-04-23,5.0959
2013-04-24,3.0829
2013-04-25,4.6458
2013-04-26,-0.2497
2013-04-29,2.0584
2013-04-30,4.6607
2013-05-01,-3.0208
2013-05-02,0.6982
2013-05-03,2.2133
2013-05-06,3.2612
2013-05-07,3.5371
2013-05-08,-1.3176999999999999
2013-05-09,-0.3709
2013-05-10,4.3931000000000004
2013-05-13,5.4684
2013-05-14,9.5582
2013-05-15,-15.3292
2013-05-16,-8.0923
2013-05-17,7.3506
2013-05-20,6.9212
2013-05-21,0.5068
2013-05-22,-5.0882
2013-05-23,6.496
2013-05-24,2.0408
2013-05-28,3.2667
2013-05-29,1.5924
2013-05-30,3.7916
2013-05-31,1.2652999999999999
2013-06-03,-9.713799999999999
2013-06-04,-0.692
2013-06-05,-3.5514
2013-06-06,11.6057
2013-06-07,-4.3642
2013-06-10,7.8384
2013-06-11,5.1022
2013-06-12,-5.6636
2013-06-13,6.2079
2013-06-14,-2.9417
2013-06-17,3.3875
2013-06-18,-1.3604
2013-06-19,-3.3411
2013-06-20,-0.824
2013-06-21,3.6272
2013-06-24,1.1537
2013-06-25,4.3882
2013-06-26,2.4074
2013-06-27,6.6365
