ticker,OFED US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-01-18,-0.5017
2011-01-19,0.084
2011-01-20,-0.084
2011-01-25,0.9244
2011-01-26,-0.1665
2011-01-27,0.0834
2011-01-28,0.0
2011-01-31,-1.6667
2011-02-01,2.1186
2011-02-03,0.0
2011-02-04,0.332
2011-02-07,0.0
2011-02-08,0.8271
2011-02-09,-0.6563
2011-02-10,-0.0826
2011-02-11,-0.8264
2011-02-14,4.1667
2011-02-16,7.52
2011-02-17,-0.8929
2011-02-18,-4.2793
2011-02-22,0.3137
2011-02-23,-3.5966
2011-02-24,-0.5677
2011-02-25,1.6313
2011-02-28,1.4445999999999999
2011-03-01,5.3797
2011-03-02,-6.9069
2011-03-04,4.3548
2011-03-08,-5.4869
2011-03-09,4.1701
2011-03-10,-1.8838
2011-03-11,-2.0
2011-03-15,-0.0816
2011-03-16,0.8987
2011-03-17,0.0
2011-03-18,-6.3968
2011-03-22,4.8443000000000005
2011-03-25,-1.0726
2011-03-29,-1.6681
2011-03-30,0.0806
2011-03-31,-2.623
2011-04-01,0.087
2011-04-04,4.3478
2011-04-05,0.6667
2011-04-06,-1.4889999999999999
2011-04-07,1.5114999999999998
2011-04-11,-1.4073
2011-04-12,0.7557
2011-04-13,0.0
2011-04-14,0.6667
2011-04-15,0.1656
2011-04-20,-0.8254
2011-04-21,0.0
2011-04-25,0.8323
2011-04-26,0.4132
2011-04-27,5.5967
2011-04-28,-1.6496
2011-05-02,-2.476
2011-05-04,0.4914
2011-05-05,-1.7930000000000001
2011-05-09,2.9046
2011-05-13,-1.25
2011-05-17,-0.4481
2011-05-19,0.9013
2011-05-20,-0.813
2011-05-23,2.9016
2011-05-24,-1.9436
2011-05-25,-0.4874
2011-06-02,-1.9592
2011-06-08,0.2498
2011-06-09,-0.2492
2011-06-13,-0.3331
2011-06-14,-0.5848
2011-06-17,-0.5882
2011-06-20,1.8597000000000001
2011-06-21,-1.6598000000000002
2011-06-23,1.5190000000000001
2011-07-05,-0.2494
2011-07-07,-0.5882
2011-07-08,0.0
2011-07-12,-4.4801
2011-07-14,1.3274
2011-07-15,-0.131
2011-07-18,-1.7053
2011-07-21,1.4235
2011-07-27,-1.6667
2011-08-01,0.7136
2011-08-02,-0.0886
2011-08-03,-0.8865
2011-08-05,-1.1628
2011-08-08,-0.4514
2011-08-09,-0.0011
2011-08-10,0.0
2011-08-11,0.0
2011-08-12,0.0
2011-08-18,0.0011
2011-08-19,-0.7284
2011-08-22,0.1832
