ticker,EVARF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-28,0.1
2014-04-29,-0.0999
2014-04-30,-1.7
2014-05-01,0.2035
2014-05-02,1.3185
2014-05-05,-3.9467
2014-05-06,-0.7928
2014-05-07,-0.1052
2014-05-08,-2.1053
2014-05-09,3.2258
2014-05-12,0.0
2014-05-13,-3.0729
2014-05-14,-5.9753
2014-05-15,-2.846
2014-05-16,-0.9529
2014-05-19,-8.0651
2014-05-20,0.1292
2014-05-21,-2.0645
2014-05-22,5.4018
2014-05-23,3.75
2014-05-27,-2.6506
2014-05-28,-5.4455
2014-05-29,-1.3089
2014-05-30,3.183
2014-06-02,-2.1851
2014-06-03,-0.1314
2014-06-04,-3.9211
2014-06-05,-3.725
2014-06-06,1.4224999999999999
2014-06-09,0.8415
2014-06-10,-0.6954
2014-06-11,-0.4202
2014-06-12,3.7975
2014-06-13,-3.1165
2014-06-16,-1.8182
2014-06-17,1.8519
2014-06-18,6.993
2014-06-19,-3.1373
2014-06-20,-1.6194
2014-06-24,-4.6639
2014-06-25,2.1583
2014-06-26,-1.4718
2014-06-27,0.0643
2014-06-30,2.8571
2014-07-01,-0.9722
2014-07-02,-1.9635
2014-07-03,0.1431
2014-07-07,-0.4286
2014-07-08,-2.023
2014-07-09,-0.4247
2014-07-10,-0.4412
2014-07-11,0.7367
2014-07-14,-0.2914
2014-07-15,-0.7353
2014-07-16,-5.1852
2014-07-17,-0.1563
2014-07-18,-4.5383
2014-07-21,1.1475
2014-07-22,0.6483
2014-07-23,-0.161
2014-07-24,0.0
2014-07-25,1.371
2014-07-28,-7.8759
2014-07-29,0.6045
2014-07-30,-0.4292
2014-07-31,3.7931
2014-08-01,-1.9933999999999998
2014-08-04,0.8475
2014-08-05,-1.1764999999999999
2014-08-06,2.2109
2014-08-07,-3.4942
2014-08-08,-1.7241
2014-08-11,1.7544
2014-08-12,-2.2414
2014-08-13,-1.0582
2014-08-14,-3.0303
2014-08-15,1.1029
2014-08-18,11.0909
2014-08-19,1.4729999999999999
2014-08-20,0.3226
2014-08-21,-0.1588
2014-08-22,2.2524
2014-08-25,7.622
2014-08-26,-5.619
2014-08-27,-0.7771
2014-08-28,1.5645
2014-08-29,18.1538
2014-09-02,-5.599
2014-09-03,-5.3793
2014-09-04,1.7492999999999999
2014-09-05,2.4355
2014-09-08,-0.2797
2014-09-09,-0.8415
2014-09-10,1.8388
2014-09-11,-1.0069
2014-09-12,1.2978
2014-09-15,0.831
2014-09-16,0.2747
