ticker,HMHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-14,32.1667
2013-11-15,1.5763
2013-11-18,-2.0484
2013-11-19,2.9151
2013-11-20,8.7438
2013-11-21,-1.1891
2013-11-22,-6.533
2013-11-25,0.5763
2013-11-26,0.5243
2013-11-27,5.2153
2013-11-29,0.1729
2013-12-02,0.8055
2013-12-03,0.0
2013-12-04,-0.6849
2013-12-05,-2.7586
2013-12-06,1.1229
2013-12-09,-2.9223
2013-12-10,-0.8429
2013-12-11,-3.0358
2013-12-12,2.6299
2013-12-13,-3.0506
2013-12-16,3.4613
2013-12-17,5.8394
2013-12-18,0.8621
2013-12-19,-0.2849
2013-12-20,2.2857
2013-12-23,-0.7263
2013-12-24,-3.8266999999999998
2013-12-26,-1.3458
2013-12-27,2.9656000000000002
2013-12-30,-1.6705
2013-12-31,-0.6444
2014-01-02,2.2406
2014-01-03,-1.5571000000000002
2014-01-06,3.2806
2014-01-07,0.1702
2014-01-08,0.9626
2014-01-09,0.1122
2014-01-10,0.4482
2014-01-13,-0.502
2014-01-14,0.2242
2014-01-15,1.1186
2014-01-16,0.885
2014-01-17,1.1513
2014-01-21,0.7046
2014-01-22,1.2379
2014-01-23,-0.1063
2014-01-24,1.1176
2014-01-27,0.0526
2014-01-28,1.2099
2014-01-29,-0.6237
2014-01-30,0.7322
2014-01-31,-0.1038
2014-02-03,-1.5072999999999999
2014-02-04,2.9551
2014-02-05,-1.2814
2014-02-06,-2.0768
2014-02-07,-1.0604
2014-02-10,2.2508
2014-02-11,0.1572
2014-02-12,-0.7326
2014-02-13,2.214
2014-02-14,-0.722
2014-02-18,1.1429
2014-02-19,3.0303
2014-02-20,0.9472
2014-02-21,-0.642
2014-02-24,-1.0934
2014-02-25,1.7588
2014-02-26,-1.037
2014-02-27,2.5449
2014-02-28,-1.1192
2014-03-03,-3.3957
2014-03-04,0.5094
2014-03-05,-1.6726
2014-03-06,2.5258000000000003
2014-03-07,-3.2177
2014-03-10,0.4156
2014-03-11,0.1552
2014-03-12,0.9814
2014-03-13,0.7161
2014-03-14,0.0508
2014-03-17,1.2690000000000001
2014-03-18,0.2005
2014-03-19,0.05
2014-03-20,0.55
2014-03-21,-1.1934
2014-03-24,-0.6039
2014-03-25,1.2152
2014-03-26,-1.8009
2014-03-27,2.1396
2014-03-28,1.8953
2014-03-31,-0.4895
2014-04-01,0.8362
2014-04-02,-0.1951
2014-04-03,0.0978
2014-04-04,0.4395
2014-04-07,-0.9237
