ticker,JSHG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-02-11,0.0
2013-04-17,-23.75
2013-04-18,-1.6393
2013-06-28,6.6667
2013-07-01,9.375
2013-07-15,0.0
2013-08-01,-34.2857
2013-08-02,47.8261
2013-09-04,-32.3529
2013-09-20,-52.1739
2013-09-27,45.4545
2013-10-29,-25.0
2013-10-30,-8.3333
2013-11-06,45.4545
2013-11-11,0.0
2013-11-12,-6.25
2013-11-13,33.3333
2013-11-14,0.0
2013-11-15,-5.0
2013-11-18,5.2632
2013-11-19,-15.0
2013-11-20,17.647100000000002
2013-11-25,0.0
2013-11-27,0.0
2013-12-04,10.0
2013-12-05,0.0
2013-12-11,0.0
2013-12-12,0.0
2013-12-13,-9.0909
2013-12-16,0.0
2013-12-23,0.0
2013-12-26,0.0
2013-12-27,0.0
2013-12-30,0.0
2013-12-31,0.0
2014-01-02,0.0
2014-01-03,0.0
2014-01-06,0.0
2014-01-07,-30.0
2014-01-09,42.8571
2014-01-10,0.0
2014-01-13,-5.0
2014-01-15,21.0526
2014-01-16,0.0
2014-01-17,0.0
2014-01-21,13.0435
2014-01-22,-3.8462
2014-01-28,0.0
2014-01-29,-28.0
2014-02-04,1.1111
2014-02-05,0.0
2014-02-11,0.0
2014-02-12,0.0
2014-02-25,-39.4918
2014-03-11,0.0
2014-03-14,0.0
2014-03-18,81.6118
2014-03-20,-15.0
2014-03-25,-29.4118
2014-03-26,0.0
2014-03-28,66.6667
2014-03-31,-44.9375
2014-04-01,9.0806
2014-04-09,-25.078
2014-04-16,11.1111
2014-04-17,10.0
2014-04-24,-54.5455
2014-04-28,0.0
2014-06-11,100.0
2014-06-12,20.0
2014-06-18,25.0
2014-06-19,0.0
2014-06-24,-60.0
2014-06-25,166.6667
2014-06-27,-37.5
2014-07-02,-50.0
2014-07-09,220.0
2014-07-11,-25.0
2014-07-14,62.5
2014-07-15,-23.0769
2014-07-21,0.0
2014-08-18,13.3333
2014-08-19,0.0
2014-08-20,0.0
2014-08-22,23.5294
2014-08-25,-4.7619
2014-09-02,0.0
2014-09-08,-5.0
2014-09-09,0.0
2014-09-16,-73.6842
2014-09-19,300.0
2014-09-26,0.0
2014-09-29,0.0
2014-10-07,-40.0
2014-10-20,58.3333
2014-11-18,5.2632
2014-11-24,0.0
2014-12-03,0.0
2014-12-04,25.0
2014-12-16,0.0
2014-12-17,0.0
2014-12-18,0.0
2015-01-07,-16.0
2015-01-12,-4.7619
2015-01-28,-50.0
2015-02-17,90.0
