ticker,NNRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-09-20,525.0
2013-09-23,36.0
2013-09-24,12.7451
2013-09-25,8.6957
2013-09-26,7.2
2013-09-27,6.7164
2013-09-30,-67.1329
2013-10-01,-8.5106
2013-10-02,11.6279
2013-10-03,-14.5833
2013-10-04,-7.3171
2013-10-07,2.6316
2013-10-08,2.5641
2013-10-09,6.25
2013-10-10,5.8824
2013-10-11,20.4444
2013-10-14,16.2362
2013-10-15,-11.1111
2013-10-16,-12.5
2013-10-17,4.0816
2013-10-18,8.2353
2013-10-21,-2.1739
2013-10-22,-7.4074
2013-10-23,0.0
2013-10-24,-3.0
2013-10-25,9.2784
2013-10-28,-5.6604
2013-10-29,-2.5
2013-10-30,-5.641
2013-10-31,-17.3913
2013-11-01,15.526299999999999
2013-11-04,3.6446
2013-11-05,3.2967
2013-11-06,0.0
2013-11-07,-1.7021
2013-11-08,1.7045
2013-11-11,11.3062
2013-11-12,18.5468
2013-11-13,10.0
2013-11-14,-11.2903
2013-11-15,4.9587
2013-11-18,-4.0945
2013-11-19,9.1954
2013-11-20,11.2782
2013-11-21,12.8378
2013-11-22,-4.1916
2013-11-25,3.625
2013-11-26,-1.915
2013-11-27,5.8878
2013-11-29,6.8525
2013-12-02,4.9049
2013-12-03,5.6858
2013-12-04,6.8627
2013-12-05,4.5872
2013-12-06,7.8947
2013-12-09,-54.4715
2013-12-10,7.1429
2013-12-11,-13.3333
2013-12-12,-13.461500000000001
2013-12-13,-8.8889
2013-12-16,-37.561
2013-12-17,44.5312
2013-12-18,25.6757
2013-12-19,1.6129
2013-12-20,-2.2222
2013-12-23,-9.0909
2013-12-24,-5.9524
2013-12-26,-3.5443
2013-12-27,9.9738
2013-12-30,-5.0119
2013-12-31,-6.3128
2014-01-02,9.9564
2014-01-03,-2.439
2014-01-06,2.5
2014-01-07,-4.878
2014-01-08,-1.2821
2014-01-09,-1.2987
2014-01-10,-7.3684
2014-01-13,-14.7727
2014-01-14,30.0
2014-01-15,-6.4103
2014-01-16,2.7397
2014-01-17,2.6667
2014-01-21,-0.7792
2014-01-22,-8.377
2014-01-23,2.8571
2014-01-24,2.2222
2014-01-27,-4.8913
2014-01-28,-11.1429
2014-01-29,6.1093
2014-01-30,-5.7576
2014-01-31,11.5756
2014-02-03,-8.9337
2014-02-04,2.8481
2014-02-05,-1.5385
2014-02-06,-3.125
2014-02-07,0.0
2014-02-10,-9.7177
2014-02-11,-10.6744
2014-02-12,4.0
