ticker,JELD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-01-27,13.5652
2017-01-30,-0.268
2017-01-31,3.9154999999999998
2017-02-01,-0.0739
2017-02-02,1.9963
2017-02-03,3.3345000000000002
2017-02-06,-1.8941
2017-02-07,2.0737
2017-02-08,0.9807
2017-02-09,2.1852
2017-02-10,1.0523
2017-02-13,-0.4367
2017-02-14,-0.3036
2017-02-15,-0.1692
2017-02-16,-1.6949
2017-02-17,1.6552
2017-02-21,1.1872
2017-02-22,2.9165
2017-02-23,0.2932
2017-02-24,-0.1624
2017-02-27,1.2687
2017-02-28,0.3534
2017-03-01,-0.5442
2017-03-02,-0.7081
2017-03-03,-0.2917
2017-03-06,-1.8205
2017-03-07,0.596
2017-03-08,3.6536999999999997
2017-03-09,1.2385
2017-03-10,0.6901
2017-03-13,0.0
2017-03-14,-3.271
2017-03-15,0.7085
2017-03-16,0.8954
2017-03-17,0.9826
2017-03-20,0.565
2017-03-21,1.2484
2017-03-22,0.4624
2017-03-23,0.0921
2017-03-24,-0.1533
2017-03-27,-2.2413
2017-03-28,2.701
2017-03-29,0.2752
2017-03-30,0.7929
2017-03-31,-0.6051
2017-04-03,0.0
2017-04-04,0.6393
2017-04-05,-2.8736
2017-04-06,-2.18
2017-04-07,-0.7959
2017-04-10,2.1823
2017-04-11,-1.6646
2017-04-12,-0.7027
2017-04-13,0.3538
2017-04-17,2.1154
2017-04-18,1.5066000000000002
2017-04-19,-0.8658
2017-04-20,2.3706
2017-04-21,-0.3961
2017-04-24,2.7837
2017-04-25,0.744
2017-04-26,0.1773
2017-04-27,-1.445
2017-04-28,-1.167
2017-05-01,1.3624
2017-05-02,0.0896
2017-05-03,-0.4476
2017-05-04,-2.2782
2017-05-05,0.7055
2017-05-08,-0.5787
2017-05-09,-0.7353
2017-05-10,0.216
2017-05-11,-0.5544
2017-05-12,-0.4645
2017-05-15,-0.4356
2017-05-16,-0.9688
2017-05-17,-4.7649
2017-05-18,2.22
2017-05-19,1.2318
2017-05-22,-1.1848
2017-05-23,-1.9443000000000001
2017-05-24,3.1395
2017-05-25,-1.4418
2017-05-26,0.2276
2017-05-30,1.038
2017-05-31,0.2889
2017-06-01,-0.9923
2017-06-02,1.7459
2017-06-05,-0.6991
2017-06-06,0.736
2017-06-07,-0.4447
2017-06-08,0.3829
2017-06-09,1.3032
2017-06-12,-0.0628
2017-06-13,4.6154
2017-06-14,1.4706000000000001
2017-06-15,0.5324
2017-06-16,0.912
2017-06-19,-0.0292
