ticker,GBT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-08-12,115.55
2015-08-13,-9.4642
2015-08-14,17.0126
2015-08-17,17.1228
2015-08-18,-15.76
2015-08-19,-1.9973
2015-08-20,1.8795
2015-08-21,1.3559
2015-08-24,-13.3553
2015-08-25,8.5042
2015-08-26,-4.9219
2015-08-27,3.5329
2015-08-28,7.6777
2015-08-31,8.9129
2015-09-01,-0.687
2015-09-02,5.7986
2015-09-03,0.6731
2015-09-04,0.6686
2015-09-08,-0.778
2015-09-09,0.8606
2015-09-10,0.6257
2015-09-11,-0.6595
2015-09-14,0.0569
2015-09-15,1.2322
2015-09-16,-2.1348
2015-09-17,-0.1818
2015-09-18,0.0863
2015-09-21,-9.5001
2015-09-22,-2.709
2015-09-23,1.1312
2015-09-24,-1.9574
2015-09-25,-1.6235
2015-09-28,-15.8341
2015-09-29,5.7499
2015-09-30,5.6377
2015-10-01,3.6528
2015-10-02,7.2998
2015-10-05,4.9904
2015-10-06,-2.4172000000000002
2015-10-07,2.2273
2015-10-08,-2.0973
2015-10-09,0.6448
2015-10-12,-1.4259
2015-10-13,-1.4675
2015-10-14,0.5106
2015-10-15,-0.4445
2015-10-16,-0.2339
2015-10-19,4.8806
2015-10-20,-1.6054
2015-10-21,-7.7034
2015-10-22,0.8279
2015-10-23,1.7532
2015-10-26,2.3337
2015-10-27,-2.0034
2015-10-28,2.3706
2015-10-29,-2.167
2015-10-30,1.2595
2015-11-02,3.5599
2015-11-03,5.6326
2015-11-04,-2.3721
2015-11-05,-3.8353
2015-11-06,-6.3896
2015-11-09,-0.6692
2015-11-10,-1.3025
2015-11-11,-0.6598
2015-11-12,-4.3518
2015-11-13,8.5967
2015-11-16,-3.9691
2015-11-17,7.6005
2015-11-18,16.6453
2015-11-19,-8.3608
2015-11-20,3.5137
2015-11-23,-4.3394
2015-11-24,-1.8145
2015-11-25,2.115
2015-11-27,-0.744
2015-11-30,-4.8622
2015-12-01,0.7879
2015-12-02,6.6554
2015-12-03,1.2678
2015-12-04,-10.661200000000001
2015-12-07,-25.7062
2015-12-08,-1.6505
2015-12-09,2.9667
2015-12-10,-0.553
2015-12-11,-3.1021
2015-12-14,-3.6847
2015-12-15,3.5434
2015-12-16,4.3004
2015-12-17,-2.2648
2015-12-18,-9.7445
2015-12-21,0.1317
2015-12-22,1.5122
2015-12-23,6.1528
2015-12-24,2.3185000000000002
2015-12-28,-1.9082
2015-12-29,-0.8511
2015-12-30,-3.74
2015-12-31,2.9618
