ticker,FRPT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-11-07,27.4
2014-11-10,-3.6107
2014-11-11,0.4886
2014-11-12,-1.1345
2014-11-13,-0.4918
2014-11-14,3.4596
2014-11-17,1.9108
2014-11-18,1.3021
2014-11-19,-3.856
2014-11-20,-5.9358
2014-11-21,-2.2172
2014-11-24,2.6744
2014-11-25,0.7928
2014-11-26,-3.9888
2014-11-28,-2.2235
2014-12-01,0.1197
2014-12-02,2.9886
2014-12-03,-0.2902
2014-12-04,-1.0477
2014-12-05,-0.7059
2014-12-08,2.9028
2014-12-09,0.6333
2014-12-10,5.9497
2014-12-11,-2.6997999999999998
2014-12-12,-4.8835
2014-12-15,-1.2252
2014-12-16,0.1181
2014-12-17,-2.9499
2014-12-18,-1.3982
2014-12-19,-7.4599
2014-12-22,-4.2638
2014-12-23,-0.9743
2014-12-24,7.5193
2014-12-26,-0.0654
2014-12-29,4.5782
2014-12-30,8.6304
2014-12-31,-1.7847
2015-01-02,-3.2824999999999998
2015-01-05,-7.3939
2015-01-06,-2.7487
2015-01-07,5.5855
2015-01-08,5.7999
2015-01-09,2.1687
2015-01-12,0.0
2015-01-13,-4.717
2015-01-14,-2.3515
2015-01-15,-5.5133
2015-01-16,-3.9571
2015-01-20,-0.6983
2015-01-21,-4.5007
2015-01-22,-0.2209
2015-01-23,-0.5904
2015-01-26,2.1529
2015-01-27,0.9448
2015-01-28,4.8236
2015-01-29,3.228
2015-01-30,1.7299
2015-02-02,-0.5886
2015-02-03,1.7105000000000001
2015-02-04,2.5225999999999997
2015-02-05,2.8391
2015-02-06,2.3926
2015-02-09,0.5992
2015-02-10,-0.1191
2015-02-11,0.7156
2015-02-12,0.0592
2015-02-13,-0.7101
2015-02-17,-2.1454
2015-02-18,0.0609
2015-02-19,-1.8868
2015-02-20,0.1861
2015-02-23,5.7585
2015-02-24,2.6347
2015-02-25,1.8824999999999998
2015-02-26,4.9832
2015-02-27,-1.7067
2015-03-02,-1.8991
2015-03-03,-2.7102
2015-03-04,-1.3075999999999999
2015-03-05,0.6912
2015-03-06,2.1167
2015-03-09,5.042
2015-03-10,-6.5600000000000005
2015-03-11,-0.4566
2015-03-12,-0.7454
2015-03-13,-1.7909000000000002
2015-03-16,5.7647
2015-03-17,3.782
2015-03-18,0.4823
2015-03-19,-1.4933
2015-03-20,-0.8663
2015-03-23,3.0584
2015-03-24,-0.7949
2015-03-25,-0.1603
2015-03-26,1.1771
2015-03-27,2.1153
