ticker,MCEP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-12-15,0.2778
2011-12-16,-0.7202
2011-12-19,0.4464
2011-12-20,1.1111
2011-12-21,0.3846
2011-12-22,0.3831
2011-12-23,1.4177
2011-12-27,-1.6129
2011-12-28,0.6393
2011-12-29,-0.3638
2011-12-30,0.0
2012-01-03,1.6341999999999999
2012-01-04,1.0194
2012-01-05,0.2027
2012-01-06,1.175
2012-01-09,0.9948
2012-01-10,0.0
2012-01-11,0.8294
2012-01-12,-0.2571
2012-01-13,-0.4639
2012-01-17,-0.4247
2012-01-18,0.3745
2012-01-19,0.5181
2012-01-20,1.2165
2012-01-23,2.8723
2012-01-24,1.2376
2012-01-25,2.1027
2012-01-26,-0.0958
2012-01-27,0.767
2012-01-30,-0.0951
2012-01-31,-0.4762
2012-02-01,0.4785
2012-02-02,-0.681
2012-02-03,8.0769
2012-02-06,0.5783
2012-02-07,-2.8306
2012-02-08,-1.6385999999999998
2012-02-09,1.1106
2012-02-10,6.4073
2012-02-13,-1.5053999999999998
2012-02-14,0.393
2012-02-15,1.2614
2012-02-16,-2.7491
2012-02-17,3.4452
2012-02-21,-0.2562
2012-02-22,-0.6844
2012-02-23,1.2064
2012-02-24,-0.7666
2012-02-27,2.1416
2012-02-28,0.4664
2012-02-29,1.6311
2012-03-01,0.0
2012-03-02,1.2757
2012-03-05,0.3251
2012-03-06,-5.542
2012-03-07,1.6221
2012-03-08,1.097
2012-03-09,1.8780999999999999
2012-03-12,1.5567
2012-03-13,-1.1295
2012-03-14,-0.3264
2012-03-15,-2.9472
2012-03-16,-1.0128
2012-03-19,2.2161
2012-03-20,-2.0425
2012-03-21,-2.1915
2012-03-22,-3.1977
2012-03-23,3.1461
2012-03-26,3.0065
2012-03-27,0.423
2012-03-28,-0.6318
2012-03-29,-0.5087
2012-03-30,0.3409
2012-04-02,1.9108
2012-04-03,0.8339
2012-04-04,0.2061
2012-04-05,0.5773
2012-04-09,-0.984
2012-04-10,-1.9462000000000002
2012-04-11,-2.4493
2012-04-12,1.0823
2012-04-13,-0.5139
2012-04-16,-0.9901
2012-04-17,-6.3478
2012-04-18,0.0929
2012-04-19,1.4842
2012-04-20,2.1938
2012-04-23,2.102
2012-04-24,0.3066
2012-04-25,0.917
2012-04-26,-0.2596
2012-04-27,-0.3905
2012-04-30,2.5261
2012-05-01,0.4673
2012-05-02,-1.649
2012-05-03,-2.3861
2012-05-04,-5.0382
2012-05-07,1.1369
2012-05-08,-5.0117
