ticker,BCEL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-20,6.1765
2019-06-21,-5.4294
2019-06-24,2.6654999999999998
2019-06-25,3.281
2019-06-26,0.884
2019-06-27,1.2048
2019-06-28,1.9481000000000002
2019-07-01,-8.1741
2019-07-02,-13.6994
2019-07-03,9.3101
2019-07-05,-0.6127
2019-07-08,3.1443
2019-07-09,13.8673
2019-07-10,-13.7008
2019-07-11,1.8248
2019-07-12,-0.6571
2019-07-15,-1.0824
2019-07-16,-5.8967
2019-07-17,2.3256
2019-07-18,1.0101
2019-07-19,0.0625
2019-07-22,-0.4997
2019-07-23,-1.5066000000000002
2019-07-24,-1.0198
2019-07-25,-3.284
2019-07-26,-8.5885
2019-07-29,-2.185
2019-07-30,0.968
2019-07-31,-6.7109
2019-08-01,1.1858
2019-08-02,-2.8906
2019-08-05,-10.539
2019-08-06,5.036
2019-08-07,-7.9623
2019-08-08,-3.0698
2019-08-09,24.0883
2019-08-12,-10.9049
2019-08-13,25.7813
2019-08-14,-7.3844
2019-08-15,19.9702
2019-08-16,3.4161
2019-08-19,5.7057
2019-08-20,16.9886
2019-08-21,-3.0112
2019-08-22,10.4657
2019-08-23,-0.8613
2019-08-26,-6.4929
2019-08-27,-6.1125
2019-08-28,0.9896
2019-08-29,-2.1661
2019-08-30,2.3195
2019-09-03,-3.864
2019-09-04,-4.6088000000000005
2019-09-05,-1.2921
2019-09-06,-6.4883
2019-09-09,-10.9556
2019-09-10,-9.6377
2019-09-11,-1.9667
2019-09-12,6.7901
2019-09-13,-3.8295
2019-09-16,-6.311
2019-09-17,-5.2125
2019-09-18,-4.5685
2019-09-19,0.1773
2019-09-20,3.1858
2019-09-23,18.1818
2019-09-24,0.4354
2019-09-25,-9.6098
2019-09-26,3.9169
2019-09-27,-14.461500000000001
2019-09-30,10.0719
2019-10-01,-6.2908
2019-10-02,2.9643
2019-10-03,-3.0483
2019-10-04,0.4367
2019-10-07,-2.9565
2019-10-08,0.6272
2019-10-09,-2.2262
2019-10-10,-5.1002
2019-10-11,-0.7678
2019-10-14,-3.0948
2019-10-15,7.0858
2019-10-16,-4.6598
2019-10-17,4.6921
2019-10-18,-3.1746
2019-10-21,4.8216
2019-10-22,-2.7599
2019-10-23,-4.825
2019-10-24,-0.0994
2019-10-25,8.0597
2019-10-28,-7.4586
2019-10-29,1.4925
2019-10-30,1.8627
2019-10-31,8.2772
2019-11-01,4.6222
2019-11-04,0.1699
2019-11-05,4.665
2019-11-06,6.0778
