ticker,BTCS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-04-24,0.0
2010-05-27,33440.0
2010-06-01,0.0
2010-06-02,-2.5641
2010-06-04,2.6316
2010-06-09,0.0
2010-06-10,0.0
2010-06-14,0.0
2010-06-16,-5.1282
2010-07-19,-32.4324
2010-07-20,6.0
2010-08-05,13.2075
2010-08-09,-6.6667
2010-08-18,7.1429
2010-08-20,-33.3333
2010-08-31,50.0
2010-09-03,-33.3333
2010-09-08,45.0
2010-09-09,0.0
2010-09-15,-3.4483
2010-09-22,7.1429
2010-09-24,0.0
2010-10-07,0.0
2010-10-13,-3.3333
2010-10-15,6.8966
2010-10-18,2.9032
2010-10-19,0.3135
2010-10-20,-6.25
2010-10-21,3.3333
2010-10-25,-16.129
2010-10-26,0.0
2010-11-01,19.2308
2010-11-02,-12.9032
2010-11-04,14.8148
2010-11-05,3.2258
2010-11-08,-6.25
2010-11-10,-16.6667
2010-11-11,8.0
2010-11-12,1.8519
2010-11-15,45.0455
2010-11-16,-53.6196
2010-11-17,-7.5676
2010-11-18,5.2632
2010-11-19,-5.5556
2010-11-22,-11.7647
2010-11-23,-12.0
2010-11-24,0.0
2010-11-26,2.2727
2010-11-29,-25.9259
2010-11-30,10.0
2010-12-01,0.0
2010-12-02,-0.9091
2010-12-03,-8.2569
2010-12-06,0.0
2010-12-07,-10.0
2010-12-08,-16.6667
2010-12-09,0.0
2010-12-10,6.6667
2010-12-13,-10.0
2010-12-14,8.3333
2010-12-15,2.5641
2010-12-16,-3.75
2010-12-17,0.0
2010-12-20,-15.5844
2010-12-21,-7.6923
2010-12-22,0.0
2010-12-23,12.5
2010-12-27,-9.6296
2010-12-28,1.6393
2010-12-29,8.0645
2010-12-30,19.403
2010-12-31,-12.5
2011-01-03,28.5714
2011-01-04,11.1111
2011-01-05,10.0
2011-01-06,-9.0909
2011-01-07,18.0
2011-01-10,-11.0169
2011-01-11,-22.8571
2011-01-12,9.8765
2011-01-13,12.3596
2011-01-14,10.0
2011-01-18,-9.0909
2011-01-19,-10.0
2011-01-21,3.3333
2011-01-24,-3.2258
2011-01-25,-10.0
2011-01-26,4.9383
2011-01-27,-5.8824
2011-01-28,1.25
2011-01-31,4.9383
2011-02-01,0.0
2011-02-02,0.0
2011-02-03,5.8824
2011-02-04,-5.5556
2011-02-07,-4.7059
2011-02-08,4.9383
2011-02-09,0.0
2011-02-10,-3.5294
2011-02-11,3.6585
2011-02-14,-5.8824
2011-02-15,6.25
2011-02-16,-4.7059
