ticker,ICPT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-11,29.3333
2012-10-12,-1.8041
2012-10-15,1.1024
2012-10-16,2.1288
2012-10-17,0.5745
2012-10-18,1.0969
2012-10-19,-0.15
2012-10-22,-2.3535
2012-10-23,-0.3077
2012-10-24,-1.2346
2012-10-25,0.0
2012-10-26,-0.9375
2012-10-31,-5.0473
2012-11-01,5.2049
2012-11-02,-1.3158
2012-11-05,2.7733
2012-11-06,8.9777
2012-11-07,-3.8095
2012-11-08,-0.495
2012-11-09,-0.4975
2012-11-12,4.975
2012-11-13,2.2148
2012-11-14,2.4697
2012-11-15,0.5912
2012-11-16,-2.8029
2012-11-19,-0.093
2012-11-20,0.0931
2012-11-21,-2.2791
2012-11-23,0.9519
2012-11-26,-0.7072
2012-11-27,-0.0475
2012-11-28,2.1372
2012-11-29,2.3262
2012-11-30,6.2273
2012-12-03,-3.5088
2012-12-04,4.1685
2012-12-05,6.4283
2012-12-06,12.8
2012-12-07,0.8865
2012-12-10,-0.8787
2012-12-11,7.1986
2012-12-12,9.1631
2012-12-13,5.7576
2012-12-14,-0.9169
2012-12-17,0.4916
2012-12-18,-2.1295
2012-12-19,-0.8821
2012-12-20,1.1273
2012-12-21,0.7334
2012-12-24,-1.1939
2012-12-26,0.0295
2012-12-27,-0.3241
2012-12-28,0.5025
2012-12-31,0.7059
2013-01-02,0.0584
2013-01-03,-0.6421
2013-01-04,0.2644
2013-01-07,-0.7764
2013-01-08,-0.4282
2013-01-09,0.0593
2013-01-10,0.8299
2013-01-11,-0.3821
2013-01-14,-0.9147
2013-01-15,1.7868
2013-01-16,-1.3751
2013-01-17,0.0593
2013-01-18,0.5929
2013-01-22,0.7663
2013-01-23,4.8552
2013-01-24,4.0167
2013-01-25,3.218
2013-01-28,6.5472
2013-01-29,1.6825
2013-01-30,-4.8921
2013-01-31,1.8406
2013-02-01,-1.1141
2013-02-04,-5.308
2013-02-05,-0.5024
2013-02-06,0.9035
2013-02-07,-1.7646
2013-02-08,0.1072
2013-02-11,-5.1955
2013-02-12,2.6836
2013-02-13,-3.3287
2013-02-14,3.1303
2013-02-15,1.6556
2013-02-19,7.3018
2013-02-20,-6.8808
2013-02-21,-3.6946
2013-02-22,9.4499
2013-02-25,-5.2835
2013-02-26,3.9455999999999998
2013-02-27,1.9895
2013-02-28,0.154
2013-03-01,-5.2025
2013-03-04,1.8923999999999999
2013-03-05,1.645
2013-03-06,-1.3573
2013-03-07,0.8203
