ticker,MSBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-05-24,-0.4545
2016-05-25,0.5023
2016-05-26,0.318
2016-05-27,1.5399
2016-05-31,0.4014
2016-06-01,0.2665
2016-06-02,1.5507
2016-06-03,-1.5707
2016-06-06,1.6844000000000001
2016-06-07,-0.9154
2016-06-08,-0.9239
2016-06-09,-0.5773
2016-06-10,-0.4913
2016-06-13,-0.4039
2016-06-14,-1.4421
2016-06-15,-0.4572
2016-06-16,0.7809
2016-06-17,0.2279
2016-06-20,0.6821
2016-06-21,-0.6323
2016-06-22,-0.7727
2016-06-23,0.1374
2016-06-24,-1.5554000000000001
2016-06-27,-1.2546
2016-06-28,-0.8941
2016-06-29,2.5166
2016-06-30,0.4632
2016-07-01,0.4149
2016-07-05,-0.1377
2016-07-06,0.9195
2016-07-07,-0.0456
2016-07-08,0.6837
2016-07-11,-0.2263
2016-07-12,-0.0454
2016-07-13,0.0
2016-07-14,0.0908
2016-07-15,0.2721
2016-07-18,0.1809
2016-07-19,0.8578
2016-07-20,-1.2981
2016-07-21,0.1814
2016-07-22,1.177
2016-07-25,-0.9843
2016-07-26,0.5423
2016-07-27,0.0
2016-07-28,-0.5843
2016-07-29,2.8933
2016-08-01,-0.1318
2016-08-02,-0.4839
2016-08-03,0.2653
2016-08-04,-0.97
2016-08-05,0.3117
2016-08-08,0.1332
2016-08-09,0.2216
2016-08-10,0.1327
2016-08-11,2.5378
2016-08-12,-0.3474
2016-08-15,-0.0436
2016-08-16,1.2206
2016-08-17,0.1723
2016-08-18,2.2356
2016-08-19,-0.9251
2016-08-22,1.4856
2016-08-23,0.0
2016-08-24,0.2091
2016-08-25,0.5008
2016-08-26,0.8721
2016-08-29,-0.1647
2016-08-30,0.6186
2016-08-31,-0.2459
2016-09-01,0.493
2016-09-02,1.3083
2016-09-06,-0.2018
2016-09-07,-0.2426
2016-09-08,-0.3243
2016-09-09,2.074
2016-09-12,-0.3984
2016-09-13,-0.72
2016-09-14,-0.6044
2016-09-15,0.6891
2016-09-16,-2.8986
2016-09-19,2.8607
2016-09-20,-2.0153
2016-09-21,0.0823
2016-09-22,2.5894
2016-09-23,-1.2019
2016-09-26,0.6488
2016-09-27,0.4835
2016-09-28,-0.1604
2016-09-29,-0.6426
2016-09-30,2.4252000000000002
2016-10-03,-0.2368
2016-10-04,-0.4351
2016-10-05,3.4565
2016-10-06,-1.5745
2016-10-07,-0.5462
2016-10-10,1.2554
2016-10-11,-1.0461
2016-10-12,0.5873
