ticker,MNOV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-08,10.5023
2006-12-11,-0.8264
2006-12-12,1.25
2006-12-13,13.1687
2006-12-14,-5.6727
2006-12-15,-0.9252
2006-12-18,3.1128
2006-12-19,-0.9811
2006-12-20,4.497
2006-12-21,2.1152
2006-12-22,-1.5393
2006-12-26,-3.8775
2006-12-27,-0.2264
2006-12-28,8.0182
2006-12-29,-7.0028
2007-01-03,5.4217
2007-01-04,-6.7143
2007-01-08,1.4548
2007-01-09,0.0
2007-01-10,1.2075
2007-01-11,-2.9828
2007-01-12,0.3075
2007-01-16,1.3793
2007-01-17,-1.7385000000000002
2007-01-18,-1.6154
2007-01-19,-3.1274
2007-01-22,-0.7264
2007-01-23,-2.9268
2007-01-24,-5.7789
2007-01-25,0.4444
2007-01-26,7.5221
2007-01-29,0.0
2007-01-30,-0.4115
2007-01-31,-0.8264
2007-02-01,-0.0833
2007-02-02,0.0834
2007-02-05,0.0
2007-02-06,0.0
2007-02-07,0.0
2007-02-08,0.0
2007-02-09,-1.6667
2007-02-12,0.0
2007-02-13,2.7965999999999998
2007-02-14,-1.8136999999999999
2007-02-15,0.7557
2007-02-16,0.0
2007-02-20,0.0
2007-02-21,2.0
2007-02-22,6.8627
2007-02-23,-4.8165
2007-02-26,-2.8916
2007-02-27,-0.2481
2007-02-28,1.0779
2007-03-01,-1.5587
2007-03-02,0.8333
2007-03-05,-0.8264
2007-03-06,-0.8417
2007-03-07,-0.0756
2007-03-08,-1.5979999999999999
2007-03-09,0.0
2007-03-12,-0.4274
2007-03-13,-0.4292
2007-03-14,-0.0862
2007-03-15,-0.7765
2007-03-16,-2.6087
2007-03-19,-0.0893
2007-03-20,-0.8043
2007-03-21,0.991
2007-03-22,-1.4273
2007-03-23,1.3575
2007-03-26,-3.75
2007-03-27,0.3711
2007-03-28,0.3697
2007-03-29,-1.1971
2007-03-30,0.2796
2007-04-02,-1.6729
2007-04-03,0.5671
2007-04-04,-1.4098
2007-04-05,1.1439
2007-04-09,-0.4713
2007-04-10,-3.125
2007-04-11,-2.1505
2007-04-13,-0.0999
2007-04-16,-2.4
2007-04-17,-2.1516
2007-04-18,1.466
2007-04-19,0.516
2007-04-20,-2.3614
2007-04-23,-1.7875999999999999
2007-04-24,1.6059999999999999
2007-04-25,1.5806
2007-04-26,-1.556
2007-04-30,2.7397
2007-05-01,-3.4872
2007-05-02,1.8066
2007-05-03,1.6701000000000001
2007-05-04,-2.2587
2007-05-07,0.0
