ticker,SOHL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-04-30,16.6667
2007-05-01,0.0
2007-05-10,0.0
2007-05-16,0.0
2007-06-07,14.2857
2007-06-08,0.0
2007-06-15,6.25
2007-06-18,0.0
2007-06-19,0.0
2007-06-20,0.0
2007-06-21,0.0
2007-06-26,0.0
2007-06-28,1.1764999999999999
2007-07-05,-1.1628
2007-07-10,0.0
2007-07-16,0.0
2007-08-08,-41.1765
2007-10-30,60.0
2007-11-13,-22.5
2007-11-21,-3.2258
2007-11-30,0.0
2007-12-14,-16.6667
2007-12-17,-12.0
2007-12-21,2.2727
2008-01-07,13.3333
2008-01-08,-11.7647
2008-01-10,2.2222
2008-01-11,-2.1739
2008-01-14,0.0
2008-01-17,2.2222
2008-01-18,8.6957
2008-01-24,2.0
2008-01-25,0.0
2008-02-01,-1.9607999999999999
2008-02-05,2.0
2008-02-06,-9.8039
2008-02-11,0.0
2008-02-14,-10.8696
2008-02-20,-2.439
2008-02-22,2.5
2008-02-25,-2.439
2008-02-26,2.5
2008-02-29,0.0
2008-03-03,0.0
2008-03-06,9.7561
2008-03-07,2.2222
2008-03-10,0.0
2008-03-13,-2.1739
2008-03-17,0.0
2008-03-19,2.2222
2008-03-20,0.0
2008-03-24,-2.1739
2008-03-26,0.0
2008-03-27,-4.4444
2008-03-28,-6.9767
2008-03-31,0.0
2008-04-02,0.0
2008-04-03,-5.0
2008-04-04,2.6316
2008-04-07,0.0
2008-04-08,-2.5641
2008-04-09,2.6316
2008-04-10,-10.2564
2008-04-11,-31.4286
2008-04-14,0.0
2008-04-15,-8.3333
2008-04-16,0.4545
2008-04-25,-36.6516
2008-05-01,-20.0
2008-05-07,16.0714
2008-05-15,0.0
2008-05-20,-7.6923
2008-06-05,33.3333
2008-06-17,118.75
2008-06-20,-54.2857
2008-07-01,0.0
2008-07-09,-6.25
2008-07-11,-6.6667
2008-07-15,0.0
2008-07-24,-7.1429
2008-08-13,-15.3846
2008-08-19,0.0
2008-08-21,0.0
2008-08-22,21.8182
2008-08-25,-17.9104
2008-08-26,45.4545
2008-09-02,-31.25
2008-09-05,9.0909
2008-09-11,-8.3333
2008-10-02,0.0
2008-10-06,9.0909
2008-10-08,0.0
2008-10-22,-13.3333
2008-10-24,0.0
2008-10-30,-7.6923
2008-11-07,87.5
2008-11-11,-47.7778
2008-11-14,6.383
2008-11-19,0.0
2008-11-24,0.0
2008-11-25,0.0
2008-12-01,0.0
2008-12-16,-10.0
2009-01-20,-11.1111
